id,title,sheet_claim,equipment_seen,confidence,matches_sheet_claim,registry_machine,status,note
ea_chair_bulgarian_split_squats_bodyweight_right,Chair Bulgarian Split Squats Bodyweight Right,,chair,1.0,,none,unresolved,
ea_chair_elevated_single_leg_glute_bridge,Chair Elevated Single Leg Glute Bridge,chair,chair,1.0,True,none,unresolved,
ea_chair_feet_elevated_glute_bridge,Chair Feet Elevated Glute Bridge,chair,chair,1.0,True,none,unresolved,
ea_chair_frog_feet_elevated_glute_bridge_bodyweight,Chair Frog Feet Elevated Glute Bridge Bodyweight,chair,chair,1.0,True,none,unresolved,
ea_chair_triceps_dips,Chair Triceps Dips,Chair,Chair,1.0,True,none,unresolved,
ea_chest_dip_machine,Chest Dip Machine,Seated Dip Machine,Seated Dip Machine,1.0,True,none,unresolved,
ea_child_pose_elbows_on_block,Child Pose Elbows on Block,,yoga blocks,1.0,,none,unresolved,
ea_climber_a_padded_stool_supported,Climber a Padded Stool Supported,,padded stool,0.9,,none,unresolved,
ea_corner_wall_chest_stretch,Corner Wall Chest Stretch,,wall,1.0,,none,unresolved,
ea_crescent_moon_pose_quad_stretch_with_block,Crescent Moon Pose Quad Stretch with Block,,Yoga block,1.0,,none,unresolved,
ea_crunch_on_bosu_ball,Crunch (on Bosu Ball),,Bosu Ball,1.0,,none,unresolved,
ea_curtsy_lunge_slide_with_towel,Curtsy Lunge Slide with Towel,,sliding disc,0.9,,none,unresolved,
ea_decline_chair_push_up_diamond,Decline Chair Push Up Diamond,Chair,Chair,1.0,True,none,unresolved,
ea_decline_kneeling_push_up,Decline Kneeling Push Up,,aerobic step bench,1.0,,none,unresolved,
ea_decline_push_up_against_wall,Decline Push Up Against Wall,,wall,1.0,,none,unresolved,
ea_dip_leg_raise_on_couch,Dip Leg Raise on Couch,Couch,couch,1.0,True,none,unresolved,
ea_dip_on_floor_with_chair,Dip on Floor with Chair,Chair,Chair,1.0,True,none,unresolved,
ea_dips_between_chairs,Dips Between Chairs,Chair,Chair,1.0,True,none,unresolved,
ea_doorway_biceps_curl,Doorway Biceps Curl,,doorway,1.0,,none,unresolved,
ea_dragonfly,Dragonfly,,vertical pole,0.9,,none,unresolved,
ea_elbow_flexor_stretch,Elbow Flexor Stretch,,wall,1.0,,none,unresolved,
ea_elevated_push_up,Elevated Push Up,,blocks,1.0,,none,unresolved,
ea_extended_side_angle_pose_with_block,Extended Side Angle Pose with Block,,Yoga block,1.0,,none,unresolved,
ea_fixed_bar_stretch,Fixed Bar Stretch,Fixed Pole Bar,Fixed Pole Bar,1.0,True,none,unresolved,
ea_forearms_stretch_on_wall,Forearms Stretch on Wall,,wall,1.0,,none,unresolved,
ea_forearms_stretch_on_wall_fingers_facing_down,Forearms Stretch on Wall Fingers Facing Down,,wall,1.0,,none,unresolved,
ea_handstand_push_on_chair,Handstand Push on Chair,,chair,1.0,,none,unresolved,
ea_incline_push_ups_on_chair,Incline Push Ups on Chair,Chair,Chair,1.0,True,none,unresolved,
ea_kipping_handstand_push_up,Kipping Handstand Push-up,,wall,1.0,,none,unresolved,
ea_lateral_sled_drag,Lateral Sled Drag,,weighted sled,1.0,,none,unresolved,
ea_lats_stretch_elbow_on_wall,Lats Stretch Elbow on Wall,,wall,1.0,,none,unresolved,
ea_lats_stretch_on_wall,Lats Stretch on Wall,,wall,1.0,,none,unresolved,
ea_lying_single_leg_extended_on_wall_hamstrings_stretch,Lying Single Leg Extended on Wall Hamstrings Stretch,,wall,1.0,,none,unresolved,
ea_machine_lateral_raise,Machine Lateral Raise,,Machine Lateral Raise station,1.0,,none,unresolved,
ea_multi_hip_glute_extension,Multi Hip Glute Extension,Multi Hip Machine,Multi Hip Machine,1.0,True,none,unresolved,
ea_plank_reverse_fly_with_bottle,Plank Reverse Fly with Bottle,,water bottle,1.0,,none,unresolved,
ea_pyramid_pose_blocks,Pyramid Pose Blocks,,yoga blocks,1.0,,none,unresolved,
ea_pyramid_pose_calf_blocks,Pyramid Pose Calf Blocks,,calf blocks,1.0,,none,unresolved,
ea_rebounder_high_knee_runs,Rebounder High Knee Runs,,mini trampoline (rebounder),1.0,,none,unresolved,
ea_rebounder_knee_jumps,Rebounder Knee Jumps,,mini trampoline (rebounder),1.0,,none,unresolved,
ea_rebounder_knee_pushes,Rebounder Knee Pushes,,mini trampoline (rebounder),1.0,,none,unresolved,
ea_rebounder_light_jumps,Rebounder Light Jumps,,mini trampoline (rebounder),1.0,,none,unresolved,
ea_rebounder_in_out_from_ground,Rebounder in & Out From Ground,,mini trampoline (rebounder),1.0,,none,unresolved,
ea_rebounder_in_out_jacks,Rebounder in & Out Jacks,,mini trampoline (rebounder),1.0,,none,unresolved,
ea_ring_dips,Ring Dips,,Gymnastic rings,1.0,,none,unresolved,
ea_sandbag_cleans,Sandbag Cleans,,sandbag,1.0,,none,unresolved,
ea_side_chest_stretch_on_wall,Side Chest Stretch on Wall,,wall,1.0,,none,unresolved,
ea_single_arm_palm_down_on_wall_biceps_stretch,Single Arm Palm Down on Wall Biceps Stretch,,wall,1.0,,none,unresolved,
ea_single_arm_on_wall_side_biceps_stretch,Single Arm on Wall Side Biceps Stretch,,wall,1.0,,none,unresolved,
ea_sled_drag_and_row,Sled Drag and Row,,weighted sled,1.0,,none,unresolved,
ea_standing_one_arm_chest_stretch,Standing One Arm Chest Stretch,,wall,1.0,,none,unresolved,
ea_step_up_on_chair_bodyweight,Step Up on Chair Bodyweight,,chair,1.0,,none,unresolved,
ea_tennis_forehand_ground_stroke,Tennis Forehand Ground Stroke,,tennis racket,1.0,,none,unresolved,
ea_triceps_dip_machine,Triceps Dip Machine,Triceps Dips Machine,Triceps Dip Machine,1.0,True,none,unresolved,
ea_tyre_flip,Tyre Flip,,tyre,1.0,,none,unresolved,
ea_tyre_hammering,Tyre Hammering,,"tyre, sledgehammer",1.0,,none,unresolved,
