exercise_id,title_en,title_ru,group,primary_muscles,equipment_id,difficulty,missing_version,existing_reference_clip
ea_bridge_mountain_climber_cross_body,Bridge - Mountain Climber (cross Body),Планка - Альпинист (перекрестный),Abdominals,core,,beginner,female,exercises/men/Abdominals/Bridge - Mountain Climber (Cross Body).mp4
ea_cable_twist,Cable Twist,Повороты корпуса на блоке,Abdominals,core,cable_machine,beginner,female,exercises/men/Abdominals/Cable Twist.mp4
ea_cable_twist_up_down,Cable Twist (up-down),Повороты корпуса на блоке (вверх-вниз),Abdominals,core,cable_machine,beginner,female,exercises/men/Abdominals/Cable twist (up-down).mp4
ea_captains_chair_leg_raise,Captains Chair Leg Raise,Подъём ног в римском стуле,Abdominals,core,captains_chair,beginner,female,exercises/men/Abdominals/Captains chair leg raise.mp4
ea_captains_chair_straight_leg_raise,Captains Chair Straight Leg Raise,Подъём прямых ног в римском стуле,Abdominals,core,captains_chair,beginner,female,exercises/men/Abdominals/Captains Chair Straight Leg Raise.mp4
ea_chest_lift_with_rotation,Chest Lift with Rotation,Подъём корпуса с поворотом,Abdominals,core,,beginner,female,exercises/men/Abdominals/chest lift with rotation.mp4
ea_crab_twist_toe_touch,Crab Twist Toe Touch,Скручивание краба с касанием носка,Abdominals,glutes; hamstrings; shoulders,,beginner,female,exercises/men/Abdominals/Crab Twist Toe Touch.mp4
ea_criss_cross_leg_raises,Criss Cross Leg Raises,Подъёмы ног с перекрещиванием,Abdominals,core; lower_back,,beginner,female,exercises/men/Abdominals/Criss Cross Leg Raises.mp4
ea_crunch_arms_straight,Crunch (arms Straight),Скручивание (руки прямо),Abdominals,core,,beginner,female,exercises/men/Abdominals/Crunch (arms straight).mp4
ea_crunch_hands_overhead,Crunch (hands Overhead),Скручивание (руки над головой),Abdominals,core,,beginner,female,exercises/men/Abdominals/Crunch (hands overhead).mp4
ea_crunch_legs_on_stability_ball,Crunch (legs on Stability Ball),Скручивания (ноги на фитболе),Abdominals,core,stability_ball,beginner,female,exercises/men/Abdominals/Crunch (legs on stability ball).mp4
ea_crunch_on_bosu_ball,Crunch (on Bosu Ball),Скручивания (на BOSU),Abdominals,core,bosu_ball,beginner,female,exercises/men/Abdominals/Crunch (on bosu ball).mp4
ea_crunch_on_stability_ball,Crunch (on Stability Ball),Скручивания (на фитболе),Abdominals,core,stability_ball,beginner,female,exercises/men/Abdominals/Crunch (on stability ball).mp4
ea_crunch_straight_leg_up,Crunch (straight Leg Up),Скручивания (прямые ноги вверх),Abdominals,core,,beginner,female,exercises/men/Abdominals/Crunch (straight leg up).mp4
ea_crunch_floor,Crunch Floor,Скручивания на полу,Abdominals,core,,beginner,female,exercises/men/Abdominals/Crunch Floor.mp4
ea_crunch_frog_on_floor,Crunch Frog on Floor,"Скручивания ""лягушка"" на полу",Abdominals,core,,beginner,female,exercises/men/Abdominals/Crunch Frog on Floor.mp4
ea_crunch_leg_raise,Crunch Leg Raise,Скручивания с подъёмом ног,Abdominals,core,,beginner,female,exercises/men/Abdominals/Crunch leg raise.mp4
ea_crunch_with_medicine_ball,Crunch with Medicine Ball,Скручивания с медицинским мячом,Abdominals,core,medicine_ball,beginner,female,exercises/men/Abdominals/Crunch with Medicine Ball.mp4
ea_dead_bug,Dead Bug,Мёртвый жук,Abdominals,core,,beginner,female,exercises/men/Yoga/Dead Bug.mp4
ea_dead_bug_extended_arms,Dead Bug Extended Arms,Мёртвый жук с вытянутыми руками,Abdominals,core,,beginner,female,exercises/men/Abdominals/Dead Bug Extended Arms.mp4
ea_decline_bench_full_sit_up,Decline Bench Full Sit Up,Полные подъёмы корпуса на наклонной скамье,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/Decline Bench Full Sit up.mp4
ea_decline_bent_leg_reverse_crunch,Decline Bent Leg Reverse Crunch,Обратные скручивания согнутыми ногами на наклонной скамье,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/Decline Bent Leg Reverse Crunch.mp4
ea_decline_levitating_sit_ups_bodyweight,Decline Levitating Sit Ups Bodyweight,Скручивания на наклонной скамье с зависанием,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/decline levitating sit ups bodyweight.mp4
ea_decline_sit_up,Decline Sit Up,Скручивания на наклонной скамье,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/decline sit up.mp4
ea_decline_sit_ups_dumbbells,Decline Sit Ups Dumbbells,Скручивания на наклонной скамье с гантелями,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/decline sit ups dumbbells.mp4
ea_diagonal_chop_cable,Diagonal Chop Cable,Диагональная тяга блока,Abdominals,core,cable_machine,beginner,female,exercises/men/Abdominals/diagonal chop cable.mp4
ea_diagonal_chop_left,Diagonal Chop Left,Диагональная рубка влево,Abdominals,core,,beginner,female,exercises/men/Abdominals/diagonal chop left.mp4
ea_diagonal_chop_right,Diagonal Chop Right,Диагональная рубка вправо,Abdominals,core,,beginner,female,exercises/men/Abdominals/diagonal chop right.mp4
ea_dumbbell_ab_crunch,Dumbbell Ab Crunch,Скручивания с гантелью,Abdominals,core,dumbbell,beginner,female,exercises/men/Abdominals/dumbbell ab crunch.mp4
ea_dumbbell_crunch_hold_with_legs_off,Dumbbell Crunch Hold with Legs Off,Скручивания с гантелью с поднятыми ногами и фиксацией,Abdominals,core,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell Crunch Hold with Legs Off.mp4
ea_dumbbell_decline_overhead_sit_up,Dumbbell Decline Overhead Sit-up,Скручивания на наклонной скамье вниз головой с гантелями над головой,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/Dumbbell Decline Overhead Sit-up.mp4
ea_dumbbell_decline_sit_up,Dumbbell Decline Sit-up,Скручивания на наклонной скамье вниз головой с гантелью,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/Dumbbell Decline Sit-up.mp4
ea_dumbbell_diagonal_chop,Dumbbell Diagonal Chop,Диагональная рубка с гантелью,Abdominals,core,dumbbell,beginner,female,exercises/men/Abdominals/dumbbell diagonal chop.mp4
ea_dumbbell_overhead_sit_up,Dumbbell Overhead Sit-up,Скручивания с гантелью над головой,Abdominals,core,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell Overhead Sit-up.mp4
ea_dumbbell_russian_twist_with_legs_floor_off,Dumbbell Russian Twist with Legs Floor Off,Русские скручивания с гантелью с поднятыми ногами,Abdominals,core,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell Russian Twist with Legs Floor Off.mp4
ea_dumbbell_side_bend,Dumbbell Side Bend,Наклоны в сторону с гантелью,Abdominals,core,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell Side Bend.mp4
ea_dumbbell_side_plank_with_rear_fly,Dumbbell Side Plank with Rear Fly,Боковая планка с разведением гантели назад,Abdominals,shoulders; traps,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell Side Plank with Rear Fly.mp4
ea_dumbbell_single_arm_starfish_crunch,Dumbbell Single Arm Starfish Crunch,Скручивания «Морская звезда» с гантелью одной рукой,Abdominals,core,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell Single Arm Starfish Crunch.mp4
ea_dumbbell_starfish_crunch_alternating,Dumbbell Starfish Crunch Alternating,Скручивания «Морская звезда» с гантелями поочередно,Abdominals,core; lower_back,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell Starfish Crunch Alternating.mp4
ea_dumbbell_straight_arm_crunch,Dumbbell Straight Arm Crunch,Скручивания с гантелью прямыми руками,Abdominals,core,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell Straight Arm Crunch.mp4
ea_dumbbell_straight_arm_twisting_sit_up,Dumbbell Straight Arm Twisting Sit-up,Скручивания с поворотом корпуса и гантелью прямыми руками,Abdominals,core,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell Straight Arm Twisting Sit-up.mp4
ea_dumbbell_straight_leg_russian_twist,Dumbbell Straight Leg Russian Twist,Русские скручивания с гантелью и прямыми ногами,Abdominals,,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell Straight Leg Russian Twist.mp4
ea_dumbbell_v_up,Dumbbell V-up,V-подъёмы с гантелью,Abdominals,core,dumbbell,beginner,female,exercises/men/Abdominals/Dumbbell V-up.mp4
ea_elbow_push_plank_up,Elbow Push Plank Up,Планка с подъёмом на локтях,Abdominals,,,beginner,female,exercises/men/Abdominals/Elbow Push Plank Up.mp4
ea_elbow_up_and_down_dynamic_plank,Elbow-up and Down Dynamic Plank,Динамическая планка с подъёмом локтей,Abdominals,,,beginner,female,exercises/men/Abdominals/Elbow-Up and Down Dynamic Plank.mp4
ea_exercise_ball_body_saw,Exercise Ball Body Saw,Пила на фитболе,Abdominals,,stability_ball,beginner,female,exercises/men/Abdominals/Exercise Ball Body Saw.mp4
ea_exercise_ball_sit_ups,Exercise Ball Sit Ups,Скручивания на фитболе,Abdominals,,stability_ball,beginner,female,exercises/men/Abdominals/exercise ball sit ups.mp4
ea_flutter_kicks,Flutter Kicks,Ножницы лежа,Abdominals,core,,beginner,female,exercises/men/Abdominals/flutter kicks.mp4
ea_hanging_knee_raises,Hanging Knee Raises,Подъемы коленей в висе,Abdominals,core,pullup_bar,beginner,female,exercises/men/Abdominals/hanging knee raises.mp4
ea_hanging_oblique_crunches,Hanging Oblique Crunches,Скручивания на косые мышцы в висе,Abdominals,core,pullup_bar,beginner,female,exercises/men/Abdominals/hanging oblique crunches.mp4
ea_heel_touches,Heel Touches,Касания пяток,Abdominals,core,,beginner,female,exercises/men/Abdominals/heel touches.mp4
ea_high_cable_kneeling_crunch,High Cable Kneeling Crunch,Скручивания на коленях с верхнего блока,Abdominals,core,cable_machine,beginner,female,exercises/men/Abdominals/high cable kneeling crunch.mp4
ea_high_knee_twist,High Knee Twist,Скручивания с высоким подъемом коленей,Abdominals,core,,beginner,female,exercises/men/Abdominals/high knee twist.mp4
ea_high_resistance_band_kneeling_crunch,High Resistance Band Kneeling Crunch,Скручивания на коленях с резиновой лентой от верхнего блока,Abdominals,core,resistance_bands,beginner,female,exercises/men/Abdominals/high resistance band kneeling crunch.mp4
ea_hollow_hold,Hollow Hold,Удержание лодочки,Abdominals,core,,beginner,female,exercises/men/Abdominals/hollow hold.mp4
ea_jack_knives,Jack Knives,Складка,Abdominals,core,,beginner,female,exercises/men/Abdominals/jack knives.mp4
ea_kettlebell_situp_press,Kettlebell Situp Press,Жим гири из положения сидя,Abdominals,core; shoulders,kettlebell,beginner,female,exercises/men/Abdominals/Kettlebell situp press.mp4
ea_leg_lift_circles,Leg Lift Circles,Круговые движения ногами,Abdominals,core; lower_back; quads,,beginner,female,exercises/men/Abdominals/leg lift circles.mp4
ea_leg_raises_straight_legs,Leg Raises (straight Legs),Подъём прямых ног,Abdominals,core,captains_chair,beginner,female,exercises/men/Abdominals/Leg raises (straight legs).mp4
ea_long_arm_crunches,Long Arm Crunches,Скручивания с вытянутыми руками,Abdominals,core,,beginner,female,exercises/men/Abdominals/long arm crunches.mp4
ea_lying_abs_resistance_band,Lying Abs Resistance Band,Скручивания лежа с резиновой лентой,Abdominals,core,resistance_bands,beginner,female,exercises/men/Abdominals/lying abs resistance band.mp4
ea_lying_leg_raise,Lying Leg Raise,Подъём ног лёжа,Abdominals,core,,beginner,female,exercises/men/Abdominals/lying leg raise.mp4
ea_middle_crunches,Middle Crunches,Скручивания на пресс,Abdominals,core,,beginner,female,exercises/men/Abdominals/middle crunches.mp4
ea_mountain_climbers,Mountain Climbers,Альпинист,Abdominals,core,,beginner,female,exercises/men/Abdominals/mountain climbers.mp4
ea_oblique_crunch,Oblique Crunch,Косые скручивания,Abdominals,core,,beginner,female,exercises/men/Abdominals/oblique crunch.mp4
ea_over_head_weight_sit_up,Over Head Weight Sit Up,Подъемы корпуса с весом над головой,Abdominals,core; lower_back,weight_plates,beginner,female,exercises/men/Abdominals/over head weight sit up.mp4
ea_over_weight_ab_crunch,Over Weight Ab Crunch,Скручивания с отягощением,Abdominals,core; lower_back,dumbbell,beginner,female,exercises/men/Abdominals/over weight ab crunch.mp4
ea_plank_cross_knee_drive,Plank Cross Knee Drive,Планка с перекрёстным подтягиванием колена,Abdominals,core,,beginner,female,exercises/men/Abdominals/plank cross knee drive.mp4
ea_plank_jack,Plank Jack,Планка-джек,Abdominals,core,,beginner,female,exercises/men/Abdominals/plank jack.mp4
ea_plank_knee_tucks,Plank Knee Tucks,Планка с подтягиванием коленей к груди,Abdominals,core,,beginner,female,exercises/men/Abdominals/Plank Knee Tucks.mp4
ea_plank_reach_through,Plank Reach Through,Планка с проносом руки,Abdominals,core,,beginner,female,exercises/men/Abdominals/plank reach through.mp4
ea_plank_on_elbows,Plank on Elbows,Планка на локтях,Abdominals,core,,beginner,female,exercises/men/Abdominals/plank on elbows.mp4
ea_raised_leg_crunch,Raised Leg Crunch,Скручивания с поднятыми ногами,Abdominals,core,,beginner,female,exercises/men/Abdominals/raised leg crunch.mp4
ea_resistance_band_lying_bent_knee_raise,Resistance Band Lying Bent Knee Raise,Подъем согнутых коленей лежа с резиновой лентой,Abdominals,core,resistance_bands,beginner,female,exercises/men/Abdominals/Resistance Band Lying Bent Knee Raise.mp4
ea_reverse_crunch,Reverse Crunch,Обратные скручивания,Abdominals,core,,beginner,female,exercises/men/Abdominals/reverse crunch.mp4
ea_reverse_crunch_with_kick_out,Reverse Crunch with Kick Out,Обратные скручивания с выпрямлением ног,Abdominals,core,,beginner,female,exercises/men/Abdominals/reverse crunch with kick out.mp4
ea_russian_twist,Russian Twist,Русские скручивания,Abdominals,core,,beginner,female,exercises/men/Abdominals/russian twist.mp4
ea_russian_twist_weighted_ball,Russian Twist Weighted Ball,Русские скручивания с утяжеленным мячом,Abdominals,core,medicine_ball,beginner,female,exercises/men/Abdominals/russian twist weighted ball.mp4
ea_scissors_kick,Scissors Kick,Ножницы,Abdominals,core,,beginner,female,exercises/men/Abdominals/scissors kick.mp4
ea_seated_floor_crunches,Seated Floor Crunches,Скручивания сидя на полу,Abdominals,core,,beginner,female,exercises/men/Abdominals/Seated floor crunches.mp4
ea_seated_flutter_kicks,Seated Flutter Kicks,Ножницы сидя,Abdominals,core,bench_press,beginner,female,exercises/men/Abdominals/seated flutter kicks.mp4
ea_seated_v_up,Seated V Up,V-подъемы сидя,Abdominals,core,,beginner,female,exercises/men/Abdominals/seated v up.mp4
ea_side_plank,Side Plank,Боковая планка,Abdominals,core,,beginner,female,exercises/men/Abdominals/side plank.mp4
ea_side_plank_oblique_crunch,Side Plank Oblique Crunch,Косые скручивания в боковой планке,Abdominals,core,,beginner,female,exercises/men/Abdominals/side plank oblique crunch.mp4
ea_situps,Situps,Скручивания,Abdominals,core,,beginner,female,exercises/men/Abdominals/Situps.mp4
ea_spider_plank,Spider Plank,Планка «Паук»,Abdominals,core,,beginner,female,exercises/men/Abdominals/spider plank.mp4
ea_standing_cable_oblique_twist,Standing Cable Oblique Twist,Скручивания на косые мышцы в блочном тренажере стоя,Abdominals,core,cable_machine,beginner,female,exercises/men/Abdominals/standing cable oblique twist.mp4
ea_standing_oblique_crunch,Standing Oblique Crunch,Скручивания на косые мышцы стоя,Abdominals,core,,beginner,female,exercises/men/Abdominals/standing oblique crunch.mp4
ea_star_crunches,Star Crunches,Скручивания «Звезда»,Abdominals,core,,beginner,female,exercises/men/Abdominals/star crunches.mp4
ea_suspension_trainer_with_grips_hanging_knees_to_elbows,Suspension Trainer with Grips Hanging Knees to Elbows,Подъём коленей к локтям в висе на петлях TRX,Abdominals,core,trx,beginner,female,exercises/men/Abdominals/Suspension Trainer with Grips Hanging Knees to Elbows.mp4
ea_v_crunches,V Crunches,V-образные скручивания,Abdominals,core,,beginner,female,exercises/men/Abdominals/V crunches.mp4
ea_v_up,V Up,V-подъемы,Abdominals,core,,beginner,female,exercises/men/Abdominals/v up.mp4
ea_walkout,Walkout,Прогулка на руках,Abdominals,core; shoulders; chest,,beginner,female,exercises/men/Abdominals/walkout.mp4
ea_wind_wipers,Wind Wipers,Дворники,Abdominals,core,,beginner,female,exercises/men/Abdominals/wind wipers.mp4
ea_45_degree_hyperextension_arms_to_chest,45 Degree Hyperextension Arms to Chest,Гиперэкстензия под углом 45 градусов (руки к груди),Back,lower_back; glutes,back_extension,beginner,female,exercises/men/Back/45 degree hyperextension arms to chest.mp4
ea_alternate_superman,Alternate Superman,Попеременный Супермен,Back,glutes,,beginner,female,exercises/men/Back/alternate superman.mp4
ea_archer_pull_up,Archer Pull Up,Подтягивания лучника,Back,lats; biceps,pullup_bar,beginner,female,exercises/men/Back/Archer pull up.mp4
ea_assisted_chin_up_normal_width_reverse_grip,Assisted Chin Up Normal Width Reverse Grip,Подтягивания обратным хватом средней ширины с поддержкой,Back,lats,assisted_pullup_machine,beginner,female,exercises/men/Back/assisted chin up normal width reverse grip.mp4
ea_assisted_chin_up_reverse_close_grip,Assisted Chin Up Reverse Close Grip,Подтягивания обратным узким хватом с поддержкой,Back,lats,assisted_pullup_machine,beginner,female,exercises/men/Back/assisted chin up reverse close grip.mp4
ea_assisted_chin_up_reverse_wide_grip,Assisted Chin Up Reverse Wide Grip,Подтягивания обратным широким хватом с поддержкой,Back,lats,assisted_pullup_machine,beginner,female,exercises/men/Back/assisted chin up reverse wide grip.mp4
ea_assisted_pull_up_close_grip,Assisted Pull Up Close Grip,Подтягивания узким хватом с поддержкой,Back,lats,assisted_pullup_machine,beginner,female,exercises/men/Back/assisted pull up close grip.mp4
ea_assisted_pull_up_normal_grip,Assisted Pull Up Normal Grip,Подтягивания средним хватом с поддержкой,Back,lats,assisted_pullup_machine,beginner,female,exercises/men/Back/assisted pull up normal grip.mp4
ea_assisted_pull_up_wide_grip,Assisted Pull Up Wide Grip,Подтягивания широким хватом с поддержкой,Back,lats,assisted_pullup_machine,beginner,female,exercises/men/Back/assisted pull up wide grip.mp4
ea_back_extension_machine,Back Extension Machine,Гиперэкстензия в тренажере,Back,lower_back; glutes,back_extension,beginner,female,exercises/men/Back/back extension machine.mp4
ea_back_squeeze,Back Squeeze,Сведение лопаток,Back,traps,plyo_box,beginner,female,exercises/men/Back/Back squeeze.mp4
ea_barbell_bent_over_row_pronated_grip,Barbell Bent Over Row Pronated Grip,Тяга штанги в наклоне пронированным хватом,Back,lats; traps,barbell,beginner,female,exercises/men/Back/Barbell bent over row pronated grip.mp4
ea_barbell_bent_over_row_supinated_grip,Barbell Bent Over Row Supinated Grip,Тяга штанги в наклоне супинированным хватом,Back,lats; traps,barbell,beginner,female,exercises/men/Back/Barbell bent over row supinated grip.mp4
ea_barbell_deadlift_360_degrees,Barbell Deadlift 360 Degrees,Становая тяга со штангой 360 градусов,Back,glutes; quads; hamstrings,barbell,beginner,female,exercises/men/Back/Barbell deadlift 360 degrees.mp4
ea_barbell_good_morning,Barbell Good Morning,Наклоны со штангой на плечах (Good Morning),Back,lower_back,barbell,beginner,female,exercises/men/Back/Barbell Good Morning.mp4
ea_barbell_long_landmine_row,Barbell Long Landmine Row,Тяга штанги в Landmine (длинная),Back,lats,barbell,beginner,female,exercises/men/Back/Barbell Long Landmine Row.mp4
ea_barbell_lying_row,Barbell Lying Row,Тяга штанги лёжа,Back,shoulders; traps,bench_press,beginner,female,exercises/men/Back/Barbell Lying Row.mp4
ea_barbell_meadows_row,Barbell Meadows Row,Тяга штанги в тренажере Landmine (Мэдоуз),Back,lats,barbell,beginner,female,exercises/men/Back/Barbell Meadows Row.mp4
ea_barbell_one_arm_single_deadlift,Barbell One Arm Single Deadlift,Становая тяга штанги одной рукой,Back,hamstrings; glutes; lower_back,barbell,beginner,female,exercises/men/Back/barbell one arm single deadlift.mp4
ea_barbell_pendlay_row,Barbell Pendlay Row,Тяга штанги в наклоне Пендлея,Back,traps; lats,barbell,beginner,female,exercises/men/Back/Barbell pendlay row.mp4
ea_barbell_push_bent_over_row,Barbell Push Bent Over Row,Тяга штанги в наклоне с толчком,Back,lats; traps,barbell,beginner,female,exercises/men/Back/Barbell push bent over row.mp4
ea_barbell_reverse_grip_bent_over_row,Barbell Reverse Grip Bent Over Row,Тяга штанги в наклоне обратным хватом,Back,lats,barbell,beginner,female,exercises/men/Back/Barbell reverse grip bent over row.mp4
ea_barbell_seated_good_morning,Barbell Seated Good Morning,Наклоны со штангой сидя,Back,lower_back,bench_press,beginner,female,exercises/men/Back/Barbell seated good morning.mp4
ea_barbell_single_leg_deadlift,Barbell Single Leg Deadlift,Становая тяга на одной ноге со штангой,Back,hamstrings; glutes,barbell,beginner,female,exercises/men/Back/Barbell single leg deadlift.mp4
ea_barbell_snatch_deadlift_close_grip,Barbell Snatch Deadlift Close Grip,Рывковая становая тяга узким хватом со штангой,Back,quads; glutes; lower_back,barbell,beginner,female,exercises/men/Back/Barbell snatch deadlift close grip.mp4
ea_barbell_snatch_deadlift_wide_grip,Barbell Snatch Deadlift Wide Grip,Рывковая становая тяга широким хватом со штангой,Back,quads; glutes; lower_back,barbell,beginner,female,exercises/men/Back/Barbell snatch deadlift wide grip.mp4
ea_barbell_sumo_deadlift,Barbell Sumo Deadlift,Сумо становая тяга со штангой,Back,glutes; hamstrings; quads,barbell,beginner,female,exercises/men/Back/barbell sumo deadlift.mp4
ea_barbell_underhand_bent_over_row,Barbell Underhand Bent Over Row,Тяга штанги в наклоне обратным хватом,Back,lats,barbell,beginner,female,exercises/men/Back/Barbell Underhand Bent over Row.mp4
ea_barbell_wide_grip_upright_row,Barbell Wide Grip Upright Row,Тяга штанги к подбородку широким хватом,Back,shoulders,barbell,beginner,female,exercises/men/Back/Barbell wide grip Upright Row.mp4
ea_behind_neck_lat_pull_down_machine,Behind Neck Lat Pull Down Machine,Тяга верхнего блока за голову,Back,lats,lat_pulldown,beginner,female,exercises/men/Back/behind neck lat pull down machine.mp4
ea_bench_pull_ups,Bench Pull-ups,Подтягивания на скамье,Back,back; biceps,pullup_bar,beginner,female,exercises/men/Back/Bench Pull-ups.mp4
ea_bent_over_row_resistance_band,Bent Over Row Resistance Band,Тяга резиновой ленты в наклоне,Back,lats,resistance_bands,beginner,female,exercises/men/Back/bent over row resistance band.mp4
ea_bent_over_row_with_bar,Bent-over Row with Bar,Тяга грифа в наклоне,Back,lats,barbell,beginner,female,exercises/men/Back/Bent-over Row with bar.mp4
ea_bodyweight_muscle_up,Bodyweight Muscle-up,Выход силой собственным весом,Back,back; chest; shoulders,pullup_bar,beginner,female,exercises/men/Back/Bodyweight Muscle-up.mp4
ea_cable_bar_lateral_pulldown,Cable Bar Lateral Pulldown,Тяга верхнего блока широким хватом,Back,lats,lat_pulldown,beginner,female,exercises/men/Back/Cable Bar Lateral Pulldown.mp4
ea_cable_bent_over_reverse_grip_row,Cable Bent Over Reverse Grip Row,Тяга блока в наклоне обратным хватом,Back,lats,cable_machine,beginner,female,exercises/men/Back/Cable Bent Over Reverse Grip Row.mp4
ea_cable_bent_over_row,Cable Bent Over Row,Тяга блока в наклоне,Back,lats,cable_machine,beginner,female,exercises/men/Back/Cable Bent Over Row.mp4
ea_cable_close_grip_front_lat_pulldown,Cable Close Grip Front Lat Pulldown,Тяга верхнего блока узким прямым хватом к груди,Back,lats,lat_pulldown,beginner,female,exercises/men/Back/Cable Close Grip Front Lat Pulldown.mp4
ea_cable_low_seated_row,Cable Low Seated Row,Тяга нижнего блока сидя,Back,lats,cable_machine,beginner,female,exercises/men/Back/cable low seated row.mp4
ea_cable_lying_extension_pullover_with_cables_attachment,Cable Lying Extension Pullover (with Cables Attachment),Пуловер-разгибание лежа на блоке,Back,lats; triceps,cable_machine,beginner,female,exercises/men/Back/cable lying extension pullover (with cables attachment).mp4
