id,title,pass,score,vendor_match,girl,men,had_video_before
barbell_ab_rollout,Barbell Ab Rollout,fuzzy,0.67,barbell rollout,,,False
barbell_ab_rollout_on_knees,Barbell Ab Rollout - On Knees,none,0.50,barbell rollout,,,False
barbell_curl,Barbell Curl,exact,1.00,barbell curl,exercises/girl/Biceps/Barbell Curl.mp4,,True
barbell_curls_lying_against_an_incline,Barbell Curls Lying Against An Incline,none,0.40,barbell curl,,,False
barbell_deadlift,Barbell Deadlift,exact,1.00,barbell deadlift,exercises/girl/Powerlifting/Barbell Deadlift.mp4,,False
alternating_cable_shoulder_press,Alternating Cable Shoulder Press,none,0.38,band cable lateral press raise resistance shoulder,,,False
bent_over_low_pulley_side_lateral,Bent Over Low-Pulley Side Lateral,none,0.30,arm bent cable lateral one over raise,,,False
cable_chest_press,Cable Chest Press,subset,1.00,band cable chest high low press resistance,,exercises/men/Chest/chest press high to low cable resistance band.mp4,False
cable_crossover,Cable Crossover,subset,1.00,cable chest crossover upper,,exercises/men/Chest/Cable Upper Chest Crossover.mp4,False
cable_deadlifts,Cable Deadlifts,subset,1.00,cable deadlift leg single,exercises/girl/Legs/Cable Single Leg Deadlift.mp4,exercises/men/Legs/Cable Single Leg Deadlift.mp4,False
cable_hammer_curls_rope_attachment,Cable Hammer Curls - Rope Attachment,none,0.33,cable curl hamstrings,,,False
3_4_sit_up,3/4 Sit-Up,exact,1.00,3 4 sit,exercises/girl/Abdominals/3-4 Sit-up.mp4,,False
90_90_hamstring,90/90 Hamstring,none,0.33,90 stretch,,,False
air_bike,Air Bike,exact,1.00,air bike,exercises/girl/Abdominals/air bike.mp4,,False
all_fours_quad_stretch,All Fours Quad Stretch,exact,1.00,all fours quad stretch,exercises/girl/Stretching - Mobility/ALL FOURS QUAD STRETCH.mp4,exercises/men/Stretching - Mobility/All fours quad stretch.mp4,False
alternate_heel_touchers,Alternate Heel Touchers,none,0.50,alternate heel touches,,,False
bench_dips,Bench Dips,subset,1.00,bench chest dip,,exercises/men/Chest/Chest Dip on Bench.mp4,True
treadmill_warmup_walk,Warm-up Walk,none,0.33,gorilla walk,,,False
treadmill_incline_walk,Incline Walk,none,0.33,gorilla walk,,,False
treadmill_steady_run,Steady-State Run,none,0.00,,,,False
treadmill_intervals,Run Intervals,none,0.00,,,,False
rowing_steady,Steady Row,none,0.33,kettlebell row,,,False
rowing_intervals,Row Intervals,none,0.33,kettlebell row,,,False
fedb_bent-knee_hip_raise,Bent-Knee Hip Raise,none,0.43,band bent knee lying raise resistance,,,False
fedb_body_tricep_press,Body Tricep Press,none,0.33,extension overhead plate press tricep,,,False
fedb_body-up,Body-Up,exact,1.00,body,,exercises/men/Triceps/Body-Up.mp4,False
fedb_bodyweight_squat,Bodyweight Squat,exact,1.00,bodyweight squat,,exercises/men/Legs/bodyweight squats.mp4,True
fedb_bottoms_up,Bottoms Up,subset,1.00,bottoms half rep,,exercises/men/Abdominals/Bottoms-Up half rep.mp4,False
fedb_butt_lift_bridge,Butt Lift (Bridge),none,0.25,butt kicks,,,False
fedb_bench_jump,Bench Jump,none,0.33,jump star,,,False
fedb_decline_close-grip_bench_to_skull_crusher,Decline Close-Grip Bench To Skull Crusher,none,0.43,crusher decline kettlebell skull,,,False
fedb_flat_bench_cable_flyes,Flat Bench Cable Flyes,exact,1.00,bench cable flat fly,,exercises/men/Chest/flat bench cable fly.mp4,False
fedb_flat_bench_leg_pull-in,Flat Bench Leg Pull-In,none,0.40,alternate leg pull,,,False
fedb_flat_bench_lying_leg_raise,Flat Bench Lying Leg Raise,fuzzy,0.60,leg lying raise,,,True
fedb_incline_bench_pull,Incline Bench Pull,none,0.50,bench pull ups,,,False
fedb_band_assisted_pull-up,Band Assisted Pull-Up,fuzzy,0.67,assisted pull,,,True
fedb_glute_ham_raise,Glute Ham Raise,none,0.29,band glutes plank raise resistance side,,,False
fedb_hyperextensions_with_no_hyperextension_bench,Hyperextensions With No Hyperextension Bench,none,0.29,back bench extension hyperextension weighted,,,False
fedb_reverse_hyperextension,Reverse Hyperextension,none,0.33,plank reverse,,,True
fedb_weighted_ball_hyperextension,Weighted Ball Hyperextension,none,0.40,ball russian twist weighted,,,False
fedb_barbell_glute_bridge,Barbell Glute Bridge,exact,1.00,barbell bridge glutes,,exercises/men/Legs/Barbell glute bridge.mp4,False
fedb_barbell_hip_thrust,Barbell Hip Thrust,exact,1.00,barbell hip thrust,exercises/girl/Legs/Barbell Hip Thrust.mp4,exercises/men/Legs/Barbell Hip Thrust.mp4,False
fedb_barbell_incline_shoulder_raise,Barbell Incline Shoulder Raise,fuzzy,0.60,barbell incline press shoulder,,,False
fedb_barbell_lunge,Barbell Lunge,exact,1.00,barbell lunge,exercises/girl/Legs/Barbell Lunge.mp4,exercises/men/Legs/Barbell lunges.mp4,True
fedb_barbell_rear_delt_row,Barbell Rear Delt Row,fuzzy,0.60,delt kettlebell rear row,,,True
fedb_barbell_rollout_from_bench,Barbell Rollout from Bench,none,0.50,barbell rollout,,,False
fedb_close-grip_barbell_bench_press,Close-Grip Barbell Bench Press,exact,1.00,barbell bench close grip press,,exercises/men/Triceps/close grip barbell bench press.mp4,True
fedb_decline_barbell_bench_press,Decline Barbell Bench Press,exact,1.00,barbell bench decline press,,exercises/men/Chest/barbell bench press decline.mp4,True
fedb_decline_dumbbell_bench_press,Decline Dumbbell Bench Press,exact,1.00,bench decline dumbbell press,,exercises/men/Chest/Dumbbell Decline Bench Press.mp4,True
fedb_dumbbell_bench_press,Dumbbell Bench Press,exact,1.00,bench dumbbell press,,exercises/men/Chest/Dumbbell Bench Press.mp4,True
fedb_dumbbell_bench_press_with_neutral_grip,Dumbbell Bench Press with Neutral Grip,fuzzy,0.60,bench dumbbell press,,,False
fedb_hammer_grip_incline_db_bench_press,Hammer Grip Incline DB Bench Press,fuzzy,0.67,bench dumbbell incline press,,,False
fedb_machine_bicep_curl,Machine Bicep Curl,subset,1.00,bicep cable curl grip low machine normal,,exercises/men/Biceps/bicep curl low cable machine normal grip.mp4,False
fedb_low_cable_crossover,Low Cable Crossover,none,0.50,cable fly low,,,False
fedb_single-arm_cable_crossover,Single-Arm Cable Crossover,none,0.50,arm cable fly reverse single,,,False
fedb_stride_jump_crossover,Stride Jump Crossover,none,0.25,arm crossover,,,False
fedb_barbell_seated_calf_raise,Barbell Seated Calf Raise,fuzzy,0.60,calf kettlebell raise seated,,,False
fedb_calf_press,Calf Press,subset,1.00,calf leg machine press raise,exercises/girl/Legs/Calf raise leg press machine.mp4,exercises/men/Legs/Calf raise leg press machine.mp4,False
fedb_calf_raise_on_a_dumbbell,Calf Raise On A Dumbbell,subset,1.00,calf dumbbell raise seated,,exercises/men/Legs/Dumbbell Seated Calf Raise.mp4,True
fedb_dumbbell_seated_one-leg_calf_raise,Dumbbell Seated One-Leg Calf Raise,subset,1.00,calf dumbbell grip hammer leg one raise seated,,exercises/men/Legs/Dumbbell Seated One Leg Calf Raise Hammer Grip.mp4,False
fedb_rocking_standing_calf_raise,Rocking Standing Calf Raise,fuzzy,0.60,bodyweight calf raise standing,,,True
fedb_seated_calf_raise,Seated Calf Raise,subset,1.00,calf kettlebell raise seated,exercises/girl/Legs/Kettlebell Seated Calf Raise.mp4,exercises/men/Legs/Kettlebell Seated Calf Raise.mp4,True
fedb_incline_cable_chest_press,Incline Cable Chest Press,fuzzy,0.60,chest incline machine press,,,False
fedb_leverage_chest_press,Leverage Chest Press,none,0.50,chest machine press,,,False
fedb_leverage_decline_chest_press,Leverage Decline Chest Press,fuzzy,0.60,chest decline dumbbell press,,,False
fedb_leverage_incline_chest_press,Leverage Incline Chest Press,fuzzy,0.60,chest incline machine press,,,False
fedb_standing_cable_chest_press,Standing Cable Chest Press,none,0.43,arnold band cable press resistance standing,,,False
fedb_knee_hip_raise_on_parallel_bars,Knee/Hip Raise On Parallel Bars,none,0.33,flat knee raise,,,False
fedb_bent_over_dumbbell_rear_delt_raise_with_head_on_bench,Bent Over Dumbbell Rear Delt Raise With Head On Bench,none,0.56,bent delt dumbbell fly over rear,,,False
fedb_close-grip_dumbbell_press,Close-Grip Dumbbell Press,subset,1.00,close decline dumbbell grip neutral press,exercises/girl/Chest/Dumbbell Decline Close Neutral Grip Press.mp4,exercises/men/Chest/Dumbbell Decline Close Neutral Grip Press.mp4,True
fedb_close-grip_push-up_off_of_a_dumbbell,Close-Grip Push-Up off of a Dumbbell,fuzzy,0.60,close grip push,,,False
fedb_decline_dumbbell_flyes,Decline Dumbbell Flyes,exact,1.00,decline dumbbell fly,,exercises/men/Chest/Dumbbell Decline Fly.mp4,False
fedb_decline_dumbbell_triceps_extension,Decline Dumbbell Triceps Extension,subset,1.00,decline dumbbell extension over pull triceps,,exercises/men/Triceps/Dumbbell Decline triceps pull-over extension.mp4,True
fedb_dumbbell_alternate_bicep_curl,Dumbbell Alternate Bicep Curl,subset,1.00,alternate bicep curl dumbbell incline,,exercises/men/Biceps/Dumbbell Incline Alternate Bicep Curl.mp4,True
fedb_close-grip_ez_bar_curl,Close-Grip EZ Bar Curl,subset,1.00,bar biceps close curl ezbar grip,,exercises/men/Biceps/Ez bar biceps curl close grip.mp4,False
fedb_decline_ez_bar_triceps_extension,Decline EZ Bar Triceps Extension,none,0.57,bar cable extension ezbar overhead triceps,,,False
fedb_ab_roller,Ab Roller,none,0.33,ab tuck,,,False
fedb_wrist_roller,Wrist Roller,none,0.25,cable extension wrist,,,False
fedb_glute_kickback,Glute Kickback,subset,1.00,balance band glutes kickback resistance standing,exercises/girl/Legs/Resistance Band Standing Balance Glute Kickback.mp4,exercises/men/Legs/Resistance Band Standing Balance Glute Kickback.mp4,False
fedb_hack_squat,Hack Squat,subset,1.00,hack machine squat,exercises/girl/Legs/Hack Squat Machine.mp4,exercises/men/Legs/Hack Squat Machine Squat.mp4,True
fedb_lying_machine_squat,Lying Machine Squat,none,0.50,hack machine squat,,,False
fedb_thigh_abductor,Thigh Abductor,none,0.33,abduction shoulder,,,False
fedb_thigh_adductor,Thigh Adductor,none,0.33,adduction stretch,,,False
fedb_double_kettlebell_alternating_hang_clean,Double Kettlebell Alternating Hang Clean,none,0.33,barbell clean hang,,,False
fedb_double_kettlebell_jerk,Double Kettlebell Jerk,none,0.40,double kettlebell push sled,,,False
fedb_double_kettlebell_push_press,Double Kettlebell Push Press,fuzzy,0.60,double kettlebell push sled,,,False
fedb_double_kettlebell_snatch,Double Kettlebell Snatch,fuzzy,0.67,kettlebell snatch,,,False
fedb_double_kettlebell_windmill,Double Kettlebell Windmill,fuzzy,0.67,kettlebell windmill,,,False
fedb_extended_range_one-arm_kettlebell_floor_press,Extended Range One-Arm Kettlebell Floor Press,none,0.50,arm dumbbell floor one press,,,False
fedb_v-bar_pulldown,V-Bar Pulldown,subset,1.00,bar down lat pull v,,exercises/men/Back/v bar lat pull down.mp4,False
fedb_wide-grip_lat_pulldown,Wide-Grip Lat Pulldown,exact,1.00,down grip lat pull wide,,exercises/men/Back/lat pull down wide grip.mp4,False
fedb_wide-grip_pulldown_behind_the_neck,Wide-Grip Pulldown Behind The Neck,none,0.57,down grip lat pull wide,,,False
fedb_ball_leg_curl,Ball Leg Curl,exact,1.00,ball curl leg,,exercises/men/Legs/Exercise Ball Leg Curl.mp4,True
fedb_lying_leg_curls,Lying Leg Curls,subset,1.00,bodyweight curl leg lying,,exercises/men/Legs/bodyweight lying leg curl.mp4,True
fedb_seated_band_hamstring_curl,Seated Band Hamstring Curl,none,0.40,band concentration curl,,,False
fedb_seated_leg_curl,Seated Leg Curl,subset,1.00,curl leg machine seated,,exercises/men/Legs/Seated leg curl machine.mp4,True
fedb_standing_leg_curl,Standing Leg Curl,subset,1.00,band curl leg standing,exercises/girl/Legs/Band Standing Leg Curl.mp4,,True
fedb_leg_extensions,Leg Extensions,subset,1.00,extension leg lever,exercises/girl/Legs/Lever Leg Extension.mp4,exercises/men/Legs/Lever Leg Extension.mp4,True
fedb_single-leg_leg_extension,Single-Leg Leg Extension,subset,1.00,extension leg seated single,exercises/girl/Legs/Seated leg extension single leg.mp4,exercises/men/Legs/Seated leg extension single leg.mp4,False
fedb_backward_medicine_ball_throw,Backward Medicine Ball Throw,fuzzy,0.60,ball medicine rotational throw,,,False
fedb_medicine_ball_chest_pass,Medicine Ball Chest Pass,none,0.50,ab ball chest medicine throw,,,False
fedb_medicine_ball_full_twist,Medicine Ball Full Twist,none,0.40,ball jumps medicine,,,False
fedb_medicine_ball_scoop_throw,Medicine Ball Scoop Throw,fuzzy,0.60,ball medicine rotational throw,,,False
fedb_one-arm_medicine_ball_slam,One-Arm Medicine Ball Slam,none,0.33,arm one push,,,False
fedb_cable_rear_delt_fly,Cable Rear Delt Fly,exact,1.00,cable delt fly rear,,exercises/men/Shoulders/cable rear delt fly.mp4,False
fedb_reverse_machine_flyes,Reverse Machine Flyes,exact,1.00,fly machine reverse,exercises/girl/Shoulders/Reverse machine fly.mp4,exercises/men/Shoulders/Reverse Machine Fly.mp4,False
fedb_box_jump_multiple_response,Box Jump (Multiple Response),none,0.50,box jump,,,False
fedb_box_skip,Box Skip,none,0.33,box jump,,,False
fedb_box_squat_with_chains,Box Squat with Chains,none,0.50,barbell box squat,,,False
fedb_front_box_jump,Front Box Jump,fuzzy,0.67,box jump,,,False
fedb_lateral_box_jump,Lateral Box Jump,exact,1.00,box jump lateral,exercises/girl/Legs/Lateral Box Jump.mp4,exercises/men/Legs/Lateral Box Jump.mp4,False
fedb_reverse_band_box_squat,Reverse Band Box Squat,none,0.40,band row squat,,,False
fedb_cable_preacher_curl,Cable Preacher Curl,exact,1.00,cable curl preacher,,exercises/men/Biceps/Cable Preacher Curl.mp4,False
fedb_machine_preacher_curls,Machine Preacher Curls,none,0.50,curl kettlebell preacher,,,False
fedb_one_arm_dumbbell_preacher_curl,One Arm Dumbbell Preacher Curl,subset,1.00,arm curl dumbbell hammer one preacher,,exercises/men/Biceps/Dumbbell One Arm Hammer Preacher Curl.mp4,True
fedb_preacher_curl,Preacher Curl,subset,1.00,curl kettlebell preacher,exercises/girl/Biceps/Kettlebell Preacher Curl.mp4,exercises/men/Biceps/Kettlebell Preacher Curl.mp4,True
fedb_two-arm_dumbbell_preacher_curl,Two-Arm Dumbbell Preacher Curl,fuzzy,0.60,curl dumbbell preacher,,,False
fedb_zottman_preacher_curl,Zottman Preacher Curl,subset,1.00,curl dumbbell preacher zottman,,exercises/men/Biceps/Dumbbell Zottman Preacher Curl.mp4,False
fedb_heavy_bag_thrust,Heavy Bag Thrust,none,0.40,bag drag heavy sled,,,False
fedb_back_flyes_-_with_bands,Back Flyes - With Bands,none,0.50,band chest fly,,,False
fedb_box_squat_with_bands,Box Squat with Bands,none,0.50,band row squat,,,False
fedb_calf_raises_-_with_bands,Calf Raises - With Bands,subset,1.00,band calf raise resistance standing,,exercises/men/Legs/standing calf raise resistance band.mp4,True
fedb_cross_over_-_with_bands,Cross Over - With Bands,none,0.50,abduction band cross,,,False
fedb_deadlift_with_bands,Deadlift with Bands,exact,1.00,band deadlift,exercises/girl/Legs/Band Deadlift.mp4,exercises/men/Back/Band Deadlift.mp4,False
fedb_hip_extension_with_bands,Hip Extension with Bands,subset,1.00,band bent extension hip over,exercises/girl/Legs/Band Bent-over Hip Extension.mp4,,True
fedb_upright_cable_row,Upright Cable Row,subset,1.00,bar cable ezbar row upright,,exercises/men/Shoulders/cable upright row with EZ bar.mp4,False
fedb_barbell_shoulder_press,Barbell Shoulder Press,subset,1.00,barbell incline press shoulder,exercises/girl/Shoulders/Barbell Incline Shoulders Press.mp4,,False
fedb_cable_shoulder_press,Cable Shoulder Press,subset,1.00,band cable lateral press raise resistance shoulder,,exercises/men/Shoulders/lateral raise to shoulder press resistance band cable.mp4,False
fedb_dumbbell_one-arm_shoulder_press,Dumbbell One-Arm Shoulder Press,subset,1.00,2 arm dumbbell one press shoulder,,exercises/men/Shoulders/Dumbbell One Arm Shoulder Press (VERSION 2).mp4,False
fedb_dumbbell_shoulder_press,Dumbbell Shoulder Press,subset,1.00,dumbbell press shoulder squat,,exercises/men/Legs/Dumbbell Squats to Shoulder Press.mp4,True
fedb_leverage_shoulder_press,Leverage Shoulder Press,none,0.40,band press seated shoulder,,,False
fedb_machine_shoulder_military_press,Machine Shoulder (Military) Press,fuzzy,0.60,machine press shoulder smith,,,False
fedb_decline_smith_press,Decline Smith Press,subset,1.00,decline machine press smith,,exercises/men/Chest/smith machine press decline.mp4,False
fedb_smith_incline_shoulder_raise,Smith Incline Shoulder Raise,none,0.33,band incline raise t,,,False
fedb_smith_machine_behind_the_back_shrug,Smith Machine Behind the Back Shrug,none,0.33,back extension machine,,,False
fedb_smith_machine_bench_press,Smith Machine Bench Press,fuzzy,0.60,decline machine press smith,,,False
fedb_smith_machine_bent_over_row,Smith Machine Bent Over Row,none,0.50,band bent over row,,,False
fedb_smith_machine_calf_raise,Smith Machine Calf Raise,exact,1.00,calf machine raise smith,,exercises/men/Legs/smith machine calf raise.mp4,True
fedb_rack_delivery,Rack Delivery,none,0.25,barbell pull rack,,,False
fedb_rack_pulls,Rack Pulls,none,0.33,pulls superman,,,False
fedb_t-bar_row_with_handle,T-Bar Row with Handle,none,0.33,bar bent over row,,,False
fedb_dip_machine,Dip Machine,subset,1.00,chest dip machine,,exercises/men/Chest/chest dip machine.mp4,False
fedb_machine_triceps_extension,Machine Triceps Extension,none,0.50,extension machine tricep,,,True
fedb_elliptical_trainer,Elliptical Trainer,none,0.20,chin grips suspension trainer,,,False
fedb_stairmaster,Stairmaster,none,0.00,,,,False
fedb_step_mill,Step Mill,none,0.33,45 step,,,False
fedb_bicycling_stationary,"Bicycling, Stationary",none,0.33,bike stationary,,,False
fedb_recumbent_bike,Recumbent Bike,subset,1.00,air bike,exercises/girl/Abdominals/air bike.mp4,,False
fedb_battling_ropes,Battling Ropes,none,0.25,jump rope row,,,True
fedb_rope_climb,Rope Climb,none,0.25,jump rope row,,,False
fedb_pullups,Pullups,subset,1.00,assisted pull,exercises/girl/Back/Assisted Pull-up.mp4,exercises/men/Back/Assisted pull up.mp4,False
fedb_chin-up,Chin-Up,exact,1.00,chin,,exercises/men/Back/chin up.mp4,True
fedb_muscle_up,Muscle Up,subset,1.00,bodyweight muscle,,exercises/men/Back/Bodyweight Muscle-up.mp4,False
fedb_one_arm_chin-up,One Arm Chin-Up,none,0.50,arm one push,,,False
fedb_scapular_pull-up,Scapular Pull-Up,none,0.33,assisted pull,,,True
fedb_kipping_muscle_up,Kipping Muscle Up,none,0.33,kipping pull,,,False
fedb_hanging_leg_raise,Hanging Leg Raise,exact,1.00,hanging leg raise,exercises/girl/Abdominals/Hanging Leg Raises.mp4,,True
fedb_hanging_pike,Hanging Pike,none,0.33,pike push,,,False
fedb_russian_twist,Russian Twist,exact,1.00,russian twist,,exercises/men/Abdominals/russian twist.mp4,True
fedb_cable_russian_twists,Cable Russian Twists,fuzzy,0.67,cable twist,,,True
fedb_seated_barbell_twist,Seated Barbell Twist,exact,1.00,barbell seated twist,,exercises/men/Abdominals/Barbell seated twist.mp4,True
fedb_front_plate_raise,Front Plate Raise,exact,1.00,front plate raise,,exercises/men/Shoulders/plate front raise.mp4,False
fedb_plate_pinch,Plate Pinch,subset,1.00,deadlift grip pinch plate,exercises/girl/Back/Plate Pinch Grip Deadlift.mp4,exercises/men/Back/Plate Pinch Grip Deadlift.mp4,False
fedb_plate_twist,Plate Twist,subset,1.00,plate russian twist,exercises/girl/Abdominals/Plate Russian Twist.mp4,exercises/men/Abdominals/Plate Russian Twist.mp4,False
fedb_reverse_plate_curls,Reverse Plate Curls,none,0.50,cable curl reverse,,,False
air_bike_intervals,Air Bike Intervals,fuzzy,0.67,air bike,,,False
air_bike_steady,Air Bike Steady Effort,none,0.50,air bike,,,False
ski_erg_intervals,Ski Erg Intervals,none,0.33,country cross ergometer fly ski,,,False
ski_erg_steady,Ski Erg Steady Pull,none,0.43,basic country cross ergometer pull ski,,,False
vid_45_degree_bycicle_twisting_crunch,45-Degree Bicycle Twisting Crunch,exact,1.00,45 bicycle crunch twisting,exercises/girl/Abdominals/45 degree Bicycle Twisting Crunch.mp4,,True
vid_45_degree_side_bend,45-Degree Side Bend,exact,1.00,45 bend side,exercises/girl/Abdominals/45 Degree Side Bend.mp4,exercises/men/Abdominals/45 degree side bend.mp4,True
vid_air_twisting_crunch,Air Twisting Crunch,exact,1.00,air crunch twisting,exercises/girl/Abdominals/air twisting crunch.mp4,exercises/men/Abdominals/air twisting crunch.mp4,True
vid_band_decline_sit_ups,Band Decline Sit-Up,exact,1.00,band decline sit,exercises/girl/Abdominals/Band Decline Sit up.mp4,,True
vid_band_side_bend,Band Side Bend,exact,1.00,band bend side,exercises/girl/Abdominals/Band side bend.mp4,,True
vid_band_standing_crunch,Band Standing Crunch,none,0.50,band bicycle crunch,,,True
vid_band_standing_lift,Band Standing Lift,none,0.40,band curl leg standing,,,True
vid_band_twist,Band Standing Twist,none,0.50,plate standing twist,,,True
vid_band_twist_up_down,Band Twist - Up and Down,none,0.50,cable down twist,,,True
vid_bent_knee_lying_twist,Bent Knee Lying Twist,exact,1.00,bent knee lying twist,,exercises/men/Abdominals/Bent knee Lying Twist.mp4,True
vid_cable_standing_crunch,Cable Standing Crunch,exact,1.00,cable crunch standing,exercises/girl/Abdominals/Cable Standing Crunch.mp4,exercises/men/Abdominals/Cable Standing Crunch.mp4,True
vid_cable_standing_lift,Cable Standing Lift,none,0.50,cable crunch standing,,,True
vid_crunch_on_bench,Crunch on a Bench,none,0.33,ab crunch,,,True
vid_dumbbell_side_bend,Dumbbell Side Bend,exact,1.00,bend dumbbell side,,exercises/men/Abdominals/Dumbbell Side Bend.mp4,True
vid_hanging_straight_leg_hip_raise,Hanging Straight Leg Hip Raise,subset,1.00,grips hanging hip leg raise straight suspension trainer,exercises/girl/Abdominals/Suspension Trainer with Grips Hanging Straight Leg Hip Raise.mp4,exercises/men/Abdominals/Suspension Trainer with Grips Hanging Straight Leg Hip Raise.mp4,True
