id,title,sheet_claim,equipment_seen,confidence,matches_sheet_claim,registry_machine,status,note
ea_90_degree_heels_touch,90 Degree Heels Touch,,none,1.0,,none,confirmed_no_equipment,
ea_90_to_90_stretch,90 to 90 Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_ab_mat_sit_up,Ab Mat Sit-up,,Ab mat,1.0,,Ab mat,resolved,"batch 3, registry expansion (52->67): "
ea_ab_tuck,Ab Tuck,Dip Station,Dip Station,1.0,True,Dip station,resolved,
ea_ab_wheel_all_the_way_out,AB Wheel All the Way Out,Ab wheel,Ab wheel,1.0,True,Ab wheel,resolved,
ea_ab_wheel_halfway_out,AB Wheel Halfway Out,Ab wheel,Ab wheel,1.0,True,Ab wheel,resolved,
ea_ab_wheel_left_out,AB Wheel Left Out,Ab wheel,Ab wheel,1.0,True,Ab wheel,resolved,
ea_ab_wheel_plank,Ab Wheel Plank,Ab wheel,Ab wheel,1.0,True,Ab wheel,resolved,
ea_ab_wheel_pulses,AB Wheel Pulses,Ab wheel,Ab wheel,1.0,True,Ab wheel,resolved,
ea_ab_wheel_right_out,AB Wheel Right Out,Ab wheel,Ab wheel,1.0,True,Ab wheel,resolved,
ea_ab_wheel_take_it_or_leave_it,AB Wheel Take It or Leave It,Ab roller,Ab roller,1.0,True,Ab wheel,resolved,
ea_abdominal_crunches,Abdominal Crunches,,none,1.0,,none,confirmed_no_equipment,
ea_abdominal_crunches_machine,Abdominal Crunches Machine,,Abdominal crunch machine,1.0,,Ab crunch machine,resolved,
ea_abdominal_crunches_with_hold,Abdominal Crunches with Hold,,none,1.0,,none,confirmed_no_equipment,
ea_abdominal_stretch,Abdominal Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_abdominal_stretch_version2,Abdominal Stretch ( Version2 ),,none,1.0,,none,confirmed_no_equipment,
ea_above_head_chest_stretch,Above Head Chest Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_abs_snails,Abs Snails,,none,1.0,,none,confirmed_no_equipment,
ea_across_chest_shoulder_stretch,Across Chest Shoulder Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_adductor_dynamic_stretch,Adductor Dynamic Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_adductor_stretch,Adductor Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_adductor_stretch_side_standing,Adductor Stretch Side Standing,,none,1.0,,none,confirmed_no_equipment,
ea_agility_ladder_advanced_hop_position,Agility Ladder Advanced Hop Position,,Agility ladder,1.0,,Agility ladder,resolved,"batch 3, registry expansion (52->67): "
ea_agility_ladder_advanced_single_leg,Agility Ladder Advanced Single-leg,,agility ladder,1.0,,Agility ladder,resolved,"batch 3, registry expansion (52->67): "
ea_agility_ladder_advancing_laterally_switching_base,Agility Ladder Advancing Laterally Switching Base,,agility ladder,1.0,,Agility ladder,resolved,"batch 3, registry expansion (52->67): "
ea_agility_ladder_in_in_out_out,Agility Ladder in in Out Out,,agility ladder,1.0,,Agility ladder,resolved,"batch 3, registry expansion (52->67): "
ea_agility_ladder_in_in_out_out_moving_laterally,Agility Ladder in in Out Out Moving Laterally,,agility ladder,1.0,,Agility ladder,resolved,"batch 3, registry expansion (52->67): "
ea_agility_ladder_in_in_out_out_with_knee_lift,Agility Ladder in in Out Out with Knee Lift,,agility ladder,1.0,,Agility ladder,resolved,"batch 3, registry expansion (52->67): "
ea_agility_ladder_lateral_movement_in_in_out,Agility Ladder Lateral Movement in in Out,,agility ladder,1.0,,Agility ladder,resolved,"batch 3, registry expansion (52->67): "
ea_agility_ladder_lateral_movement_with_double_hop,Agility Ladder Lateral Movement with Double Hop,,agility ladder,1.0,,Agility ladder,resolved,"batch 3, registry expansion (52->67): "
ea_agility_ladder_skipping_1_touch,Agility Ladder Skipping 1 Touch,,agility ladder,1.0,,Agility ladder,resolved,"batch 3, registry expansion (52->67): "
ea_agility_ladder_skipping_2_touches,Agility Ladder Skipping 2 Touches,,agility ladder,1.0,,Agility ladder,resolved,"batch 3, registry expansion (52->67): "
ea_air_bike,Air Bike,,none,1.0,,none,confirmed_no_equipment,
ea_air_bike_crunch,Air Bike Crunch,,none,1.0,,none,confirmed_no_equipment,
ea_air_bike_version_2,Air Bike (version 2),,none,1.0,,none,confirmed_no_equipment,
ea_air_punches_march,Air Punches March,,none,1.0,,none,confirmed_no_equipment,
ea_air_swing_running,Air Swing Running,,Air walker / outdoor elliptical machine,0.9,,none,unresolved,
ea_air_swing_side_to_side_swing,Air Swing Side to Side Swing,,outdoor air swing machine,0.9,,none,unresolved,
ea_air_swing_walking,Air Swing Walking,,outdoor air walker machine,0.9,,none,unresolved,
ea_air_twisting_crunch,Air Twisting Crunch,,none,1.0,,none,confirmed_no_equipment,
ea_all_fours_quad_stretch,All Fours Quad Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_arm_leg_plank,Alternate Arm Leg Plank,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_arm_leg_plank_hold,Alternate Arm Leg Plank Hold,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_arm_leg_plank_rest_pause,Alternate Arm Leg Plank Rest Pause,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_biceps_curl_resistance_band,Alternate Biceps Curl Resistance Band,,resistance bands,1.0,,Resistance bands,resolved,
ea_alternate_biceps_curl_standing_dumbbells,Alternate Biceps Curl Standing Dumbbells,,Dumbbells,1.0,,Dumbbells,resolved,
ea_alternate_front_kick_in_place,Alternate Front Kick in Place,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_hammer_curl_standing_dumbbells,Alternate Hammer Curl Standing Dumbbells,Dumbbells,Dumbbells,1.0,True,Dumbbells,resolved,
ea_alternate_heel_touch_side_kick_squat,Alternate Heel Touch Side Kick Squat,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_heel_touches,Alternate Heel Touches,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_leg_pull,Alternate Leg Pull,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_leg_raise,Alternate Leg Raise,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_leg_raise_from_reverse_plank_position,Alternate Leg Raise From Reverse Plank Position,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_leg_raise_with_head_up,Alternate Leg Raise with Head Up,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_lying_floor_leg_raise,Alternate Lying Floor Leg Raise,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_oblique_crunch,Alternate Oblique Crunch,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_punching,Alternate Punching,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_single_leg_raises_plank,Alternate Single Leg Raises Plank,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_sprinter_lunge,Alternate Sprinter Lunge,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_superman,Alternate Superman,,none,1.0,,none,confirmed_no_equipment,
ea_alternate_toe_tap_leg_lift,Alternate Toe Tap Leg Lift,,none,1.0,,none,confirmed_no_equipment,
ea_alternating_biceps_curl_seated_dumbbells,Alternating Biceps Curl Seated Dumbbells,Dumbbells,"Dumbbells, Weight bench",1.0,True,Weight bench,resolved,
ea_alternating_biceps_hammer_curl_resistance_band,Alternating Biceps Hammer Curl Resistance Band,,resistance bands,1.0,,Resistance bands,resolved,
ea_alternating_hamstring_curl,Alternating Hamstring Curl,,none,1.0,,none,confirmed_no_equipment,
ea_alternating_hamstring_curl_with_punch,Alternating Hamstring Curl with Punch,,none,1.0,,none,confirmed_no_equipment,
ea_alternating_leg_downward_dog,Alternating Leg Downward Dog,,none,1.0,,none,confirmed_no_equipment,
ea_alternating_leg_lifts,Alternating Leg Lifts,,none,1.0,,none,confirmed_no_equipment,
ea_alternating_lunge_with_rotation,Alternating Lunge with Rotation,,none,1.0,,none,confirmed_no_equipment,
ea_alternating_oblique_sit_ups,Alternating Oblique Sit-ups,,none,1.0,,none,confirmed_no_equipment,
ea_alternating_plank_lunge,Alternating Plank Lunge,,none,1.0,,none,confirmed_no_equipment,
ea_alternating_step_out,Alternating Step Out,,none,1.0,,none,confirmed_no_equipment,
ea_alternating_superman,Alternating Superman,,none,1.0,,none,confirmed_no_equipment,
ea_alternating_toe_tap,Alternating Toe Tap,,none,1.0,,none,confirmed_no_equipment,
ea_ankle_circles,Ankle Circles,,none,1.0,,none,confirmed_no_equipment,
ea_ankle_dorsal_flexion,Ankle Dorsal Flexion,,none,1.0,,none,confirmed_no_equipment,
ea_ankle_plantar_flexion,Ankle Plantar Flexion,,none,1.0,,none,confirmed_no_equipment,
ea_ankle_pumps,Ankle Pumps,,none,1.0,,none,confirmed_no_equipment,
ea_archer_pull_up,Archer Pull Up,Pull Up Bar,Pull up bar,1.0,True,Pull-up bar,resolved,
ea_archer_push_up,Archer Push Up,,none,1.0,,none,confirmed_no_equipment,
ea_archer_step_back,Archer Step Back,,none,1.0,,none,confirmed_no_equipment,
ea_archer_stepback,Archer Stepback,,none,1.0,,none,confirmed_no_equipment,
ea_arm_circle,Arm Circle,,none,1.0,,none,confirmed_no_equipment,
ea_arm_circles_backward,Arm Circles Backward,,none,1.0,,none,confirmed_no_equipment,
ea_arm_crossover,Arm Crossover,,none,1.0,,none,confirmed_no_equipment,
ea_arm_crossover_chest_out,Arm Crossover Chest Out,,none,1.0,,none,confirmed_no_equipment,
ea_arm_double_crossover,Arm Double Crossover,,none,1.0,,none,confirmed_no_equipment,
ea_arm_pulses,Arm Pulses,,none,1.0,,none,confirmed_no_equipment,
ea_arm_pulses_cross,Arm Pulses Cross,,none,1.0,,none,confirmed_no_equipment,
ea_arm_pulses_palms_downwards,Arm Pulses Palms Downwards,,none,1.0,,none,confirmed_no_equipment,
ea_arm_pulses_palms_upwards,Arm Pulses Palms Upwards,,none,1.0,,none,confirmed_no_equipment,
ea_arm_rotation_knee_lift,Arm Rotation Knee Lift,,none,1.0,,none,confirmed_no_equipment,
ea_arm_swing_side_to_side,Arm Swing Side to Side,,none,1.0,,none,confirmed_no_equipment,
ea_arm_tuck_side_bend,Arm Tuck Side Bend,,none,1.0,,none,confirmed_no_equipment,
ea_armless_prayer_stretch,Armless Prayer Stretch,,bench,0.9,,Bench (flat / adjustable),resolved,
ea_arms_behind_back_chest_stretch,Arms Behind Back Chest Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_arms_behind_back_shoulder_flexor_stretch,Arms Behind Back Shoulder Flexor Stretch,Yoga Mat,none,1.0,False,none,DISAGREEMENT,
ea_arms_lateral_raise_and_rotation_up,Arms Lateral Raise and Rotation Up,,none,1.0,,none,confirmed_no_equipment,
ea_arms_up_and_down,Arms Up and Down,,none,1.0,,none,confirmed_no_equipment,
ea_arms_wide_chest_stretch,Arms Wide Chest Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_arnold_press_cable_resistance_band_standing,Arnold Press Cable Resistance Band Standing,Resistance Band,Resistance Band,1.0,True,Resistance bands,resolved,
ea_arnold_press_dumbbell,Arnold Press Dumbbell,Dumbbells,"Dumbbells, Adjustable Weight Bench",1.0,True,Weight bench,resolved,
ea_around_the_world_superman_hold,Around the World Superman Hold,,none,1.0,,none,confirmed_no_equipment,
ea_assault_airbike_fast_speed,Assault Airbike Fast Speed,Airbike,Airbike,1.0,True,Air bike,resolved,
ea_assault_airbike_normal_speed,Assault Airbike Normal Speed,Airbike,Airbike,1.0,True,Air bike,resolved,
ea_assault_airbike_sprint_speed,Assault Airbike Sprint Speed,Airbike,Airbike,1.0,True,Air bike,resolved,
ea_assisted_bulgarian_split_squat,Assisted Bulgarian Split Squat,"Box, Barbell","Box, Barbell",1.0,True,Barbell,resolved,
ea_assisted_chin_up_normal_width_reverse_grip,Assisted Chin Up Normal Width Reverse Grip,Assisted Pull Up Machine,Assisted pull-up machine,1.0,True,Assisted pull-up machine,resolved,
ea_assisted_chin_up_on_a_bench,Assisted Chin-up on a Bench,"Bench, Pull Up Bar","Pull-up bar, Bench",1.0,True,Pull-up bar,resolved,
ea_assisted_chin_up_reverse_close_grip,Assisted Chin Up Reverse Close Grip,Assisted Pull Up Machine,Assisted pull-up machine,1.0,True,Assisted pull-up machine,resolved,
ea_assisted_chin_up_reverse_wide_grip,Assisted Chin Up Reverse Wide Grip,Assisted Pull Up Machine,Assisted pull-up machine,1.0,True,Assisted pull-up machine,resolved,
ea_assisted_close_grip_underhand_chin_up,Assisted Close Grip Underhand Chin Up,Assisted Pull Up Machine,Assisted pull-up machine,1.0,True,Assisted pull-up machine,resolved,
ea_assisted_parallel_close_grip_pull_up,Assisted Parallel Close Grip Pull Up,Assisted Pull Up Machine,Assisted pull-up machine,1.0,True,Assisted pull-up machine,resolved,
ea_assisted_pistol_squats,Assisted Pistol Squats,Sturdy Equipment,Squat rack,1.0,True,Squat rack,resolved,
ea_assisted_pull_up,Assisted Pull Up,Assisted Pull Up Machine,Assisted Pull Up Machine,1.0,True,Assisted pull-up machine,resolved,
ea_assisted_pull_up_close_grip,Assisted Pull Up Close Grip,Assisted Pull Up Machine,Assisted pull-up machine,1.0,True,Assisted pull-up machine,resolved,
ea_assisted_pull_up_normal_grip,Assisted Pull Up Normal Grip,Assisted Pull Up Machine,Assisted pull-up machine,1.0,True,Assisted pull-up machine,resolved,
ea_assisted_pull_up_wide_grip,Assisted Pull Up Wide Grip,Assisted Pull Up Machine,Assisted Pull Up Machine,1.0,True,Assisted pull-up machine,resolved,
ea_assisted_sit_up,Assisted Sit-up,,none,1.0,,none,confirmed_no_equipment,
ea_assisted_sit_ups,Assisted Sit Ups,,none,1.0,,none,confirmed_no_equipment,
ea_assisted_weighted_push_up,Assisted Weighted Push Up,,Weight plate,1.0,,Weight plates,resolved,
ea_back_and_forward_leg_swings,Back and Forward Leg Swings,,Squat rack,1.0,,Squat rack,resolved,
ea_back_and_shoulder_stretch,Back and Shoulder Stretch,,bench,1.0,,Bench (flat / adjustable),resolved,
ea_back_extension_machine,Back Extension Machine,Hyperextension Bench,Hyperextension Bench,1.0,True,Back extension bench,resolved,
ea_back_extension_on_exercise_ball,Back Extension on Exercise Ball,Exercise Ball,Exercise Ball,1.0,True,Stability ball,resolved,
ea_back_lever,Back Lever,,power rack and pull-up bar,1.0,,Squat rack,resolved,
ea_back_pec_stretch,Back Pec Stretch,,adjustable weight bench,1.0,,Weight bench,resolved,
ea_back_slaps_wrap_around_stretch,Back Slaps Wrap Around Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_back_squeeze,Back Squeeze,,Plyo box,1.0,,Plyo box,resolved,
ea_back_stretch_dynamic,Back Stretch Dynamic,,adjustable weight bench,1.0,,Bench (flat / adjustable),resolved,
ea_back_stretch_standing_with_bench,Back Stretch Standing with Bench,,adjustable weight bench,1.0,,Weight bench,resolved,
ea_backhand_raise,Backhand Raise,,none,1.0,,none,confirmed_no_equipment,
ea_backward_abdominal_stretch,Backward Abdominal Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_backward_forward_turn_to_side_neck_stretch,Backward Forward Turn to Side Neck Stretch,,none,1.0,,none,confirmed_no_equipment,
ea_balance_board_lateral_squat,Balance Board Lateral Squat,Balance Board,Balance Board,1.0,True,Balance board,resolved,"batch 3, registry expansion (52->67): "
ea_balance_board_version_2,Balance Board (version 2),Balance Board,Balance Board,1.0,True,Balance board,resolved,"batch 3, registry expansion (52->67): "
ea_ball_headlock_squat,Ball Headlock Squat,Exercise Ball,Exercise ball,1.0,True,Stability ball,resolved,
ea_ball_sit_up,Ball Sit-up,Exercise Ball,Exercise Ball,1.0,True,Stability ball,resolved,
ea_ball_slams,Ball Slams,,medicine ball,1.0,,Medicine ball,resolved,
ea_balloon_drill,Balloon Drill,Balloon,Balloon,1.0,True,none,unresolved,
ea_band_assisted_chin_up_from_knee,Band Assisted Chin Up (from Knee),"Pull Up Bar, Resistance Band","Pull up bar, resistance band",1.0,True,Pull-up bar,resolved,
ea_band_behind_neck_shoulder_press,Band Behind Neck Shoulder Press,,resistance band,1.0,,Resistance bands,resolved,
ea_band_bench_press,Band Bench Press,,"weight bench, resistance band",1.0,,Weight bench,resolved,
ea_band_bent_over_hip_extension,Band Bent-over Hip Extension,,"resistance band, squat rack",1.0,,Resistance bands,resolved,
ea_band_bent_over_one_arm_kickback,Band Bent Over One Arm Kickback,,resistance band,1.0,,Resistance bands,resolved,
ea_band_bent_over_row,Band Bent-over Row,Resistance Band,resistance band,1.0,True,Resistance bands,resolved,
ea_band_bicycle_crunch,Band Bicycle Crunch,Resistance Band,"Resistance band, squat rack",1.0,True,Resistance bands,resolved,
ea_band_chest_fly,Band Chest Fly,Resistance Band,"Resistance bands, metal frame",1.0,True,Resistance bands,resolved,
ea_band_close_grip_biceps_curl,Band Close-grip Biceps Curl,Resistance Band,Resistance Band,1.0,True,Resistance bands,resolved,
ea_band_close_grip_row,Band Close Grip Row,Resistance Band,"resistance band, power rack",1.0,True,Resistance bands,resolved,
ea_band_concentration_curl,Band Concentration Curl,Resistance Band,"resistance band, weight bench",1.0,True,Weight bench,resolved,
ea_band_cross_abduction,Band Cross Abduction,Resistance Band,Resistance Band,1.0,True,Resistance bands,resolved,
ea_band_cross_body_one_arm_chest_press,Band Cross Body One Arm Chest Press,,"resistance band, power rack",1.0,,Resistance bands,resolved,
ea_band_cross_chest_biceps_curl,Band Cross Chest Biceps Curl,,"resistance bands, power rack",1.0,,Resistance bands,resolved,
ea_band_deadlift,Band Deadlift,Resistance Band,resistance band,1.0,True,Resistance bands,resolved,
ea_band_decline_sit_up,Band Decline Sit Up,,"Decline bench, resistance band",1.0,,Weight bench,resolved,
ea_band_face_pull,Band Face Pull,,"Resistance band, squat rack",1.0,,Resistance bands,resolved,
ea_band_fixed_back_underhand_pulldown,Band Fixed Back Underhand Pulldown,,"resistance bands, plyo box",1.0,,Resistance bands,resolved,
ea_band_front_face_pull,Band Front Face Pull,,"resistance band, squat rack",1.0,,Resistance bands,resolved,
ea_band_front_raise,Band Front Raise,,resistance band,1.0,,Resistance bands,resolved,
ea_band_high_fly,Band High Fly,,"resistance bands, squat rack",1.0,,Resistance bands,resolved,
ea_band_hip_adduction,Band Hip Adduction,,cable machine with ankle strap,1.0,,Cable machine,resolved,
ea_band_horizontal_shrug,Band Horizontal Shrug,,"Resistance bands, Smith machine",1.0,,Resistance bands,resolved,
ea_band_incline_alternate_hammer_curl,Band Incline Alternate Hammer Curl,,"Resistance band, adjustable weight bench",1.0,,Weight bench,resolved,
ea_band_incline_bench_press,Band Incline Bench Press,,"Resistance bands, incline weight bench",1.0,,Weight bench,resolved,
ea_band_incline_biceps_curl,Band Incline Biceps Curl,,"Incline bench, resistance band",1.0,,Weight bench,resolved,
ea_band_incline_fly,Band Incline Fly,,"Resistance bands, incline weight bench",1.0,,Weight bench,resolved,
ea_band_incline_hammer_curl,Band Incline Hammer Curl,,"Weight bench, resistance band",1.0,,Weight bench,resolved,
ea_band_incline_hammer_press,Band Incline Hammer Press,,"Resistance band, incline weight bench",1.0,,Weight bench,resolved,
ea_band_incline_palms_back_press,Band Incline Palms Back Press,,"Resistance band, incline weight bench",1.0,,Resistance bands,resolved,
ea_band_incline_row,Band Incline Row,,"resistance band, incline bench",1.0,,Weight bench,resolved,
ea_band_incline_t_raise,Band Incline T Raise,,"incline weight bench, resistance band",1.0,,Weight bench,resolved,
ea_band_incline_triceps_extension,Band Incline Triceps Extension,Resistance Band,"Resistance band, incline weight bench",1.0,True,Weight bench,resolved,
ea_band_incline_y_raise,Band Incline Y Raise,,"Incline weight bench, resistance bands",1.0,,Weight bench,resolved,
ea_band_kneeling_crunch,Band Kneeling Crunch,,"Resistance band, squat rack",1.0,,Resistance bands,resolved,
ea_band_kneeling_lat_pulldown,Band Kneeling Lat Pulldown,,"Squat rack, resistance bands, handles",1.0,,Squat rack,resolved,
ea_band_kneeling_preacher_curl,Band Kneeling Preacher Curl,,"resistance band, squat rack",1.0,,Resistance bands,resolved,
ea_band_kneeling_rear_kick,Band Kneeling Rear Kick,,resistance band,1.0,,Resistance bands,resolved,
ea_band_kneeling_single_arm_high_row,Band Kneeling Single Arm High Row,,"Resistance band, Smith machine",1.0,,Smith machine,resolved,
ea_band_leg_press,Band Leg Press,,"Resistance band, Smith machine",1.0,,Resistance bands,resolved,
ea_band_low_alternate_chest_press,Band Low Alternate Chest Press,,"resistance bands, squat rack",1.0,,Resistance bands,resolved,
ea_band_low_chest_fly,Band Low Chest Fly,,"Resistance bands, Squat rack",1.0,,Resistance bands,resolved,
ea_band_low_chest_press,Band Low Chest Press,,"Resistance bands, Squat rack",1.0,,Resistance bands,resolved,
ea_band_lying_press_down,Band Lying Press Down,,"Resistance band, squat rack",1.0,,Resistance bands,resolved,
ea_band_lying_reverse_grip_row,Band Lying Reverse Grip Row,,"Incline bench, resistance bands",1.0,,Weight bench,resolved,
ea_band_pallof_press,Band Pallof Press,,"Resistance band, Squat rack",1.0,,Resistance bands,resolved,
ea_band_palloff_press,Band Palloff Press,,"Resistance band, Squat rack",1.0,,Resistance bands,resolved,
ea_band_prone_incline_curl,Band Prone Incline Curl,,"Resistance bands, adjustable weight bench",1.0,,Weight bench,resolved,
ea_band_prone_incline_hammer_curl,Band Prone Incline Hammer Curl,,"Adjustable weight bench, resistance bands",1.0,,Weight bench,resolved,
ea_band_pull_up,Band Pull Up,,"Squat rack, pull-up bar, resistance band",1.0,,Squat rack,resolved,
ea_band_pullthrough,Band Pullthrough,,"resistance band, smith machine",1.0,,Resistance bands,resolved,
ea_band_push_up,Band Push-up,,resistance band,1.0,,Resistance bands,resolved,
ea_band_reverse_fly,Band Reverse Fly,,"Resistance band, adjustable weight bench",1.0,,Weight bench,resolved,
ea_band_reverse_spider_curl,Band Reverse Spider Curl,,"Resistance bands, adjustable weight bench",1.0,,Weight bench,resolved,
ea_band_rotating_hammer_grip_incline_bench_row,Band Rotating Hammer Grip Incline Bench Row,,"Incline weight bench, resistance bands",1.0,,Weight bench,resolved,
ea_band_seated_lateral_raise,Band Seated Lateral Raise,,"Resistance bands, weight bench",1.0,,Resistance bands,resolved,
ea_band_seated_neutral_grip_shoulders_press,Band Seated Neutral Grip Shoulders Press,,"resistance bands, weight bench",1.0,,Resistance bands,resolved,
ea_band_seated_shoulder_press,Band Seated Shoulder Press,,"resistance bands, weight bench",1.0,,Resistance bands,resolved,
ea_band_side_bend,Band Side Bend,,"Resistance band, Squat rack",1.0,,Resistance bands,resolved,
ea_band_single_arm_overhead_press,Band Single Arm Overhead Press,,resistance band,1.0,,Resistance bands,resolved,
ea_band_single_arm_pec_fly,Band Single Arm Pec Fly,,"Resistance band, squat rack",1.0,,Resistance bands,resolved,
ea_band_single_leg_split_squat,Band Single Leg Split Squat,,"resistance band, weight bench",1.0,,Resistance bands,resolved,
ea_band_skullcrusher,Band Skullcrusher,,"Resistance band, Smith machine",1.0,,Smith machine,resolved,
ea_band_spanish_split_squat,Band Spanish Split Squat,,"Resistance band, Smith machine",1.0,,Resistance bands,resolved,
ea_band_squat_row,Band Squat Row,,"Resistance band, Smith machine",1.0,,Resistance bands,resolved,
ea_band_standing_leg_curl,Band Standing Leg Curl,,"Resistance band, squat rack",1.0,,Resistance bands,resolved,
ea_band_standing_rear_delt_row,Band Standing Rear Delt Row,,"resistance band, squat rack",1.0,,Resistance bands,resolved,
ea_band_triceps_pushdown_single_arm,Band Triceps Pushdown Single Arm,,"Resistance band, Squat rack",1.0,,Resistance bands,resolved,
ea_band_two_legs_calf_raise_band_under_both_legs_version_2,Band Two Legs Calf Raise - (band Under Both Legs) Version 2,,resistance bands,1.0,,Resistance bands,resolved,
ea_band_warm_up_shoulder_stretch,Band Warm Up Shoulder Stretch,,resistance band,1.0,,Resistance bands,resolved,
ea_band_wrist_curl_single_arm,Band Wrist Curl Single Arm,,"resistance band, weight bench",1.0,,Resistance bands,resolved,
ea_band_y_raise,Band Y Raise,,"Resistance band, squat rack",1.0,,Resistance bands,resolved,
ea_banded_feet_elevated_hip_thrusters,Banded Feet Elevated Hip Thrusters,,"Resistance band, plyo box",1.0,,Resistance bands,resolved,
ea_barbell_alternate_biceps_curl,Barbell Alternate Biceps Curl,,barbell,1.0,,Barbell,resolved,
ea_barbell_back_wide_shrug,Barbell Back Wide Shrug,Barbell,Barbell,1.0,True,Barbell,resolved,
ea_barbell_back_wide_shrugs,Barbell Back Wide Shrugs,Barbell,Barbell,1.0,True,Barbell,resolved,
ea_barbell_behind_neck_push_press,Barbell Behind Neck Push Press,Barbell,Barbell,1.0,True,Barbell,resolved,
ea_barbell_behind_the_back_push_press_single_arm_balance,Barbell Behind the Back Push Press Single Arm Balance,Barbell,Barbell,1.0,True,Barbell,resolved,
ea_barbell_bench_lateral_step_up,Barbell Bench Lateral Step-up,Bench,"Barbell, Weight plates, Bench",1.0,True,Barbell,resolved,
ea_barbell_bench_press,Barbell Bench Press,Barbell,"Barbell, Weight plates, Weight bench",1.0,True,Weight bench,resolved,
ea_barbell_bench_press_decline,Barbell Bench Press Decline,Barbell,"Barbell, decline weight bench",1.0,True,Weight bench,resolved,
ea_barbell_bench_press_incline,Barbell Bench Press Incline,Barbell,"Barbell, Incline Weight Bench",1.0,True,Weight bench,resolved,
ea_barbell_bench_squats,Barbell Bench Squats,Barbell,"Barbell, Weight bench",1.0,True,Weight bench,resolved,
ea_barbell_bent_over_reverse_raise_skier,Barbell Bent Over Reverse Raise (skier),Barbell,Barbell,1.0,True,Barbell,resolved,
ea_barbell_bent_over_row_pronated_grip,Barbell Bent Over Row Pronated Grip,Barbell,Barbell,1.0,True,Barbell,resolved,
