id,title,resolved,from,evidence
ea_band_bent_over_one_arm_kickback,Band Bent Over One Arm Kickback,Resistance Band,title,band
ea_band_bent_over_hip_extension,Band Bent-over Hip Extension,Resistance Band,title,band
ea_band_cross_body_one_arm_chest_press,Band Cross Body One Arm Chest Press,Resistance Band,title,band
ea_band_cross_chest_biceps_curl,Band Cross Chest Biceps Curl,Resistance Band,title,band
ea_band_decline_sit_up,Band Decline Sit Up,Resistance Band,title,band
ea_band_face_pull,Band Face Pull,Resistance Band,title,band
ea_band_fixed_back_underhand_pulldown,Band Fixed Back Underhand Pulldown,Resistance Band,title,band
ea_band_front_face_pull,Band Front Face Pull,Resistance Band,title,band
ea_band_front_raise,Band Front Raise,Resistance Band,title,band
ea_band_high_fly,Band High Fly,Resistance Band,title,band
ea_band_hip_adduction,Band Hip Adduction,Resistance Band,title,band
ea_band_horizontal_shrug,Band Horizontal Shrug,Resistance Band,title,band
ea_band_incline_alternate_hammer_curl,Band Incline Alternate Hammer Curl,Resistance Band,title,band
ea_band_incline_bench_press,Band Incline Bench Press,Bench,title,bench
ea_band_incline_biceps_curl,Band Incline Biceps Curl,Resistance Band,title,band
ea_band_incline_fly,Band Incline Fly,Resistance Band,title,band
ea_band_incline_hammer_curl,Band Incline Hammer Curl,Resistance Band,title,band
ea_band_incline_hammer_press,Band Incline Hammer Press,Resistance Band,title,band
ea_band_incline_palms_back_press,Band Incline Palms Back Press,Resistance Band,title,band
ea_band_incline_row,Band Incline Row,Resistance Band,title,band
ea_band_incline_t_raise,Band Incline T Raise,Resistance Band,title,band
ea_band_incline_y_raise,Band Incline Y Raise,Resistance Band,title,band
ea_band_kneeling_crunch,Band Kneeling Crunch,Resistance Band,title,band
ea_band_kneeling_lat_pulldown,Band Kneeling Lat Pulldown,Resistance Band,title,band
ea_band_kneeling_preacher_curl,Band Kneeling Preacher Curl,Resistance Band,title,band
ea_band_kneeling_rear_kick,Band Kneeling Rear Kick,Resistance Band,title,band
ea_band_kneeling_single_arm_high_row,Band Kneeling Single Arm High Row,Resistance Band,title,band
ea_band_leg_press,Band Leg Press,Resistance Band,title,band
ea_band_low_alternate_chest_press,Band Low Alternate Chest Press,Resistance Band,title,band
ea_band_low_chest_fly,Band Low Chest Fly,Resistance Band,title,band
ea_band_low_chest_press,Band Low Chest Press,Resistance Band,title,band
ea_band_lying_press_down,Band Lying Press Down,Resistance Band,title,band
ea_band_lying_reverse_grip_row,Band Lying Reverse Grip Row,Resistance Band,title,band
ea_band_pallof_press,Band Pallof Press,Resistance Band,title,band
ea_band_palloff_press,Band Palloff Press,Resistance Band,title,band
ea_band_prone_incline_curl,Band Prone Incline Curl,Resistance Band,title,band
ea_band_prone_incline_hammer_curl,Band Prone Incline Hammer Curl,Resistance Band,title,band
ea_band_pull_up,Band Pull Up,Resistance Band,title,band
ea_band_pullthrough,Band Pullthrough,Resistance Band,title,band
ea_band_push_up,Band Push-up,Resistance Band,title,band
ea_band_reverse_fly,Band Reverse Fly,Resistance Band,title,band
ea_band_reverse_spider_curl,Band Reverse Spider Curl,Resistance Band,title,band
ea_band_rotating_hammer_grip_incline_bench_row,Band Rotating Hammer Grip Incline Bench Row,Bench,title,bench
ea_band_seated_lateral_raise,Band Seated Lateral Raise,Resistance Band,title,band
ea_band_seated_neutral_grip_shoulders_press,Band Seated Neutral Grip Shoulders Press,Resistance Band,title,band
ea_band_seated_shoulder_press,Band Seated Shoulder Press,Resistance Band,title,band
ea_band_side_bend,Band Side Bend,Resistance Band,title,band
ea_band_single_arm_overhead_press,Band Single Arm Overhead Press,Resistance Band,title,band
ea_band_single_arm_pec_fly,Band Single Arm Pec Fly,Resistance Band,title,band
ea_band_single_leg_split_squat,Band Single Leg Split Squat,Resistance Band,title,band
ea_band_skullcrusher,Band Skullcrusher,Resistance Band,title,band
ea_band_spanish_split_squat,Band Spanish Split Squat,Resistance Band,title,band
ea_band_squat_row,Band Squat Row,Resistance Band,title,band
ea_band_standing_leg_curl,Band Standing Leg Curl,Resistance Band,title,band
ea_band_standing_rear_delt_row,Band Standing Rear Delt Row,Resistance Band,title,band
ea_band_triceps_pushdown_single_arm,Band Triceps Pushdown Single Arm,Resistance Band,title,band
ea_band_two_legs_calf_raise_band_under_both_legs_version_2,Band Two Legs Calf Raise - (band Under Both Legs) Version 2,Resistance Band,title,band
ea_band_warm_up_shoulder_stretch,Band Warm Up Shoulder Stretch,Resistance Band,title,band
ea_band_wrist_curl_single_arm,Band Wrist Curl Single Arm,Resistance Band,title,band
ea_band_y_raise,Band Y Raise,Resistance Band,title,band
ea_banded_feet_elevated_hip_thrusters,Banded Feet Elevated Hip Thrusters,Resistance Band,title,band
ea_barbell_alternate_biceps_curl,Barbell Alternate Biceps Curl,Barbell,title,barbell
ea_barbell_coan_deadlift,Barbell Coan Deadlift,Barbell,title,barbell
ea_barbell_front_squats,Barbell Front Squats,Barbell,title,barbell
ea_barbell_hang_clean,Barbell Hang Clean,Barbell,title,barbell
ea_barbell_hooklying_bench_press,Barbell Hooklying Bench Press,Barbell,title,barbell
ea_barbell_hooklying_bench_press_close_elbows,Barbell Hooklying Bench Press Close Elbows,Barbell,title,barbell
ea_barbell_jump_shrug,Barbell Jump Shrug,Barbell,title,barbell
ea_barbell_landmine_chest_press,Barbell Landmine Chest Press,Landmine,title,landmine
ea_barbell_landmine_side_bend,Barbell Landmine Side Bend,Landmine,title,landmine
ea_barbell_larsen_bench_press,Barbell Larsen Bench Press,Barbell,title,barbell
ea_barbell_long_landmine_row,Barbell Long Landmine Row,Landmine,title,landmine
ea_barbell_meadows_row,Barbell Meadows Row,Barbell,title,barbell
ea_barbell_press_under,Barbell Press Under,Barbell,title,barbell
ea_barbell_reverse_deadlift,Barbell Reverse Deadlift,Barbell,title,barbell
ea_barbell_silverback_shrug,Barbell Silverback Shrug,Barbell,title,barbell
ea_barbell_situp,Barbell Situp,Barbell,title,barbell
ea_barbell_spoto_press,Barbell Spoto Press,Barbell,title,barbell
ea_barbell_squat_back_pov,Barbell Squat Back POV,Barbell,title,barbell
ea_barbell_zercher_good_morning,Barbell Zercher Good Morning,Barbell,title,barbell
ea_battle_rope_alternating_arm_waves,Battle Rope Alternating Arm Waves,Battle Ropes,title,battle rope
ea_battle_rope_double_arm_slams,Battle Rope Double Arm Slams,Battle Ropes,title,battle rope
ea_bear_crawls,Bear Crawls,None (Bodyweight),frame,read from the clip's own still
ea_both_arms_behind_on_wall_biceps_stretch,Both Arms Behind on Wall Biceps Stretch,Wall,title,wall
ea_bow_pose,Bow Pose,None (Bodyweight),frame,read from the clip's own still
ea_box_sled_push,Box Sled Push,Sled,title,sled
ea_bulgarian_split_squat_stretch,Bulgarian Split Squat Stretch,Wall,frame,read from the clip's own still
ea_cable_30_degree_shrug,Cable 30 Degree Shrug,Cable Pulley Machine,title,cable
ea_cable_core_palloff_press,Cable Core Palloff Press,Cable Pulley Machine,title,cable
ea_cable_cross_pushdown,Cable Cross Pushdown,Cable Pulley Machine,title,cable
ea_cable_face_pull_with_rope,Cable Face Pull with Rope,Cable Pulley Machine,title,cable
ea_cable_lat_prayer,Cable Lat Prayer,Cable Pulley Machine,title,cable
ea_cable_pull_in_kneeling,Cable Pull in Kneeling,Cable Pulley Machine,title,cable
ea_cable_silverback_shrug,Cable Silverback Shrug,Cable Pulley Machine,title,cable
ea_cable_single_arm_reverse_fly,Cable Single Arm Reverse Fly,Cable Pulley Machine,title,cable
ea_cable_standing_crunch,Cable Standing Crunch,Cable Pulley Machine,title,cable
ea_cable_twisting_biceps_curl,Cable Twisting Biceps Curl,Cable Pulley Machine,title,cable
ea_cable_wrist_extension,Cable Wrist Extension,Cable Pulley Machine,title,cable
ea_calf_push_stretch_with_hands_against_wall_v_2,Calf Push Stretch with Hands Against Wall V.2,Wall,title,wall
ea_calve_stretch_foot_on_wall,Calve Stretch Foot on Wall,Wall,title,wall
ea_calve_stretch_from_wall_to_floor,Calve Stretch From Wall to Floor,Wall,title,wall
ea_calves_stretch_on_step,Calves Stretch on Step,Plyo Box,frame,read from the clip's own still
ea_cat_pose,Cat Pose,None (Bodyweight),frame,read from the clip's own still
ea_chair_back_lunge_right_resistance_band,Chair Back Lunge Right Resistance Band,Resistance Band,title,resistance band
ea_chair_pose,Chair Pose,None (Bodyweight),frame,read from the clip's own still
ea_chest_press_machine,Chest Press Machine,Machine,title,machine
ea_child_pose_arms_extended_left_right,Child Pose Arms Extended Left Right,None (Bodyweight),frame,read from the clip's own still
ea_child_pose_arms_on_side,Child Pose Arms on Side,None (Bodyweight),frame,read from the clip's own still
ea_child_pose_elbows_on_block,Child Pose Elbows on Block,Yoga Block,title,block
ea_child_pose_lower_back_stretch,Child Pose Lower Back Stretch,None (Bodyweight),frame,read from the clip's own still
ea_cobra_stretch,Cobra Stretch,None (Bodyweight),frame,read from the clip's own still
ea_copenhagen_plank,Copenhagen Plank,Bench,frame,read from the clip's own still
ea_crawl_with_sled_drag,Crawl with Sled Drag,Sled,title,sled
ea_crescent_moon_pose,Crescent Moon Pose,None (Bodyweight),frame,read from the clip's own still
ea_crescent_moon_pose_quad_stretch,Crescent Moon Pose Quad Stretch,None (Bodyweight),frame,read from the clip's own still
ea_crescent_moon_pose_quad_stretch_with_block,Crescent Moon Pose Quad Stretch with Block,Yoga Block,title,block
ea_criss_cross_bow_tie_pose,Criss Cross Bow Tie Pose,None (Bodyweight),frame,read from the clip's own still
ea_cross_body_elbow_pull_shoulder_stretch,Cross Body Elbow Pull Shoulder Stretch,None (Bodyweight),frame,read from the clip's own still
ea_cross_body_shoulder_stretch,Cross Body Shoulder Stretch,None (Bodyweight),frame,read from the clip's own still
ea_crow_pose,Crow Pose,None (Bodyweight),frame,read from the clip's own still
ea_double_kettlebell_sled_push,Double Kettlebell Sled Push,Kettlebells,title,kettlebell
ea_double_pigeon_pose,Double Pigeon Pose,None (Bodyweight),frame,read from the clip's own still
ea_downward_dog_toe_to_heel,Downward Dog Toe to Heel,None (Bodyweight),frame,read from the clip's own still
ea_downward_dog_with_fingers_facing_feet,Downward Dog with Fingers Facing Feet,None (Bodyweight),frame,read from the clip's own still
ea_dragonfly,Dragonfly,Pull Up Bar,frame,read from the clip's own still
ea_dumbbell_alternating_arnold_press,Dumbbell Alternating Arnold Press,Dumbbells,title,dumbbell
ea_dumbbell_alternating_pendlay_row,Dumbbell Alternating Pendlay Row,Dumbbells,title,dumbbell
ea_dumbbell_bench_squat,Dumbbell Bench Squat,Dumbbells,title,dumbbell
ea_dumbbell_chest_supported_y_raise,Dumbbell Chest Supported Y Raise,Dumbbells,title,dumbbell
ea_dumbbell_curl_press_extend,Dumbbell Curl Press Extend,Dumbbells,title,dumbbell
ea_dumbbell_decline_close_neutral_grip_press,Dumbbell Decline Close Neutral Grip Press,Dumbbells,title,dumbbell
ea_dumbbell_elbow_side_plank,Dumbbell Elbow Side Plank,Dumbbells,title,dumbbell
ea_dumbbell_feet_elevated_figure_four_glute_bridge,Dumbbell Feet Elevated Figure Four Glute Bridge,Dumbbells,title,dumbbell
ea_dumbbell_goblet_good_morning,Dumbbell Goblet Good Morning,Dumbbells,title,dumbbell
ea_dumbbell_goblet_reverse_lunge,Dumbbell Goblet Reverse Lunge,Dumbbells,title,dumbbell
ea_dumbbell_half_kneeling_wood_chopper,Dumbbell Half Kneeling Wood Chopper,Dumbbells,title,dumbbell
ea_dumbbell_hand_side_plank,Dumbbell Hand Side Plank,Dumbbells,title,dumbbell
ea_dumbbell_hex_press,Dumbbell Hex Press,Dumbbells,title,dumbbell
ea_dumbbell_knee_lawnmower_row,Dumbbell Knee Lawnmower Row,Dumbbells,title,dumbbell
ea_dumbbell_kneeling_wood_chopper,Dumbbell Kneeling Wood Chopper,Dumbbells,title,dumbbell
ea_dumbbell_laying_30_degree_shrug,Dumbbell Laying 30 Degree Shrug,Dumbbells,title,dumbbell
ea_dumbbell_laying_silverback_shrug,Dumbbell Laying Silverback Shrug,Dumbbells,title,dumbbell
ea_dumbbell_lying_on_floor_chest_press,Dumbbell Lying on Floor Chest Press,Dumbbells,title,dumbbell
ea_dumbbell_offset_squat,Dumbbell Offset Squat,Dumbbells,title,dumbbell
ea_dumbbell_overhead_side_bend,Dumbbell Overhead Side Bend,Dumbbells,title,dumbbell
ea_dumbbell_pendlay_row,Dumbbell Pendlay Row,Dumbbells,title,dumbbell
ea_dumbbell_plank_pullthrough,Dumbbell Plank Pullthrough,Dumbbells,title,dumbbell
ea_dumbbell_seated_zottman_curl,Dumbbell Seated Zottman Curl,Dumbbells,title,dumbbell
ea_dumbbell_shoulder_extension,Dumbbell Shoulder Extension,Dumbbells,title,dumbbell
ea_dumbbell_side_plank_up_down,Dumbbell Side Plank Up Down,Dumbbells,title,dumbbell
ea_dumbbell_silverback_shrug,Dumbbell Silverback Shrug,Dumbbells,title,dumbbell
ea_dumbbell_single_arm_upright_row,Dumbbell Single Arm Upright Row,Dumbbells,title,dumbbell
ea_dumbbell_single_leg_hip_thrust,Dumbbell Single Leg Hip Thrust,Dumbbells,title,dumbbell
ea_dumbbell_single_leg_single_arm_deadlift,Dumbbell Single Leg Single Arm Deadlift,Dumbbells,title,dumbbell
ea_dumbbell_skullcrusher,Dumbbell Skullcrusher,Dumbbells,title,dumbbell
ea_dumbbell_staggered_deadlift,Dumbbell Staggered Deadlift,Dumbbells,title,dumbbell
ea_dumbbell_staggered_glute_bridge,Dumbbell Staggered Glute Bridge,Dumbbells,title,dumbbell
ea_dumbbell_staggered_hip_thrust,Dumbbell Staggered Hip Thrust,Dumbbells,title,dumbbell
ea_dumbbell_standing_hip_abduction,Dumbbell Standing Hip Abduction,Dumbbells,title,dumbbell
ea_dumbbell_suitcase_crunch,Dumbbell Suitcase Crunch,Dumbbells,title,dumbbell
ea_dumbbell_swing,Dumbbell Swing,Dumbbells,title,dumbbell
ea_dynamic_leg_swing,Dynamic Leg Swing,Wall,steps,wall
ea_eagle_arms_chin_into_chest,Eagle Arms Chin Into Chest,None (Bodyweight),frame,read from the clip's own still
ea_easy_pose_neck_stretch,Easy Pose Neck Stretch,None (Bodyweight),frame,read from the clip's own still
ea_easy_seated_twist_pose,Easy Seated Twist Pose,None (Bodyweight),frame,read from the clip's own still
ea_elbow_extension_and_supination_pronation_forearm_stretch,Elbow Extension and Supination Pronation Forearm Stretch,None (Bodyweight),frame,read from the clip's own still
ea_elbow_flexor_stretch,Elbow Flexor Stretch,Wall,steps,wall
ea_elbow_lift_reverse_push_up,Elbow Lift Reverse Push Up,Bench,frame,read from the clip's own still
ea_elbow_push_plank_up,Elbow Push Plank Up,None (Bodyweight),frame,read from the clip's own still
ea_elbow_extension,Elbow-extension,None (Bodyweight),frame,read from the clip's own still
ea_elbow_up_and_down_dynamic_plank,Elbow-up and Down Dynamic Plank,None (Bodyweight),frame,read from the clip's own still
ea_elevated_pike_shoulder_shrug,Elevated Pike Shoulder Shrug,Plyo Box,frame,read from the clip's own still
ea_elevated_push_up,Elevated Push Up,Yoga Block,frame,read from the clip's own still
ea_elevated_standing_calf_raise,Elevated Standing Calf Raise,Plyo Box,frame,read from the clip's own still
ea_exercise_ball_back_extension_with_hands_behind_head,Exercise Ball Back Extension with Hands Behind Head,Exercise Ball,title,exercise ball
ea_exercise_ball_body_saw,Exercise Ball Body Saw,Exercise Ball,title,exercise ball
ea_exercise_ball_leg_curl,Exercise Ball Leg Curl,Exercise Ball,title,exercise ball
ea_exercise_ball_one_legged_diagonal_kick_hamstring_curl,Exercise Ball One Legged Diagonal Kick Hamstring Curl,Exercise Ball,title,exercise ball
ea_exercise_ball_wall_squat,Exercise Ball Wall Squat,Exercise Ball,title,exercise ball
ea_extended_side_angle,Extended Side Angle,None (Bodyweight),frame,read from the clip's own still
ea_extended_side_angle_pose,Extended Side Angle Pose,None (Bodyweight),frame,read from the clip's own still
ea_extended_side_angle_pose_with_block,Extended Side Angle Pose with Block,Yoga Block,title,block
ea_extension_and_inclination_neck_stretch,Extension and Inclination Neck Stretch,None (Bodyweight),frame,read from the clip's own still
ea_extension_of_arms_in_vertical_stretch,Extension of Arms in Vertical Stretch,None (Bodyweight),frame,read from the clip's own still
ea_flat_knee_raise,Flat Knee Raise,None (Bodyweight),frame,read from the clip's own still
ea_floor_tricep_dip,Floor Tricep Dip,None (Bodyweight),frame,read from the clip's own still
ea_foam_roller_back,Foam Roller Back,Foam Roller,title,foam roller
ea_foam_roller_calves,Foam Roller Calves,Foam Roller,title,foam roller
ea_foam_roller_lateral_quads,Foam Roller Lateral Quads,Foam Roller,title,foam roller
ea_foam_roller_quads,Foam Roller Quads-,Foam Roller,title,foam roller
ea_forearms_pull_with_opposite_hand_stretch,Forearms Pull with Opposite Hand Stretch,None (Bodyweight),frame,read from the clip's own still
ea_forearms_stretch_on_wall,Forearms Stretch on Wall,Wall,title,wall
ea_forearms_stretch_on_wall_fingers_facing_down,Forearms Stretch on Wall Fingers Facing Down,Wall,title,wall
ea_frog_jumps,Frog Jumps,None (Bodyweight),frame,read from the clip's own still
ea_front_lever_raise,Front Lever Raise,Pull Up Bar,frame,read from the clip's own still
ea_front_lever_raise_to_hold,Front Lever Raise to Hold,Pull Up Bar,frame,read from the clip's own still
ea_gate_pose_rounding_spine_looking_up,Gate Pose Rounding Spine Looking Up,None (Bodyweight),frame,read from the clip's own still
ea_gate_pose_variation_arm_extended_on_side,Gate Pose Variation Arm Extended on Side,None (Bodyweight),frame,read from the clip's own still
ea_glute_bridge_bodyweight,Glute Bridge Bodyweight,None (Bodyweight),frame,read from the clip's own still
ea_good_mornings,Good Mornings,None (Bodyweight),frame,read from the clip's own still
ea_gorilla_walk,Gorilla Walk,None (Bodyweight),frame,read from the clip's own still
ea_half_burpees,Half Burpees,None (Bodyweight),frame,read from the clip's own still
ea_half_lotus,Half Lotus,None (Bodyweight),frame,read from the clip's own still
ea_half_monkey_pose,Half Monkey Pose,None (Bodyweight),frame,read from the clip's own still
ea_half_neck_rolls,Half Neck Rolls,None (Bodyweight),frame,read from the clip's own still
ea_hand_stand_hold,Hand Stand Hold,None (Bodyweight),frame,read from the clip's own still
ea_hands_clapped_forearms_stretch,Hands Clapped Forearms Stretch,None (Bodyweight),frame,read from the clip's own still
ea_hanging_leg_raises,Hanging Leg Raises,Pull Up Bar,frame,read from the clip's own still
ea_happy_baby,Happy Baby,None (Bodyweight),frame,read from the clip's own still
ea_headstand,Headstand,None (Bodyweight),frame,read from the clip's own still
ea_heavy_bag_sled_drag,Heavy Bag Sled Drag,Sled,title,sled
ea_hip_thrust_in_smith_machine,Hip-thrust in Smith Machine,Smith Machine,title,smith machine
ea_hold_the_world_med_ball,Hold the World Med Ball,Exercise Ball,title,ball
ea_hold_the_world_med_ball_chest_press,Hold the World Med Ball Chest Press,Exercise Ball,title,ball
ea_horizontal_leg_press,Horizontal Leg Press,Machine,frame,read from the clip's own still
ea_horizontal_leg_press_calf_raise,Horizontal Leg Press Calf Raise,Machine,frame,read from the clip's own still
ea_horizontal_leg_press_calf_raise_single_leg,Horizontal Leg Press Calf Raise Single Leg,Machine,frame,read from the clip's own still
ea_horizontal_leg_press_single_leg,Horizontal Leg Press Single Leg,Machine,frame,read from the clip's own still
ea_jumping_lunge,Jumping Lunge,None (Bodyweight),frame,read from the clip's own still
ea_jumping_pistol_squat,Jumping Pistol Squat,None (Bodyweight),frame,read from the clip's own still
ea_kettlebell_calf_raise,Kettlebell Calf Raise,Kettlebells,title,kettlebell
ea_kettlebell_concentration_curl,Kettlebell Concentration Curl,Kettlebells,title,kettlebell
ea_kettlebell_curl,Kettlebell Curl,Kettlebells,title,kettlebell
ea_kettlebell_decline_skull_crusher,Kettlebell Decline Skull Crusher,Kettlebells,title,kettlebell
ea_kettlebell_front_raise,Kettlebell Front Raise,Kettlebells,title,kettlebell
ea_kettlebell_glute_bridge,Kettlebell Glute Bridge,Kettlebells,title,kettlebell
ea_kettlebell_goblet_curl,Kettlebell Goblet Curl,Kettlebells,title,kettlebell
ea_kettlebell_gorilla_row,Kettlebell Gorilla Row,Kettlebells,title,kettlebell
ea_kettlebell_hip_thrusts,Kettlebell Hip Thrusts,Kettlebells,title,kettlebell
ea_kettlebell_hip_thrusts_with_bench,Kettlebell Hip Thrusts with Bench,Kettlebells,title,kettlebell
ea_kettlebell_incline_shrug,Kettlebell Incline Shrug,Kettlebells,title,kettlebell
ea_kettlebell_lateral_lunge,Kettlebell Lateral Lunge,Kettlebells,title,kettlebell
ea_kettlebell_long_lever_lateral_raise,Kettlebell Long Lever Lateral Raise,Kettlebells,title,kettlebell
ea_kettlebell_preacher_curl,Kettlebell Preacher Curl,Kettlebells,title,kettlebell
ea_kettlebell_pullover,Kettlebell Pullover,Kettlebells,title,kettlebell
ea_kettlebell_rear_delt_row,Kettlebell Rear Delt Row,Kettlebells,title,kettlebell
ea_kettlebell_reverse_lunge,Kettlebell Reverse Lunge,Kettlebells,title,kettlebell
ea_kettlebell_row,Kettlebell Row,Kettlebells,title,kettlebell
ea_kettlebell_seated_calf_raise,Kettlebell Seated Calf Raise,Kettlebells,title,kettlebell
ea_kettlebell_shoulder_extension,Kettlebell Shoulder Extension,Kettlebells,title,kettlebell
ea_kettlebell_shrug,Kettlebell Shrug,Kettlebells,title,kettlebell
ea_kettlebell_silverback_shrug,Kettlebell Silverback Shrug,Kettlebells,title,kettlebell
ea_kettlebell_single_arm_chest_fly,Kettlebell Single Arm Chest Fly,Kettlebells,title,kettlebell
ea_kettlebell_single_arm_curl,Kettlebell Single Arm Curl,Kettlebells,title,kettlebell
ea_kettlebell_single_arm_lateral_raise,Kettlebell Single Arm Lateral Raise,Kettlebells,title,kettlebell
ea_kettlebell_single_arm_rear_delt_fly,Kettlebell Single Arm Rear Delt Fly,Kettlebells,title,kettlebell
ea_kettlebell_single_arm_row,Kettlebell Single Arm Row,Kettlebells,title,kettlebell
ea_kettlebell_single_leg_calf_raise,Kettlebell Single Leg Calf Raise,Kettlebells,title,kettlebell
ea_kettlebell_single_leg_deadlift,Kettlebell Single Leg Deadlift,Kettlebells,title,kettlebell
ea_kettlebell_single_leg_glute_bridge,Kettlebell Single Leg Glute Bridge,Kettlebells,title,kettlebell
ea_kettlebell_single_leg_hip_thrust,Kettlebell Single Leg Hip Thrust,Kettlebells,title,kettlebell
ea_kettlebell_single_leg_romanian_deadlifts,Kettlebell Single Leg Romanian Deadlifts,Kettlebells,title,kettlebell
ea_kettlebell_skull_crusher,Kettlebell Skull Crusher,Kettlebells,title,kettlebell
ea_kettlebell_sled_drag,Kettlebell Sled Drag,Kettlebells,title,kettlebell
ea_kettlebell_snatch,Kettlebell Snatch,Kettlebells,title,kettlebell
ea_kettlebell_staggered_deadlift,Kettlebell Staggered Deadlift,Kettlebells,title,kettlebell
ea_kettlebell_standing_tricep_extension,Kettlebell Standing Tricep Extension,Kettlebells,title,kettlebell
ea_kettlebell_turkish_get_up,Kettlebell Turkish Get Up,Kettlebells,title,kettlebell
ea_kettlebell_upright_row,Kettlebell Upright Row,Kettlebells,title,kettlebell
ea_kettlebell_walkover_pushup,Kettlebell Walkover Pushup,Kettlebells,title,kettlebell
ea_kettlebell_windmill,Kettlebell Windmill,Kettlebells,title,kettlebell
ea_kettlebell_wrist_curl,Kettlebell Wrist Curl,Kettlebells,title,kettlebell
ea_kettlebell_wrist_extension,Kettlebell Wrist Extension,Kettlebells,title,kettlebell
ea_kipping_handstand_push_up,Kipping Handstand Push-up,Wall,frame,read from the clip's own still
ea_kipping_pull_up,Kipping Pull Up,Pull Up Bar,frame,read from the clip's own still
ea_kneeling_push_up,Kneeling Push-up,None (Bodyweight),frame,read from the clip's own still
ea_l_sit_hold,L Sit Hold,Parallettes,frame,read from the clip's own still
ea_landmine_alternating_lunge_and_twist,Landmine Alternating Lunge and Twist,Landmine,title,landmine
ea_landmine_alternating_lunge_to_chest_press,Landmine Alternating Lunge to Chest Press,Landmine,title,landmine
ea_landmine_alternating_single_arm_press,Landmine Alternating Single Arm Press,Landmine,title,landmine
ea_landmine_bicep_curl,Landmine Bicep Curl,Landmine,title,landmine
ea_landmine_calf_raise,Landmine Calf Raise,Landmine,title,landmine
ea_landmine_concentration_curl,Landmine Concentration Curl,Landmine,title,landmine
ea_landmine_curtsy_lunge,Landmine Curtsy Lunge,Landmine,title,landmine
ea_landmine_glute_kick_back,Landmine Glute Kick Back,Landmine,title,landmine
ea_landmine_goblet_curtsy_lunge,Landmine Goblet Curtsy Lunge,Landmine,title,landmine
ea_landmine_goblet_lateral_lunge,Landmine Goblet Lateral Lunge,Landmine,title,landmine
ea_landmine_hack_squat,Landmine Hack Squat,Landmine,title,landmine
ea_landmine_half_kneeling_single_arm_overhead_press,Landmine Half Kneeling Single Arm Overhead Press,Landmine,title,landmine
ea_landmine_hollow_hold,Landmine Hollow Hold,Landmine,title,landmine
ea_landmine_kneeling_alternating_overhead_press,Landmine Kneeling Alternating Overhead Press,Landmine,title,landmine
ea_landmine_kneeling_overhead_press,Landmine Kneeling Overhead Press,Landmine,title,landmine
ea_landmine_kneeling_twist,Landmine Kneeling Twist,Landmine,title,landmine
ea_landmine_lateral_lunge,Landmine Lateral Lunge,Landmine,title,landmine
