id,title,equipmentId,muscles,has_frames,has_imageUrls
cable_chest_press,Cable Chest Press,cable_machine,chest;shoulders;triceps,yes,no
cable_crossover,Cable Crossover,cable_machine,chest;shoulders,yes,no
cable_deadlifts,Cable Deadlifts,cable_machine,quads;forearms;glutes;hamstrings;lower_back,yes,no
cable_hammer_curls_rope_attachment,Cable Hammer Curls - Rope Attachment,cable_machine,biceps,yes,no
fedb_low_cable_crossover,Low Cable Crossover,cable_machine,chest;shoulders,no,yes
fedb_single-arm_cable_crossover,Single-Arm Cable Crossover,cable_machine,chest,no,yes
fedb_stride_jump_crossover,Stride Jump Crossover,cable_machine,quads;adductors;calves;hamstrings,no,yes
fedb_barbell_seated_calf_raise,Barbell Seated Calf Raise,calf_raise_machine,calves,no,yes
fedb_calf_press,Calf Press,calf_raise_machine,calves,no,yes
fedb_dumbbell_seated_one-leg_calf_raise,Dumbbell Seated One-Leg Calf Raise,calf_raise_machine,calves,no,yes
fedb_hanging_pike,Hanging Pike,captains_chair,core,no,yes
fedb_incline_cable_chest_press,Incline Cable Chest Press,chest_press_machine,chest;shoulders;triceps,no,yes
fedb_leverage_chest_press,Leverage Chest Press,chest_press_machine,chest;shoulders;triceps,no,yes
fedb_leverage_decline_chest_press,Leverage Decline Chest Press,chest_press_machine,chest;shoulders;triceps,no,yes
fedb_leverage_incline_chest_press,Leverage Incline Chest Press,chest_press_machine,chest;shoulders;triceps,no,yes
fedb_standing_cable_chest_press,Standing Cable Chest Press,chest_press_machine,chest;shoulders;triceps,no,yes
fedb_knee_hip_raise_on_parallel_bars,Knee/Hip Raise On Parallel Bars,dip_station,core,no,yes
alternate_hammer_curl,Alternate Hammer Curl,dumbbell,biceps;forearms,yes,no
alternating_deltoid_raise,Alternating Deltoid Raise,dumbbell,shoulders,yes,no
around_the_worlds,Around The Worlds,dumbbell,chest;shoulders,yes,no
fedb_bent_over_dumbbell_rear_delt_raise_with_head_on_bench,Bent Over Dumbbell Rear Delt Raise With Head On Bench,dumbbell,shoulders,no,yes
bent_arm_dumbbell_pullover,Bent-Arm Dumbbell Pullover,dumbbell,chest;lats;shoulders;triceps,yes,no
fedb_close-grip_push-up_off_of_a_dumbbell,Close-Grip Push-Up off of a Dumbbell,dumbbell,triceps;core;chest;shoulders,no,yes
fedb_decline_dumbbell_flyes,Decline Dumbbell Flyes,dumbbell,chest,no,yes
fedb_elliptical_trainer,Elliptical Trainer,elliptical,quads;calves;glutes;hamstrings,no,yes
fedb_bicycling_stationary,"Bicycling, Stationary",exercise_bike,quads;calves;glutes;hamstrings,no,yes
fedb_close-grip_ez_bar_curl,Close-Grip EZ Bar Curl,ez_curl_bar,biceps;forearms,no,yes
fedb_decline_ez_bar_triceps_extension,Decline EZ Bar Triceps Extension,ez_curl_bar,triceps,no,yes
fedb_ab_roller,Ab Roller,foam_roller,core;shoulders,no,yes
fedb_wrist_roller,Wrist Roller,foam_roller,forearms;shoulders,no,yes
fedb_glute_kickback,Glute Kickback,glute_kickback_machine,glutes;hamstrings,no,yes
fedb_lying_machine_squat,Lying Machine Squat,hack_squat_machine,quads;calves;glutes;hamstrings,no,yes
narrow_stance_hack_squats,Narrow Stance Hack Squats,hack_squat_machine,quads;calves;glutes;hamstrings,yes,no
fedb_thigh_abductor,Thigh Abductor,hip_abductor_adductor,adductors;glutes,no,yes
fedb_thigh_adductor,Thigh Adductor,hip_abductor_adductor,adductors;glutes;hamstrings,no,yes
advanced_kettlebell_windmill,Advanced Kettlebell Windmill,kettlebell,core;glutes;hamstrings;shoulders,yes,no
alternating_floor_press,Alternating Floor Press,kettlebell,chest;core;shoulders;triceps,yes,no
alternating_hang_clean,Alternating Hang Clean,kettlebell,hamstrings;biceps;calves;forearms;glutes;lower_back;traps,yes,no
alternating_kettlebell_press,Alternating Kettlebell Press,kettlebell,shoulders;triceps,yes,no
alternating_kettlebell_row,Alternating Kettlebell Row,kettlebell,back;biceps;lats,yes,no
alternating_renegade_row,Alternating Renegade Row,kettlebell,back;core;biceps;chest;lats;triceps,yes,no
fedb_double_kettlebell_alternating_hang_clean,Double Kettlebell Alternating Hang Clean,kettlebell,hamstrings;biceps;calves;forearms;glutes;lower_back;quads;traps,no,yes
fedb_double_kettlebell_jerk,Double Kettlebell Jerk,kettlebell,shoulders;calves;quads;triceps,no,yes
fedb_double_kettlebell_push_press,Double Kettlebell Push Press,kettlebell,shoulders;calves;quads;triceps,no,yes
fedb_double_kettlebell_snatch,Double Kettlebell Snatch,kettlebell,shoulders;glutes;hamstrings;quads,no,yes
fedb_double_kettlebell_windmill,Double Kettlebell Windmill,kettlebell,core;glutes;hamstrings;shoulders;triceps,no,yes
fedb_extended_range_one-arm_kettlebell_floor_press,Extended Range One-Arm Kettlebell Floor Press,kettlebell,chest;shoulders;triceps,no,yes
full_range_of_motion_lat_pulldown,Full Range-Of-Motion Lat Pulldown,lat_pulldown,lats;biceps;back;shoulders,yes,no
one_arm_lat_pulldown,One Arm Lat Pulldown,lat_pulldown,lats;biceps;back,yes,no
rocky_pull_ups_pulldowns,Rocky Pull-Ups/Pulldowns,lat_pulldown,lats;biceps;back;shoulders,yes,no
rope_straight_arm_pulldown,Rope Straight-Arm Pulldown,lat_pulldown,lats,yes,no
fedb_v-bar_pulldown,V-Bar Pulldown,lat_pulldown,lats;biceps;back;shoulders,no,yes
fedb_wide-grip_lat_pulldown,Wide-Grip Lat Pulldown,lat_pulldown,lats;biceps;back;shoulders,no,yes
fedb_wide-grip_pulldown_behind_the_neck,Wide-Grip Pulldown Behind The Neck,lat_pulldown,lats;biceps;back;shoulders,no,yes
fedb_seated_band_hamstring_curl,Seated Band Hamstring Curl,leg_curl,hamstrings,no,yes
fedb_single-leg_leg_extension,Single-Leg Leg Extension,leg_extension,quads,no,yes
bear_crawl_sled_drags,Bear Crawl Sled Drags,leg_press,quads;calves;glutes;hamstrings,yes,no
calf_press_on_the_leg_press_machine,Calf Press On The Leg Press Machine,leg_press,calves,yes,no
narrow_stance_leg_press,Narrow Stance Leg Press,leg_press,quads;calves;glutes;hamstrings,yes,no
sled_drag_harness,Sled Drag - Harness,leg_press,quads;calves;glutes;hamstrings,yes,no
sled_overhead_backward_walk,Sled Overhead Backward Walk,leg_press,shoulders;calves;back;quads,yes,no
fedb_backward_medicine_ball_throw,Backward Medicine Ball Throw,medicine_ball,shoulders,no,yes
fedb_medicine_ball_chest_pass,Medicine Ball Chest Pass,medicine_ball,chest;shoulders;triceps,no,yes
fedb_medicine_ball_full_twist,Medicine Ball Full Twist,medicine_ball,core;shoulders,no,yes
fedb_medicine_ball_scoop_throw,Medicine Ball Scoop Throw,medicine_ball,shoulders;core;hamstrings;quads,no,yes
fedb_one-arm_medicine_ball_slam,One-Arm Medicine Ball Slam,medicine_ball,core;lats;shoulders,no,yes
fedb_cable_rear_delt_fly,Cable Rear Delt Fly,pec_deck,shoulders,no,yes
fedb_reverse_machine_flyes,Reverse Machine Flyes,pec_deck,shoulders,no,yes
bench_sprint,Bench Sprint,plyo_box,quads;calves;glutes;hamstrings,yes,no
fedb_box_jump_multiple_response,Box Jump (Multiple Response),plyo_box,hamstrings;adductors;calves;glutes;quads,no,yes
fedb_box_skip,Box Skip,plyo_box,hamstrings;adductors;calves;glutes;quads,no,yes
fedb_box_squat_with_chains,Box Squat with Chains,plyo_box,quads;adductors;calves;glutes;hamstrings;lower_back,no,yes
fedb_front_box_jump,Front Box Jump,plyo_box,hamstrings;adductors;calves;glutes;quads,no,yes
fedb_lateral_box_jump,Lateral Box Jump,plyo_box,adductors;calves;glutes;hamstrings;quads,no,yes
fedb_reverse_band_box_squat,Reverse Band Box Squat,plyo_box,quads;adductors;calves;forearms;glutes;hamstrings;lower_back,no,yes
fedb_cable_preacher_curl,Cable Preacher Curl,preacher_curl_bench,biceps;forearms,no,yes
fedb_machine_preacher_curls,Machine Preacher Curls,preacher_curl_bench,biceps,no,yes
fedb_two-arm_dumbbell_preacher_curl,Two-Arm Dumbbell Preacher Curl,preacher_curl_bench,biceps,no,yes
fedb_zottman_preacher_curl,Zottman Preacher Curl,preacher_curl_bench,biceps;forearms,no,yes
fedb_kipping_muscle_up,Kipping Muscle Up,pullup_bar,lats;core;biceps;forearms;back;shoulders;traps;triceps,no,yes
fedb_muscle_up,Muscle Up,pullup_bar,lats;core;biceps;forearms;back;shoulders;traps;triceps,no,yes
fedb_one_arm_chin-up,One Arm Chin-Up,pullup_bar,back;biceps;forearms;lats,no,yes
fedb_pullups,Pullups,pullup_bar,lats;biceps;back,no,yes
fedb_heavy_bag_thrust,Heavy Bag Thrust,punching_bag,chest;core;shoulders;triceps,no,yes
fedb_recumbent_bike,Recumbent Bike,recumbent_bike,quads;calves;glutes;hamstrings,no,yes
fedb_back_flyes_-_with_bands,Back Flyes - With Bands,resistance_bands,shoulders;back;triceps,no,yes
fedb_box_squat_with_bands,Box Squat with Bands,resistance_bands,quads;adductors;calves;glutes;hamstrings;lower_back,no,yes
fedb_cross_over_-_with_bands,Cross Over - With Bands,resistance_bands,chest;biceps;shoulders,no,yes
fedb_deadlift_with_bands,Deadlift with Bands,resistance_bands,lower_back;forearms;glutes;hamstrings;back;quads;traps,no,yes
rowing_intervals,Row Intervals,rowing_machine,lats;back;quads;hamstrings;glutes;core,no,no
rowing_steady,Steady Row,rowing_machine,lats;back;quads;hamstrings;glutes;core,no,no
leverage_high_row,Leverage High Row,seated_row_machine,back;lats,yes,no
leverage_iso_row,Leverage Iso Row,seated_row_machine,lats;biceps;back,yes,no
fedb_upright_cable_row,Upright Cable Row,seated_row_machine,traps;shoulders,no,yes
fedb_barbell_shoulder_press,Barbell Shoulder Press,shoulder_press_machine,shoulders;chest;triceps,no,yes
fedb_cable_shoulder_press,Cable Shoulder Press,shoulder_press_machine,shoulders;triceps,no,yes
fedb_dumbbell_one-arm_shoulder_press,Dumbbell One-Arm Shoulder Press,shoulder_press_machine,shoulders;triceps,no,yes
fedb_leverage_shoulder_press,Leverage Shoulder Press,shoulder_press_machine,shoulders;triceps,no,yes
fedb_machine_shoulder_military_press,Machine Shoulder (Military) Press,shoulder_press_machine,shoulders;triceps,no,yes
ski_erg_intervals,Ski Erg Intervals,ski_erg,lats;triceps;core;shoulders,no,no
ski_erg_steady,Ski Erg Steady Pull,ski_erg,lats;triceps;core,no,no
fedb_decline_smith_press,Decline Smith Press,smith_machine,chest;shoulders;triceps,no,yes
fedb_smith_incline_shoulder_raise,Smith Incline Shoulder Raise,smith_machine,shoulders;chest,no,yes
fedb_smith_machine_behind_the_back_shrug,Smith Machine Behind the Back Shrug,smith_machine,traps;shoulders,no,yes
fedb_smith_machine_bench_press,Smith Machine Bench Press,smith_machine,chest;shoulders;triceps,no,yes
fedb_smith_machine_bent_over_row,Smith Machine Bent Over Row,smith_machine,back;biceps;lats;shoulders,no,yes
barbell_full_squat,Barbell Full Squat,squat_rack,quads;calves;glutes;hamstrings;lower_back,yes,no
barbell_hack_squat,Barbell Hack Squat,squat_rack,quads;calves;forearms;hamstrings,yes,no
barbell_side_split_squat,Barbell Side Split Squat,squat_rack,quads;calves;hamstrings;lower_back,yes,no
barbell_squat_to_a_bench,Barbell Squat To A Bench,squat_rack,quads;calves;glutes;hamstrings;lower_back,yes,no
box_squat,Box Squat,squat_rack,quads;adductors;calves;glutes;hamstrings;lower_back,yes,no
fedb_rack_delivery,Rack Delivery,squat_rack,shoulders;forearms;traps,no,yes
fedb_rack_pulls,Rack Pulls,squat_rack,lower_back;forearms;glutes;hamstrings;traps,no,yes
fedb_stairmaster,Stairmaster,stair_climber,quads;calves;glutes;hamstrings,no,yes
fedb_step_mill,Step Mill,stair_climber,quads;calves;glutes;hamstrings,no,yes
fedb_t-bar_row_with_handle,T-Bar Row with Handle,t_bar_row,back;biceps;lats,no,yes
treadmill_incline_walk,Incline Walk,treadmill,glutes;hamstrings;quads;calves,no,no
treadmill_intervals,Run Intervals,treadmill,quads;hamstrings;glutes;calves;core,no,no
treadmill_steady_run,Steady-State Run,treadmill,quads;hamstrings;glutes;calves;core,no,no
treadmill_warmup_walk,Warm-up Walk,treadmill,quads;hamstrings;glutes;calves,no,no
fedb_dip_machine,Dip Machine,tricep_extension_machine,triceps;chest;shoulders,no,yes
fedb_front_plate_raise,Front Plate Raise,weight_plates,shoulders,no,yes
fedb_plate_pinch,Plate Pinch,weight_plates,forearms,no,yes
fedb_plate_twist,Plate Twist,weight_plates,core,no,yes
fedb_reverse_plate_curls,Reverse Plate Curls,weight_plates,biceps;forearms,no,yes
