id,title,poseTargetId,reason
ea_band_wrist_curl_single_arm,Band Wrist Curl Single Arm,curl,title match
ea_banded_feet_elevated_hip_thrusters,Banded Feet Elevated Hip Thrusters,hinge,title match
ea_barbell_alternate_biceps_curl,Barbell Alternate Biceps Curl,curl,title match
ea_barbell_behind_neck_push_press,Barbell Behind Neck Push Press,overhead_press,title match
ea_barbell_behind_the_back_push_press_single_arm_balance,Barbell Behind the Back Push Press Single Arm Balance,overhead_press,title match
ea_barbell_bicep_curl_close_grip,Barbell Bicep Curl Close Grip,curl,title match
ea_barbell_bicep_curl_normal_grip,Barbell Bicep Curl Normal Grip,curl,title match
ea_barbell_bicep_curl_wide_grip,Barbell Bicep Curl Wide Grip,curl,title match
ea_barbell_biceps_curl,Barbell Biceps Curl,curl,title match
ea_barbell_box_squat,Barbell Box Squat,squat,title match
ea_barbell_bulgarian_split_squat,Barbell Bulgarian Split Squat,lunge,title match
ea_barbell_bulgarian_split_squat_left_front_back_view,Barbell Bulgarian Split Squat Left Front-back View,lunge,title match
ea_barbell_bulgarian_split_squat_left_side_view,Barbell Bulgarian Split Squat Left Side View,lunge,title match
ea_barbell_clean_and_jerk_split_squat,Barbell Clean and Jerk Split Squat,lunge,title match
ea_barbell_clean_deadlift,Barbell Clean Deadlift,hinge,title match
ea_barbell_clean_grip_front_squat,Barbell Clean Grip Front Squat,squat,title match
ea_barbell_coan_deadlift,Barbell Coan Deadlift,hinge,title match
ea_barbell_curl,Barbell Curl,curl,title match
ea_barbell_curtsy_lunges,Barbell Curtsy Lunges,lunge,title match
ea_barbell_deadlift,Barbell Deadlift,hinge,title match
ea_barbell_deadlift_front_pov,Barbell Deadlift (front POV),hinge,title match
ea_barbell_deadlift_side_pov,Barbell Deadlift (side POV),hinge,title match
ea_barbell_deadlift_360_degrees,Barbell Deadlift 360 Degrees,hinge,title match
ea_barbell_deadlift_high_pull,Barbell Deadlift High Pull,hinge,title match
ea_barbell_drag_biceps_curl,Barbell Drag Biceps Curl,curl,title match
ea_barbell_drag_curl,Barbell Drag Curl,curl,title match
ea_barbell_feet_elevated_figure_four_glute_bridge,Barbell Feet Elevated Figure Four Glute Bridge,hinge,title match
ea_barbell_feet_elevated_glute_bridge,Barbell Feet Elevated Glute Bridge,hinge,title match
ea_barbell_feet_elevated_single_leg_glute_bridge,Barbell Feet Elevated Single Leg Glute Bridge,hinge,title match
ea_barbell_feet_elevated_staggered_glute_bridge,Barbell Feet Elevated Staggered Glute Bridge,hinge,title match
ea_barbell_front_chest_lunges,Barbell Front Chest Lunges,lunge,title match
ea_barbell_front_chest_squat,Barbell Front Chest Squat,squat,title match
ea_barbell_front_lunges_with_small_pause,Barbell Front Lunges with Small Pause,lunge,title match
ea_barbell_front_rack_lunge,Barbell Front Rack Lunge,lunge,title match
ea_barbell_full_squat,Barbell Full Squat,squat,title match
ea_barbell_full_squat_side_pov,Barbell Full Squat Side Pov,squat,title match
ea_barbell_full_squat_wide,Barbell Full Squat Wide,squat,title match
ea_barbell_full_squat_back,Barbell Full Squat(back),squat,title match
ea_barbell_full_squat_with_rack,Barbell Full Squat(with Rack),squat,title match
ea_barbell_full_zercher_squat,Barbell Full Zercher Squat,squat,title match
ea_barbell_glute_bridge,Barbell Glute Bridge,hinge,title match
ea_barbell_glute_bridge_hands_on_bar,Barbell Glute Bridge (hands on Bar),hinge,title match
ea_barbell_good_morning,Barbell Good Morning,hinge,title match
ea_barbell_hip_thrust,Barbell Hip Thrust,hinge,title match
ea_barbell_jefferson_split_squat,Barbell Jefferson Split Squat,lunge,title match
ea_barbell_jump_squat,Barbell Jump Squat,squat,title match
ea_barbell_kas_glute_bridge,Barbell KAS Glute Bridge,hinge,title match
ea_barbell_lap_curl,Barbell Lap Curl,curl,title match
ea_barbell_lateral_lunges,Barbell Lateral Lunges,lunge,title match
ea_barbell_low_bar_squat,Barbell Low Bar Squat,squat,title match
ea_barbell_lunges,Barbell Lunges,lunge,title match
ea_barbell_lunges_on_the_spot,Barbell Lunges on the Spot,lunge,title match
ea_barbell_narrow_stance_full_squat,Barbell Narrow Stance Full Squat,squat,title match
ea_barbell_narrow_stance_squat,Barbell Narrow Stance Squat,squat,title match
ea_barbell_one_arm_single_deadlift,Barbell One Arm Single Deadlift,hinge,title match
ea_barbell_one_leg_hip_thrust,Barbell One Leg Hip Thrust,hinge,title match
ea_barbell_overhead_lunges,Barbell Overhead Lunges,lunge,title match
ea_barbell_overhead_squat,Barbell Overhead Squat,squat,title match
ea_barbell_pause_lunge,Barbell Pause Lunge,lunge,title match
ea_barbell_preacher_curl,Barbell Preacher Curl,curl,title match
ea_barbell_quarter_squat,Barbell Quarter Squat,squat,title match
ea_barbell_rear_lunge_on_box,Barbell Rear Lunge on Box,lunge,title match
ea_barbell_rear_lunges,Barbell Rear Lunges,lunge,title match
ea_barbell_reverse_biceps_curl,Barbell Reverse Biceps Curl,curl,title match
ea_barbell_reverse_deadlift,Barbell Reverse Deadlift,hinge,title match
ea_barbell_reverse_spider_curl,Barbell Reverse Spider Curl,curl,title match
ea_barbell_side_split_squat,Barbell Side Split Squat,lunge,title match
ea_barbell_side_step_up,Barbell Side Step Up,lunge,title match
ea_barbell_single_arm_biceps_curl,Barbell Single Arm Biceps Curl,curl,title match
ea_barbell_single_leg_deadlift,Barbell Single Leg Deadlift,hinge,title match
ea_barbell_single_leg_split_squat,Barbell Single Leg Split Squat,lunge,title match
ea_barbell_situp,Barbell Situp,situp,title match
ea_barbell_snatch_deadlift_close_grip,Barbell Snatch Deadlift Close Grip,hinge,title match
ea_barbell_snatch_deadlift_wide_grip,Barbell Snatch Deadlift Wide Grip,hinge,title match
ea_barbell_split_squat,Barbell Split Squat,lunge,title match
ea_barbell_squat_back_pov,Barbell Squat Back POV,squat,title match
ea_barbell_squat_to_grass,Barbell Squat to Grass,squat,title match
ea_barbell_squat_with_2_sec_hold,Barbell Squat with 2 Sec Hold,squat,title match
ea_barbell_staggered_deadlift,Barbell Staggered Deadlift,hinge,title match
ea_barbell_standing_back_wrist_curl,Barbell Standing Back Wrist Curl,curl,title match
ea_barbell_standing_close_grip_curl,Barbell Standing Close Grip Curl,curl,title match
ea_barbell_standing_close_grip_military_press,Barbell Standing Close Grip Military Press,overhead_press,title match
ea_barbell_standing_concentration_curl,Barbell Standing Concentration Curl,curl,title match
ea_barbell_standing_leg_calf_raises,Barbell Standing Leg Calf Raises,calf_raise,title match
ea_barbell_standing_military_press,Barbell Standing Military Press,overhead_press,title match
ea_barbell_standing_shoulder_press,Barbell Standing Shoulder Press,overhead_press,title match
ea_barbell_standing_wide_grip_military_press,Barbell Standing Wide Grip Military Press,overhead_press,title match
ea_barbell_step_up_balance_on_box,Barbell Step Up Balance on Box,lunge,title match
ea_barbell_stiff_leg_deadlift,Barbell Stiff Leg Deadlift,hinge,title match
ea_barbell_straight_leg_deadlift,Barbell Straight Leg Deadlift,hinge,title match
ea_barbell_sumo_deadlift,Barbell Sumo Deadlift,hinge,title match
ea_barbell_sumo_romanian_deadlift,Barbell Sumo Romanian Deadlift,hinge,title match
ea_barbell_wide_grip_biceps_curl,Barbell Wide Grip Biceps Curl,curl,title match
ea_barbell_wrist_curl_on_knees,Barbell Wrist Curl on Knees,curl,title match
ea_barbell_wrist_curl_wide_legs,Barbell Wrist Curl Wide Legs,curl,title match
ea_barbell_zercher_good_morning,Barbell Zercher Good Morning,hinge,title match
ea_biceps_curl_front_step,Biceps Curl Front Step,curl,title match
ea_biceps_curl_resistance_band,Biceps Curl Resistance Band,curl,title match
ea_biceps_leg_concentration_curl,Biceps Leg Concentration Curl,curl,title match
ea_bicycle_twisting_crunch,Bicycle Twisting Crunch,situp,title match
ea_bicycles_crunches,Bicycles Crunches,situp,title match
ea_body_saw_plank,Body Saw Plank,pushup,title match
ea_bodyweight_calf_raises,Bodyweight Calf Raises,calf_raise,title match
ea_bodyweight_feet_elevated_figure_four_glute_bridge,Bodyweight Feet Elevated Figure Four Glute Bridge,hinge,title match
ea_bodyweight_feet_elevated_staggered_glute_bridge,Bodyweight Feet Elevated Staggered Glute Bridge,hinge,title match
ea_bodyweight_forward_lunge,Bodyweight Forward Lunge,lunge,title match
ea_bodyweight_full_squat_with_overhead_press,Bodyweight Full Squat with Overhead Press,overhead_press,title match
ea_bodyweight_kneeling_push_up_row,Bodyweight Kneeling Push-up Row,pushup,title match
ea_bodyweight_overhead_squat,Bodyweight Overhead Squat,squat,title match
ea_bodyweight_pulse_forward_lunge,Bodyweight Pulse Forward Lunge,lunge,title match
ea_bodyweight_pulse_squat,Bodyweight Pulse Squat,squat,title match
ea_bodyweight_pulse_squat_arms_to_chest,Bodyweight Pulse Squat Arms to Chest,squat,title match
ea_bodyweight_rear_lunge,Bodyweight Rear Lunge,lunge,title match
ea_bodyweight_rear_lunge_front_raise,Bodyweight Rear Lunge Front Raise,lunge,title match
ea_bodyweight_single_leg_deadlift,Bodyweight Single Leg Deadlift,hinge,title match
ea_bodyweight_standing_calf_raise,Bodyweight Standing Calf Raise,calf_raise,title match
ea_bodyweight_standing_military_press,Bodyweight Standing Military Press,overhead_press,title match
ea_bodyweight_standing_military_press_wall_supported,Bodyweight Standing Military Press Wall Supported,overhead_press,title match
ea_bodyweight_step_up_on_step_box,Bodyweight Step-up on Step Box,lunge,title match
ea_brazilian_crunches,Brazilian Crunches,situp,title match
ea_bulgarian_split_squat,Bulgarian Split Squat,lunge,title match
ea_bulgarian_split_squat_bodyweight_left,Bulgarian Split Squat Bodyweight Left,lunge,title match
ea_bulgarian_split_squat_bodyweight_right,Bulgarian Split Squat Bodyweight Right,lunge,title match
ea_bulgarian_split_squat_left_bodyweight_side_view,Bulgarian Split Squat Left Bodyweight Side View,lunge,title match
ea_bulgarian_split_squat_right_bodyweight_side_view,Bulgarian Split Squat Right Bodyweight Side View,lunge,title match
ea_bulgarian_split_squat_stretch,Bulgarian Split Squat Stretch,lunge,title match
ea_calf_raise_clap,Calf Raise Clap,calf_raise,title match
ea_calf_raise_from_deficit_with_chair_supported,Calf Raise From Deficit with Chair Supported,calf_raise,title match
ea_calf_raise_with_wall_support,Calf Raise with Wall Support,calf_raise,title match
ea_cardio_lunge,Cardio Lunge,lunge,title match
ea_celebratory_hip_thrust,Celebratory Hip Thrust,hinge,title match
ea_chair_back_lunge_left_resistance_band,Chair Back Lunge Left Resistance Band,lunge,title match
ea_chair_back_lunge_right_resistance_band,Chair Back Lunge Right Resistance Band,lunge,title match
ea_chair_bulgarian_split_squats_bodyweight_left,Chair Bulgarian Split Squats Bodyweight Left,lunge,title match
ea_chair_bulgarian_split_squats_bodyweight_right,Chair Bulgarian Split Squats Bodyweight Right,lunge,title match
ea_chair_elevated_single_leg_glute_bridge,Chair Elevated Single Leg Glute Bridge,hinge,title match
ea_chair_feet_elevated_glute_bridge,Chair Feet Elevated Glute Bridge,hinge,title match
ea_chair_frog_feet_elevated_glute_bridge_bodyweight,Chair Frog Feet Elevated Glute Bridge Bodyweight,hinge,title match
ea_chest_tap_push_up,Chest Tap Push Up,pushup,title match
ea_clap_push_ups,Clap Push Ups,pushup,title match
ea_clock_push_ups,Clock Push Ups,pushup,title match
ea_close_grip_push_up,Close Grip Push Up,pushup,title match
ea_cobra_full_push_up,Cobra Full Push Up,pushup,title match
ea_cobra_push_up,Cobra Push Up,pushup,title match
ea_crunch_arms_straight,Crunch (arms Straight),situp,title match
ea_crunch_hands_overhead,Crunch (hands Overhead),situp,title match
ea_crunch_legs_on_stability_ball,Crunch (legs on Stability Ball),situp,title match
ea_crunch_on_bosu_ball,Crunch (on Bosu Ball),situp,title match
ea_crunch_on_stability_ball,Crunch (on Stability Ball),situp,title match
ea_crunch_straight_leg_up,Crunch (straight Leg Up),situp,title match
ea_crunch_floor,Crunch Floor,situp,title match
ea_crunch_frog_on_floor,Crunch Frog on Floor,situp,title match
ea_crunch_leg_raise,Crunch Leg Raise,situp,title match
ea_crunch_with_medicine_ball,Crunch with Medicine Ball,situp,title match
ea_curtsy_lunge_bodyweight,Curtsy Lunge Bodyweight,lunge,title match
ea_curtsy_lunge_slide_with_towel,Curtsy Lunge Slide with Towel,lunge,title match
ea_curtsy_lunges_resistance_band,Curtsy Lunges Resistance Band,lunge,title match
ea_decline_bent_leg_reverse_crunch,Decline Bent Leg Reverse Crunch,situp,title match
ea_decline_chair_push_up_diamond,Decline Chair Push Up Diamond,pushup,title match
ea_decline_diamond_pike_push_up,Decline Diamond Pike Push-up,pushup,title match
ea_decline_kneeling_push_up,Decline Kneeling Push Up,pushup,title match
ea_decline_kneeling_push_up_on_box,Decline Kneeling Push Up on Box,pushup,title match
ea_decline_levitating_sit_ups_bodyweight,Decline Levitating Sit Ups Bodyweight,situp,title match
ea_decline_push_up,Decline Push Up,pushup,title match
ea_decline_push_up_against_wall,Decline Push Up Against Wall,pushup,title match
ea_decline_sit_up,Decline Sit Up,situp,title match
ea_decline_sit_ups_dumbbells,Decline Sit Ups Dumbbells,situp,title match
ea_deep_push_up,Deep Push-up,pushup,title match
ea_diagonal_lunge,Diagonal Lunge,lunge,title match
ea_diamond_push_up,Diamond Push Up,pushup,title match
ea_diamond_push_up_on_knees,Diamond Push-up (on Knees),pushup,title match
ea_donkey_calf_raise,Donkey Calf Raise,calf_raise,title match
ea_doorway_biceps_curl,Doorway Biceps Curl,curl,title match
ea_double_jump_squat,Double Jump Squat,squat,title match
ea_drag_curl_dumbbell,Drag Curl Dumbbell,curl,title match
ea_drag_curl_resistance_band,Drag Curl Resistance Band,curl,title match
ea_dumbbell_ab_crunch,Dumbbell Ab Crunch,situp,title match
ea_dumbbell_alternate_biceps_curl,Dumbbell Alternate Biceps Curl,curl,title match
ea_dumbbell_alternate_biceps_curl_version_2,Dumbbell Alternate Biceps Curl (version 2),curl,title match
ea_dumbbell_alternate_shoulder_press,Dumbbell Alternate Shoulder Press,overhead_press,title match
ea_dumbbell_bar_grip_sumo_squat,Dumbbell Bar Grip Sumo Squat,squat,title match
ea_dumbbell_biceps_curl_with_overhead_extension_on_stability_ball,Dumbbell Biceps Curl with Overhead Extension on Stability Ball,curl,title match
ea_dumbbell_bulgarian_box_split_squat,Dumbbell Bulgarian Box Split Squat,lunge,title match
ea_dumbbell_bulgarian_split_squat,Dumbbell Bulgarian Split Squat,lunge,title match
ea_dumbbell_close_legs_deadlift,Dumbbell Close Legs Deadlift,hinge,title match
ea_dumbbell_close_grip_simultaneous_curl,Dumbbell Close-grip Simultaneous Curl,curl,title match
ea_dumbbell_cross_body_hammer_curl_version_2,Dumbbell Cross Body Hammer Curl (version 2),curl,title match
ea_dumbbell_crunch_hold_with_legs_off,Dumbbell Crunch Hold with Legs Off,situp,title match
ea_dumbbell_curl_press_extend,Dumbbell Curl Press Extend,curl,title match
ea_dumbbell_curtsy_lunge,Dumbbell Curtsy Lunge,lunge,title match
ea_dumbbell_decline_overhead_sit_up,Dumbbell Decline Overhead Sit-up,situp,title match
ea_dumbbell_decline_sit_up,Dumbbell Decline Sit-up,situp,title match
ea_dumbbell_drag_over_shoulder_bicep_curl,Dumbbell Drag Over Shoulder Bicep Curl,curl,title match
ea_dumbbell_elbow_side_plank,Dumbbell Elbow Side Plank,pushup,title match
ea_dumbbell_feet_elevated_figure_four_glute_bridge,Dumbbell Feet Elevated Figure Four Glute Bridge,hinge,title match
ea_dumbbell_feet_elevated_glute_bridge,Dumbbell Feet Elevated Glute Bridge,hinge,title match
ea_dumbbell_feet_elevated_single_leg_glute_bridge,Dumbbell Feet Elevated Single Leg Glute Bridge,hinge,title match
ea_dumbbell_feet_elevated_staggered_glute_bridge,Dumbbell Feet Elevated Staggered Glute Bridge,hinge,title match
ea_dumbbell_figure_four_glute_bridge,Dumbbell Figure Four Glute Bridge,hinge,title match
ea_dumbbell_front_rack_lunge,Dumbbell Front Rack Lunge,lunge,title match
ea_dumbbell_front_squat,Dumbbell Front Squat,squat,title match
ea_dumbbell_glute_bridge,Dumbbell Glute Bridge,hinge,title match
ea_dumbbell_goblet_2_sec_hold_squat,Dumbbell Goblet 2 Sec Hold Squat,squat,title match
ea_dumbbell_goblet_curtsy_lunge,Dumbbell Goblet Curtsy Lunge,lunge,title match
ea_dumbbell_goblet_forward_lunge,Dumbbell Goblet Forward Lunge,lunge,title match
ea_dumbbell_goblet_good_morning,Dumbbell Goblet Good Morning,hinge,title match
ea_dumbbell_goblet_reverse_lunge,Dumbbell Goblet Reverse Lunge,lunge,title match
ea_dumbbell_goblet_split_squat,Dumbbell Goblet Split Squat,lunge,title match
ea_dumbbell_goblet_split_squat_front_foot_elevanted,Dumbbell Goblet Split Squat Front Foot Elevanted,lunge,title match
ea_dumbbell_goblet_squat,Dumbbell Goblet Squat,squat,title match
ea_dumbbell_half_biceps_curl_for_21s,Dumbbell Half Biceps Curl For 21s,curl,title match
ea_dumbbell_half_kneeling_military_press,Dumbbell Half Kneeling Military Press,overhead_press,title match
ea_dumbbell_hammer_curl,Dumbbell Hammer Curl,curl,title match
ea_dumbbell_hammer_curl_simultaneous_arms,Dumbbell Hammer Curl Simultaneous Arms,curl,title match
ea_dumbbell_hammer_preacher_curl_simultaneous_arms,Dumbbell Hammer Preacher Curl Simultaneous Arms,curl,title match
ea_dumbbell_hammer_strict_curl,Dumbbell Hammer Strict Curl,curl,title match
ea_dumbbell_hand_side_plank,Dumbbell Hand Side Plank,pushup,title match
ea_dumbbell_high_curl,Dumbbell High Curl,curl,title match
ea_dumbbell_hip_thrust,Dumbbell Hip Thrust,hinge,title match
ea_dumbbell_hip_thrust_version_2,Dumbbell Hip Thrust (version 2),hinge,title match
ea_dumbbell_incline_alternate_bicep_curl,Dumbbell Incline Alternate Bicep Curl,curl,title match
ea_dumbbell_incline_alternate_curl,Dumbbell Incline Alternate Curl,curl,title match
ea_dumbbell_incline_alternate_hammer_curl,Dumbbell Incline Alternate Hammer Curl,curl,title match
ea_dumbbell_incline_biceps_simultaneous_curl,Dumbbell Incline Biceps Simultaneous Curl,curl,title match
ea_dumbbell_incline_hammer_shoulder_press,Dumbbell Incline Hammer Shoulder Press,overhead_press,title match
ea_dumbbell_incline_hammer_simultaneous_curl,Dumbbell Incline Hammer Simultaneous Curl,curl,title match
ea_dumbbell_incline_simultaneous_curl,Dumbbell Incline Simultaneous Curl,curl,title match
ea_dumbbell_jumping_squat,Dumbbell Jumping Squat,squat,title match
ea_dumbbell_lunge_alternating_on_the_spot,Dumbbell Lunge Alternating on the Spot,lunge,title match
ea_dumbbell_lunge_pulse,Dumbbell Lunge Pulse,lunge,title match
ea_dumbbell_offset_squat,Dumbbell Offset Squat,squat,title match
ea_dumbbell_one_arm_hammer_preacher_curl,Dumbbell One Arm Hammer Preacher Curl,curl,title match
ea_dumbbell_one_arm_reverse_preacher_curl,Dumbbell One Arm Reverse Preacher Curl,curl,title match
ea_dumbbell_one_arm_reverse_wrist_curl,Dumbbell One Arm Reverse Wrist Curl,curl,title match
ea_dumbbell_one_arm_shoulder_press_version_2,Dumbbell One Arm Shoulder Press (version 2),overhead_press,title match
ea_dumbbell_one_arm_wrist_curl,Dumbbell One Arm Wrist Curl,curl,title match
ea_dumbbell_one_arm_zottman_preacher_curl,Dumbbell One Arm Zottman Preacher Curl,curl,title match
ea_dumbbell_overhead_lunge,Dumbbell Overhead Lunge,lunge,title match
ea_dumbbell_overhead_sit_up,Dumbbell Overhead Sit-up,situp,title match
ea_dumbbell_plank_pullthrough,Dumbbell Plank Pullthrough,pushup,title match
ea_dumbbell_preacher_curl,Dumbbell Preacher Curl,curl,title match
ea_dumbbell_preacher_curl_turned_torso,Dumbbell Preacher Curl (turned Torso),curl,title match
ea_dumbbell_preacher_curl_over_exercise_ball,Dumbbell Preacher Curl Over Exercise Ball,curl,title match
ea_dumbbell_prone_incline_curl,Dumbbell Prone Incline Curl,curl,title match
ea_dumbbell_prone_incline_hammer_curl,Dumbbell Prone Incline Hammer Curl,curl,title match
ea_dumbbell_push_press,Dumbbell Push Press,overhead_press,title match
ea_dumbbell_rear_lunge,Dumbbell Rear Lunge,lunge,title match
ea_dumbbell_rear_lunge_from_step,Dumbbell Rear Lunge From Step,lunge,title match
ea_dumbbell_reverse_grip_biceps_curl,Dumbbell Reverse Grip Biceps Curl,curl,title match
ea_dumbbell_reverse_lunge_on_the_spot,Dumbbell Reverse Lunge on the Spot,lunge,title match
ea_dumbbell_reverse_lunges_pulses,Dumbbell Reverse Lunges Pulses,lunge,title match
ea_dumbbell_reverse_spider_curl,Dumbbell Reverse Spider Curl,curl,title match
ea_dumbbell_reverse_wrist_curl,Dumbbell Reverse Wrist Curl,curl,title match
ea_dumbbell_romanian_deadlift,Dumbbell Romanian Deadlift,hinge,title match
ea_dumbbell_side_lunge_alternating,Dumbbell Side Lunge Alternating,lunge,title match
ea_dumbbell_side_lunge_left_n_right,Dumbbell Side Lunge Left N Right,lunge,title match
ea_dumbbell_side_lunge_single_leg,Dumbbell Side Lunge Single Leg,lunge,title match
ea_dumbbell_side_plank_up_down,Dumbbell Side Plank Up Down,pushup,title match
ea_dumbbell_side_plank_with_rear_fly,Dumbbell Side Plank with Rear Fly,pushup,title match
ea_dumbbell_simultaneous_biceps_curl,Dumbbell Simultaneous Biceps Curl,curl,title match
ea_dumbbell_single_arm_overhead_lunge,Dumbbell Single Arm Overhead Lunge,lunge,title match
ea_dumbbell_single_arm_starfish_crunch,Dumbbell Single Arm Starfish Crunch,situp,title match
ea_dumbbell_single_leg_calf_raise_wall_support,Dumbbell Single Leg Calf Raise Wall Support,calf_raise,title match
ea_dumbbell_single_leg_deadlift,Dumbbell Single Leg Deadlift,hinge,title match
ea_dumbbell_single_leg_glute_bridge,Dumbbell Single Leg Glute Bridge,hinge,title match
ea_dumbbell_single_leg_hip_thrust,Dumbbell Single Leg Hip Thrust,hinge,title match
ea_dumbbell_single_leg_single_arm_deadlift,Dumbbell Single Leg Single Arm Deadlift,hinge,title match
ea_dumbbell_single_leg_split_squat,Dumbbell Single Leg Split Squat,lunge,title match
ea_dumbbell_single_leg_step_up,Dumbbell Single Leg Step-up,lunge,title match
ea_dumbbell_split_squat,Dumbbell Split Squat,lunge,title match
ea_dumbbell_squats_to_shoulder_press,Dumbbell Squats to Shoulder Press,overhead_press,title match
ea_dumbbell_staggered_deadlift,Dumbbell Staggered Deadlift,hinge,title match
ea_dumbbell_staggered_glute_bridge,Dumbbell Staggered Glute Bridge,hinge,title match
ea_dumbbell_staggered_hip_thrust,Dumbbell Staggered Hip Thrust,hinge,title match
ea_dumbbell_standing_alternate_overhead_press,Dumbbell Standing Alternate Overhead Press,overhead_press,title match
ea_dumbbell_standing_calf_raise,Dumbbell Standing Calf Raise,calf_raise,title match
ea_dumbbell_standing_calf_raise_on_step,Dumbbell Standing Calf Raise on Step,calf_raise,title match
ea_dumbbell_standing_concentration_curl,Dumbbell Standing Concentration Curl,curl,title match
ea_dumbbell_standing_curl_arnold_press,Dumbbell Standing Curl Arnold Press,curl,title match
ea_dumbbell_standing_hammer_drag_curl,Dumbbell Standing Hammer Drag Curl,curl,title match
ea_dumbbell_standing_one_arm_concentration_curl,Dumbbell Standing One Arm Concentration Curl,curl,title match
ea_dumbbell_standing_overhead_press,Dumbbell Standing Overhead Press,overhead_press,title match
ea_dumbbell_standing_preacher_curl,Dumbbell Standing Preacher Curl,curl,title match
ea_dumbbell_standing_reverse_curl,Dumbbell Standing Reverse Curl,curl,title match
ea_dumbbell_standing_simultaneous_biceps_curl,Dumbbell Standing Simultaneous Biceps Curl,curl,title match
ea_dumbbell_standing_single_leg_calf_raise,Dumbbell Standing Single Leg Calf Raise,calf_raise,title match
ea_dumbbell_standing_wide_simultaneous_biceps_curl,Dumbbell Standing Wide Simultaneous Biceps Curl,curl,title match
ea_dumbbell_standing_wrist_curl,Dumbbell Standing Wrist Curl,curl,title match
ea_dumbbell_starfish_crunch_alternating,Dumbbell Starfish Crunch Alternating,situp,title match
ea_dumbbell_static_lunge,Dumbbell Static Lunge,lunge,title match
ea_dumbbell_step_up_with_knee_raise,Dumbbell Step-up with Knee Raise,lunge,title match
ea_dumbbell_stiff_leg_deadlift,Dumbbell Stiff Leg Deadlift,hinge,title match
