Internal ID,Exercise Name,Existing File Name,Missing Version,Variation Notes,Reference Video URL
ea_box_jump_squats,Box Jump Squats,box jump squats.mp4,Female,,
ea_bulgarian_split_squat,Bulgarian Split Squat,Bulgarian Split Squat.mp4,Female,,
ea_bulgarian_split_squat_bodyweight_left,Bulgarian Split Squat Bodyweight Left,bulgarian split squat bodyweight left.mp4,Female,,
ea_bulgarian_split_squat_bodyweight_right,Bulgarian Split Squat Bodyweight Right,bulgarian split squat bodyweight right.mp4,Female,,
ea_bulgarian_split_squat_cable_resistance_band,Bulgarian Split Squat Cable Resistance Band,bulgarian split squat cable resistance band.mp4,Female,,
ea_bulgarian_split_squat_left_bodyweight_side_view,Bulgarian Split Squat Left Bodyweight Side View,bulgarian split squat left bodyweight side view.mp4,Female,,
ea_bulgarian_split_squat_right_bodyweight_side_view,Bulgarian Split Squat Right Bodyweight Side View,bulgarian split squat right bodyweight side view.mp4,Female,,
ea_burpee_squat,Burpee Squat,Burpee Squat.mp4,Female,,
ea_cable_assisted_inverse_leg_curl,Cable Assisted Inverse Leg Curl,Cable Assisted Inverse Leg Curl.mp4,Female,,
ea_cable_narrow_chair_stand_up,Cable Narrow Chair Stand-up,Cable Narrow Chair Stand-Up.mp4,Female,,
ea_cable_standing_leg_extension,Cable Standing Leg Extension,Cable Standing Leg Extension.mp4,Male,,
ea_calf_raise_clap,Calf Raise Clap,Calf Raise Clap.mp4,Female,,
ea_calf_raise_from_deficit_with_chair_supported,Calf Raise From Deficit with Chair Supported,Calf Raise from Deficit with Chair Supported.mp4,Female,,
ea_calf_raise_with_wall_support,Calf Raise with Wall Support,Calf Raise with Wall Support.mp4,Female,,
ea_chair_back_lunge_left_resistance_band,Chair Back Lunge Left Resistance Band,chair back lunge left resistance band.mp4,Female,,
ea_chair_back_lunge_right_resistance_band,Chair Back Lunge Right Resistance Band,chair back lunge right resistance band.mp4,Female,,
ea_chair_bulgarian_split_squats_bodyweight_left,Chair Bulgarian Split Squats Bodyweight Left,Chair Bulgarian Split Squats bodyweight left.mp4,Female,,
ea_chair_bulgarian_split_squats_bodyweight_right,Chair Bulgarian Split Squats Bodyweight Right,chair Bulgarian Split Squats bodyweight right.mp4,Female,,
ea_chair_elevated_single_leg_glute_bridge,Chair Elevated Single Leg Glute Bridge,Chair Elevated Single Leg Glute Bridge.mp4,Female,,
ea_chair_feet_elevated_glute_bridge,Chair Feet Elevated Glute Bridge,chair Feet Elevated Glute Bridge.mp4,Female,,
ea_chair_frog_feet_elevated_glute_bridge_bodyweight,Chair Frog Feet Elevated Glute Bridge Bodyweight,chair Frog Feet Elevated Glute Bridge bodyweight.mp4,Female,,
ea_clap_curtsy_squat,Clap Curtsy Squat,Clap Curtsy Squat.mp4,Female,,
ea_cossack_squat,Cossack Squat,Cossack Squat.mp4,Female,,
ea_counterbalanced_skater_squat,Counterbalanced Skater Squat,Counterbalanced Skater Squat.mp4,Female,,
ea_crossed_arms_front_leg_kick,Crossed Arms Front Leg Kick,Crossed Arms Front Leg Kick.mp4,Female,,
ea_curtsy_lunge_bodyweight,Curtsy Lunge Bodyweight,curtsy lunge bodyweight.mp4,Female,,
ea_curtsy_lunge_slide_with_towel,Curtsy Lunge Slide with Towel,Curtsy Lunge Slide with Towel.mp4,Female,,
ea_curtsy_lunges_resistance_band,Curtsy Lunges Resistance Band,Curtsy lunges resistance band.mp4,Female,,
ea_curtsy_squat,Curtsy Squat,Curtsy Squat.mp4,Female,,
ea_diagonal_lunge,Diagonal Lunge,Diagonal Lunge.mp4,Female,,
ea_donkey_calf_raise,Donkey Calf Raise,Donkey Calf Raise.mp4,Female,,
ea_donkey_kicks_bodyweight,Donkey Kicks Bodyweight,Donkey kicks bodyweight.mp4,Female,,
ea_double_jump_squat,Double Jump Squat,Double Jump Squat.mp4,Female,,
ea_dumbbell_bar_grip_sumo_squat,Dumbbell Bar Grip Sumo Squat,Dumbbell Bar Grip Sumo Squat.mp4,Female,,
ea_dumbbell_bench_squat,Dumbbell Bench Squat,Dumbbell Bench Squat.mp4,Female,,
ea_dumbbell_bulgarian_box_split_squat,Dumbbell Bulgarian Box Split Squat,dumbbell bulgarian box split squat.mp4,Female,,
ea_dumbbell_bulgarian_split_squat,Dumbbell Bulgarian Split Squat,Dumbbell Bulgarian Split Squat.mp4,Female,,
ea_dumbbell_close_legs_deadlift,Dumbbell Close Legs Deadlift,Dumbbell close Legs Deadlift.mp4,Female,,
ea_dumbbell_cossack_squats_version_2,Dumbbell Cossack Squats (version 2),Dumbbell Cossack Squats (VERSION 2).mp4,Female,,
ea_dumbbell_curtsy_lunge,Dumbbell Curtsy Lunge,Dumbbell Curtsy Lunge.mp4,Female,,
ea_dumbbell_farmer_walks,Dumbbell Farmer Walks,dumbbell farmer walks.mp4,Female,,
ea_dumbbell_front_rack_lunge,Dumbbell Front Rack Lunge,Dumbbell Front Rack Lunge.mp4,Female,,
ea_dumbbell_front_squat,Dumbbell Front Squat,Dumbbell Front Squat.mp4,Female,,
ea_dumbbell_glute_bridge,Dumbbell Glute Bridge,Dumbbell Glute Bridge.mp4,Female,,
ea_dumbbell_goblet_2_sec_hold_squat,Dumbbell Goblet 2 Sec Hold Squat,Dumbbell Goblet 2 sec Hold Squat.mp4,Female,,
ea_dumbbell_goblet_curtsy_lunge,Dumbbell Goblet Curtsy Lunge,Dumbbell Goblet Curtsy Lunge.mp4,Female,,
ea_dumbbell_goblet_split_squat,Dumbbell Goblet Split Squat,Dumbbell Goblet Split Squat.mp4,Female,,
ea_dumbbell_goblet_split_squat_front_foot_elevanted,Dumbbell Goblet Split Squat Front Foot Elevanted,Dumbbell Goblet Split Squat Front Foot Elevanted.mp4,Female,,
ea_dumbbell_goblet_squat,Dumbbell Goblet Squat,Dumbbell Goblet Squat.mp4,Female,,
ea_dumbbell_hip_thrust,Dumbbell Hip Thrust,Dumbbell Hip Thrust.mp4,Female,,
ea_dumbbell_hip_thrust_version_2,Dumbbell Hip Thrust (version 2),Dumbbell Hip Thrust (VERSION 2).mp4,Female,,
ea_dumbbell_jumping_squat,Dumbbell Jumping Squat,Dumbbell Jumping Squat.mp4,Female,,
ea_dumbbell_kneeling_hold_to_stand_clean_grip,Dumbbell Kneeling Hold to Stand Clean Grip,Dumbbell Kneeling Hold to Stand Clean grip.mp4,Female,,
ea_dumbbell_kneeling_squat,Dumbbell Kneeling Squat,Dumbbell Kneeling Squat.mp4,Female,,
ea_dumbbell_lunge_alternating_on_the_spot,Dumbbell Lunge Alternating on the Spot,Dumbbell Lunge Alternating on the spot.mp4,Female,,
ea_dumbbell_lunge_pulse,Dumbbell Lunge Pulse,Dumbbell Lunge Pulse.mp4,Female,,
ea_dumbbell_lunge_to_overhead_press,Dumbbell Lunge to Overhead Press,Dumbbell Lunge to Overhead Press.mp4,Female,,
ea_dumbbell_narrow_stance_squats,Dumbbell Narrow Stance Squats,Dumbbell narrow stance squats.mp4,Female,,
ea_dumbbell_overhead_lunge,Dumbbell Overhead Lunge,Dumbbell Overhead Lunge.mp4,Female,,
ea_dumbbell_press_squat,Dumbbell Press Squat,Dumbbell Press Squat.mp4,Female,,
ea_dumbbell_rear_lunge,Dumbbell Rear Lunge,Dumbbell Rear Lunge.mp4,Female,,
ea_dumbbell_rear_lunge_from_step,Dumbbell Rear Lunge From Step,Dumbbell Rear Lunge from Step.mp4,Female,,
ea_dumbbell_reverse_lunge_on_the_spot,Dumbbell Reverse Lunge on the Spot,Dumbbell Reverse Lunge on the spot.mp4,Female,,
ea_dumbbell_reverse_lunges_pulses,Dumbbell Reverse Lunges Pulses,Dumbbell reverse lunges pulses.mp4,Female,,
ea_dumbbell_seated_calf_raise,Dumbbell Seated Calf Raise,Dumbbell Seated Calf Raise.mp4,Female,,
ea_dumbbell_seated_one_leg_calf_raise_hammer_grip,Dumbbell Seated One Leg Calf Raise Hammer Grip,Dumbbell Seated One Leg Calf Raise Hammer Grip.mp4,Female,,
ea_dumbbell_side_lunge_alternating,Dumbbell Side Lunge Alternating,Dumbbell Side Lunge Alternating.mp4,Female,,
ea_dumbbell_side_lunge_left_n_right,Dumbbell Side Lunge Left N Right,dumbbell side lunge left n right.mp4,Female,,
ea_dumbbell_side_lunge_single_leg,Dumbbell Side Lunge Single Leg,Dumbbell Side Lunge Single Leg.mp4,Female,,
ea_dumbbell_side_squat_side_to_side,Dumbbell Side Squat Side to Side,Dumbbell Side Squat Side to Side.mp4,Female,,
ea_dumbbell_single_arm_overhead_lunge,Dumbbell Single Arm Overhead Lunge,Dumbbell Single Arm Overhead Lunge.mp4,Female,,
ea_dumbbell_single_leg_calf_raise_wall_support,Dumbbell Single Leg Calf Raise Wall Support,Dumbbell Single Leg Calf Raise Wall Support.mp4,Female,,
ea_dumbbell_single_leg_deadlift,Dumbbell Single Leg Deadlift,Dumbbell Single Leg Deadlift.mp4,Female,,
ea_dumbbell_single_leg_split_squat,Dumbbell Single Leg Split Squat,Dumbbell Single Leg Split Squat.mp4,Female,,
ea_dumbbell_single_leg_squat,Dumbbell Single Leg Squat,Dumbbell Single Leg Squat.mp4,Female,,
ea_dumbbell_single_leg_squat_with_support_pistol,Dumbbell Single Leg Squat with Support (pistol),Dumbbell Single Leg Squat with Support (pistol).mp4,Female,,
ea_dumbbell_single_leg_step_up,Dumbbell Single Leg Step-up,Dumbbell Single Leg Step-Up.mp4,Female,,
ea_dumbbell_split_squat,Dumbbell Split Squat,Dumbbell Split Squat.mp4,Female,,
ea_dumbbell_squats,Dumbbell Squats,Dumbbell Squats.mp4,Female,,
ea_dumbbell_squats_to_shoulder_press,Dumbbell Squats to Shoulder Press,Dumbbell Squats to Shoulder Press.mp4,Female,,
ea_dumbbell_standing_calf_raise,Dumbbell Standing Calf Raise,dumbbell standing calf raise.mp4,Female,,
ea_dumbbell_standing_calf_raise_on_step,Dumbbell Standing Calf Raise on Step,Dumbbell Standing Calf Raise on Step.mp4,Female,,
ea_dumbbell_standing_single_leg_calf_raise,Dumbbell Standing Single Leg Calf Raise,Dumbbell Standing Single Leg Calf Raise.mp4,Female,,
ea_dumbbell_static_lunge,Dumbbell Static Lunge,Dumbbell Static Lunge.mp4,Female,,
ea_dumbbell_step_up_on_bench,Dumbbell Step Up on Bench,Dumbbell Step up on Bench.mp4,Female,,
ea_dumbbell_step_up_with_knee_raise,Dumbbell Step-up with Knee Raise,Dumbbell Step-up with Knee Raise.mp4,Female,,
ea_dumbbell_stiff_leg_deadlift,Dumbbell Stiff Leg Deadlift,Dumbbell Stiff Leg Deadlift.mp4,Female,,
ea_dumbbell_straight_leg_deadlift,Dumbbell Straight Leg Deadlift,Dumbbell Straight Leg Deadlift.mp4,Female,,
ea_dumbbell_suitcase_carry,Dumbbell Suitcase Carry,Dumbbell Suitcase Carry.mp4,Female,,
ea_dumbbell_sumo_squat_off_benches,Dumbbell Sumo Squat Off Benches,Dumbbell Sumo Squat Off Benches.mp4,Female,,
ea_dumbbell_supported_sissy_squat,Dumbbell Supported Sissy Squat,Dumbbell Supported Sissy Squat.mp4,Female,,
ea_elevated_standing_calf_raise,Elevated Standing Calf Raise,Elevated Standing Calf Raise.mp4,Female,,
ea_exercise_ball_leg_curl,Exercise Ball Leg Curl,Exercise Ball Leg Curl.mp4,Female,,
ea_exercise_ball_one_legged_diagonal_kick_hamstring_curl,Exercise Ball One Legged Diagonal Kick Hamstring Curl,Exercise Ball One Legged Diagonal Kick Hamstring Curl.mp4,Female,,
ea_exercise_ball_wall_squat,Exercise Ball Wall Squat,Exercise Ball Wall Squat.mp4,Female,,
ea_feet_together_barbell_squats,Feet Together Barbell Squats,Feet Together barbell Squats.mp4,Female,,
ea_fire_hydrant_bodyweight,Fire Hydrant Bodyweight,fire hydrant bodyweight.mp4,Female,,
ea_fire_hydrant_circle_bodyweight,Fire Hydrant Circle Bodyweight,fire hydrant circle bodyweight.mp4,Female,,
ea_front_squats_dumbbell_low,Front Squats Dumbbell Low,front squats dumbbell low.mp4,Female,,
ea_front_squats_dumbbell_over_shoulders,Front Squats Dumbbell Over Shoulders,front squats dumbbell over shoulders.mp4,Female,,
ea_goblet_kettlebell_squats,Goblet Kettlebell Squats,goblet kettlebell squats.mp4,Female,,
ea_hammer_strength_iso_lateral_leg_curl_alternating_legs,Hammer Strength Iso-lateral LEG CURL Alternating Legs,HAMMER STRENGTH ISO-LATERAL LEG CURL Alternating Legs.mp4,Male,,
ea_hammer_strength_iso_lateral_leg_curl_alternate_legs,Hammer Strength Iso-lateral LEG Curl_alternate Legs,HAMMER STRENGTH ISO-LATERAL LEG CURL_Alternate Legs.mp4,Female,,
ea_in_and_out_squats_jump_bodyweight,In and Out Squats Jump Bodyweight,in and out squats jump bodyweight.mp4,Female,,
ea_in_and_out_squats_jump_bodyweight_2,In and Out Squats Jump Bodyweight (2),in and out squats jump bodyweight (2).mp4,Female,,
ea_kettlebell_bulgarian_split_squat_right,Kettlebell Bulgarian Split Squat Right,kettlebell bulgarian split squat right.mp4,Female,,
ea_kettlebell_bulgarian_split_squat_right_side_view,Kettlebell Bulgarian Split Squat Right Side View,kettlebell bulgarian split squat right side view.mp4,Female,,
ea_kettlebell_single_leg_deadlift,Kettlebell Single Leg Deadlift,Kettlebell Single Leg Deadlift.mp4,Male,,
ea_kettlebell_split_squat,Kettlebell Split Squat,Kettlebell Split squat.mp4,Female,,
ea_kettlebell_squats,Kettlebell Squats,kettlebell squats.mp4,Female,,
ea_kettlebell_suitcase_squat,Kettlebell Suitcase Squat,Kettlebell Suitcase Squat.mp4,Female,,
ea_kettlebell_sumo_squat,Kettlebell Sumo Squat,Kettlebell Sumo Squat.mp4,Female,,
ea_kettlebell_sumo_squat_version_2,Kettlebell Sumo Squat (version 2),Kettlebell Sumo Squat (VERSION 2).mp4,Female,,
ea_kettlebell_sumo_squat_off_stepbox,Kettlebell Sumo Squat Off Stepbox,Kettlebell Sumo Squat off Stepbox.mp4,Female,,
ea_kneeling_leg_curl_machine,Kneeling Leg Curl Machine,kneeling leg curl machine.mp4,Female,,
ea_kneeling_squat_jumps_bodyweight,Kneeling Squat Jumps Bodyweight,Kneeling Squat Jumps bodyweight.mp4,Female,,
ea_leg_press_machine_close_stance,Leg Press Machine Close Stance,leg press machine close stance.mp4,Female,,
ea_leg_press_wide_high_stance,Leg Press Wide High Stance,leg press wide high stance.mp4,Female,,
ea_leg_press_wide_high_stance_behind_view,Leg Press Wide High Stance Behind View,leg press wide high stance behind view.mp4,Female,,
ea_lunge_front_kick,Lunge Front Kick,lunge front kick.mp4,Female,,
ea_lunge_pulses_bodyweight,Lunge Pulses Bodyweight,lunge pulses bodyweight.mp4,Female,,
ea_lunge_reverse_with_resistance_band,Lunge Reverse with Resistance Band,lunge reverse with resistance band.mp4,Female,,
ea_lunge_rotation_left_and_right_bodyweight,Lunge Rotation Left and Right Bodyweight,lunge rotation left and right bodyweight.mp4,Female,,
ea_lunge_to_knee_drive_left_bodyweight,Lunge to Knee Drive Left Bodyweight,Lunge to Knee Drive left bodyweight.mp4,Female,,
ea_lunge_to_knee_drive_right_bodyweight,Lunge to Knee Drive Right Bodyweight,Lunge to Knee Drive right bodyweight.mp4,Female,,
ea_lunges_alternate_leg_with_pause_bodyweight,Lunges Alternate Leg with Pause Bodyweight,lunges alternate leg with pause bodyweight.mp4,Female,,
ea_lunges_same_leg_side_view_bodyweight,Lunges Same Leg Side View Bodyweight,lunges same leg side view bodyweight.mp4,Female,,
ea_lying_leg_curl_machine,Lying Leg Curl Machine,lying leg curl machine.mp4,Female,,
ea_resistance_band_kneeling_leg_half_circle,Resistance Band Kneeling Leg Half Circle,Resistance Band Kneeling Leg Half Circle.mp4,Female,,
ea_resistance_band_lying_bent_knee_hip_abduction,Resistance Band Lying Bent Knee Hip Abduction,Resistance Band Lying Bent Knee Hip Abduction.mp4,Female,,
ea_reverse_lunge_left_resistance_band,Reverse Lunge Left Resistance Band,reverse lunge left resistance band.mp4,Female,,
ea_seated_calf_machine,Seated Calf Machine,seated calf machine.mp4,Female,,
ea_seated_calf_raises_dumbbell_on_knee,Seated Calf Raises Dumbbell on Knee,Seated calf raises dumbbell on knee.mp4,Female,,
ea_seated_leg_curl_machine,Seated Leg Curl Machine,Seated leg curl machine.mp4,Female,,
ea_side_lunges_bodyweight,Side Lunges Bodyweight,side lunges bodyweight.mp4,Female,,
ea_side_lying_leg_lift_left,Side Lying Leg Lift Left,side lying leg lift left.mp4,Female,,
ea_side_lying_leg_lift_right,Side Lying Leg Lift Right,side lying leg lift right.mp4,Female,,
ea_single_leg_calf_raise_leg_press_machine,Single Leg Calf Raise Leg Press Machine,single leg calf raise leg press machine.mp4,Female,,
ea_single_leg_incline_45_degree_leg_press_machine,Single Leg Incline 45 Degree Leg Press Machine,single leg incline 45 degree leg press machine.mp4,Female,,
ea_single_leg_romanian_deadlift_dumbbell,Single Leg Romanian Deadlift Dumbbell,single leg romanian deadlift dumbbell.mp4,Female,,
ea_single_leg_romanian_deadlifts_right_cable_resistance_band,Single Leg Romanian Deadlifts Right Cable Resistance Band,single leg romanian deadlifts right cable resistance band.mp4,Female,,
ea_smith_machine_bulgarian_split_squat,Smith Machine Bulgarian Split Squat,smith machine bulgarian split squat.mp4,Female,,
ea_smith_machine_calf_raise,Smith Machine Calf Raise,smith machine calf raise.mp4,Female,,
ea_standing_calf_raise_resistance_band,Standing Calf Raise Resistance Band,standing calf raise resistance band.mp4,Female,,
ea_standing_calf_raises_smith_machine,Standing Calf Raises Smith Machine,standing calf raises smith machine.mp4,Female,,
ea_standing_side_leg_raises,Standing Side Leg Raises,Standing Side leg raises.mp4,Female,,
ea_step_up_on_chair_bodyweight,Step Up on Chair Bodyweight,step up on chair bodyweight.mp4,Female,,
ea_sumo_squat_in_between_legs_resistance_band,Sumo Squat in Between Legs Resistance Band,sumo squat in between legs resistance band.mp4,Female,,
ea_sumo_squat_over_shoulder_resistance_band,Sumo Squat Over Shoulder Resistance Band,Sumo squat over shoulder resistance band.mp4,Female,,
ea_suspension_trainer_with_grips_side_squat,Suspension Trainer with Grips Side Squat,Suspension Trainer with Grips Side Squat.mp4,Female,,
ea_wall_sit_bodyweight,Wall Sit Bodyweight,wall sit bodyweight.mp4,Female,,
ea_wall_squat_bodyweight,Wall Squat Bodyweight,wall squat bodyweight.mp4,Female,,
ea_wall_squat_with_pause_bodyweight,Wall Squat with Pause Bodyweight,wall squat with pause bodyweight.mp4,Female,,
