field,owner_model,collected_where,privacy_class,reference_files,referencing_files_sample,used_by_recommendations,used_by_programme,used_by_workout,used_by_safety_filter,used_by_AI,used_by_other_engine,actually_referenced,status,notes
physicalLimitations,HealthHistory,onboarding/step_health.dart,HEALTH - special category,3,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_health.dart|mobile/lib/features/safety/data/health_flags.dart,no,no,no,YES,no,no,YES,USED,
recentSurgeries,HealthHistory,onboarding/step_health.dart,HEALTH - special category,3,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_health.dart|mobile/lib/features/safety/data/health_flags.dart,no,no,no,YES,no,no,YES,USED,
bloodPressure,HealthHistory,onboarding/step_health.dart,HEALTH - special category,5,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_health.dart|mobile/lib/features/onboarding/steps/step_health_flags.dart|mobile/lib/features/safety/data/eligibility.dart|mobile/lib/features/safety/data/health_flags.dart,no,no,no,YES,no,no,YES,USED,
otherConcerns,HealthHistory,onboarding/step_health.dart,HEALTH free text,4,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_health.dart|mobile/lib/features/safety/data/health_flags.dart|mobile/lib/features/safety/data/par_q.dart,no,no,no,YES,no,no,YES,USED,
screening,HealthHistory,onboarding/step_screening.dart,HEALTH - PAR-Q+,30,mobile/lib/features/account_deletion/account_deletion_page.dart|mobile/lib/features/ai_planner/ai_planner_page.dart|mobile/lib/features/ai_planner/data/plan_builder.dart|mobile/lib/features/ai_planner/data/workout_plan.dart|mobile/lib/features/ai_planner/state/ai_planner_providers.dart|mobile/lib/features/equipment/data/catalog_labels.dart,no,YES,YES,YES,no,no,YES,USED,
flags,HealthHistory,onboarding/step_health_flags.dart,HEALTH - normalised,11,mobile/lib/features/community/state/team_feed_providers.dart|mobile/lib/features/equipment/data/equipment_models.dart|mobile/lib/features/equipment/state/equipment_providers.dart|mobile/lib/features/form_check/data/form_classifier.dart|mobile/lib/features/form_check/form_check_page.dart|mobile/lib/features/onboarding/data/step_answered.dart,no,no,YES,YES,no,mobile/lib/features/form_check/data/form_classifier.dart|mobile/lib/features/form_check/form_check_page.dart|mobile/lib/features/recovery/widgets/deload_banner.dart,YES,USED,
primary,Goals,onboarding/step_goal_and_level.dart,preference,33,mobile/lib/core/theme/app_theme.dart|mobile/lib/features/ai_planner/data/plan_builder.dart|mobile/lib/features/auth/login_page.dart|mobile/lib/features/catalog/contribute_video_page.dart|mobile/lib/features/data_export/backup_page.dart|mobile/lib/features/equipment/equipment_detail_page.dart,YES,YES,YES,no,no,no,YES,USED,
focusZones,Goals,onboarding/step_goal_and_level.dart,preference,5,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_body.dart|mobile/lib/features/profile/data/firestore_profile_repository.dart|mobile/lib/features/programmes/data/programme_fit.dart|mobile/lib/features/programmes/state/programme_providers.dart,no,YES,no,no,no,no,YES,USED,
specificSport,Goals,onboarding/step_goal_and_level.dart,preference,2,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_goal_and_level.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
frequencyPerWeek,Experience,onboarding/step_goal_and_level.dart,preference,3,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_goal_and_level.dart|mobile/lib/features/onboarding/steps/step_schedule.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
currentExercises,Experience,onboarding/step_goal_and_level.dart,preference,3,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_goal_and_level.dart|mobile/lib/features/profile/data/firestore_profile_repository.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
tier,Experience,onboarding/step_goal_and_level.dart,preference,43,mobile/lib/core/diagnostics/debug_telemetry.dart|mobile/lib/core/settings/app_settings.dart|mobile/lib/core/theme/app_semantic_colors.dart|mobile/lib/features/ai_coach/ai_coach_context.dart|mobile/lib/features/ai_coach/ai_coach_sheet.dart|mobile/lib/features/celebrity_plans/celebrity_plans_page.dart,no,YES,YES,YES,YES,mobile/lib/features/form_check/form_check_page.dart|mobile/lib/features/recovery/widgets/deload_banner.dart,YES,USED,
basics,Experience,onboarding/step_goal_and_level.dart,preference,1,mobile/lib/features/onboarding/data/step_answered.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
diet,Lifestyle,onboarding/step_lifestyle.dart,lifestyle,2,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_lifestyle.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
smoking,Lifestyle,onboarding/step_lifestyle.dart,lifestyle/health,6,mobile/lib/features/ai_coach/ai_coach_context.dart|mobile/lib/features/data_export/backup_transfer.dart|mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_lifestyle.dart|mobile/lib/features/profile/data/sensitive_profile.dart|mobile/lib/main.dart,no,no,no,no,YES,no,YES,USED,
alcohol,Lifestyle,onboarding/step_lifestyle.dart,lifestyle/health,6,mobile/lib/features/ai_coach/ai_coach_context.dart|mobile/lib/features/data_export/backup_transfer.dart|mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_lifestyle.dart|mobile/lib/features/profile/data/sensitive_profile.dart|mobile/lib/main.dart,no,no,no,no,YES,no,YES,USED,
sleepHoursPerNight,Lifestyle,onboarding/step_lifestyle.dart,lifestyle,2,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_lifestyle.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
stressLevel,Lifestyle,onboarding/step_lifestyle.dart,lifestyle,2,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_lifestyle.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
occupation,Lifestyle,onboarding/step_lifestyle.dart,lifestyle,3,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_lifestyle.dart|mobile/lib/features/profile/data/firestore_profile_repository.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
location,EquipmentAccess,onboarding/step_equipment.dart,preference,8,mobile/lib/core/router/app_router.dart|mobile/lib/features/equipment/data/exercise_filter.dart|mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_equipment.dart|mobile/lib/features/profile/data/firestore_profile_repository.dart|mobile/lib/features/progress_photos/data/photo_directory.dart,no,no,no,YES,no,no,YES,USED,
available,EquipmentAccess,onboarding/step_equipment.dart,preference,27,mobile/lib/core/camera/camera_session.dart|mobile/lib/core/health/platform_health_service.dart|mobile/lib/core/health/state/health_providers.dart|mobile/lib/core/settings/state/settings_providers.dart|mobile/lib/features/ai_planner/data/plan_builder.dart|mobile/lib/features/ai_planner/state/ai_planner_providers.dart,YES,YES,YES,YES,no,mobile/lib/features/cycle_aware/data/cycle_phase.dart|mobile/lib/features/form_check/data/form_classifier.dart|mobile/lib/features/form_check/data/tts_voice_coach.dart|mobile/lib/features/recovery/data/deload_detector.dart,YES,USED,
homeEquipment,EquipmentAccess,onboarding/step_equipment.dart,preference,3,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_equipment.dart|mobile/lib/features/profile/data/firestore_profile_repository.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
daysPerWeek,Schedule,onboarding/step_schedule.dart,preference,10,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_schedule.dart|mobile/lib/features/programmes/data/programme.dart|mobile/lib/features/programmes/data/programme_builder.dart|mobile/lib/features/programmes/data/programme_fit.dart|mobile/lib/features/programmes/data/programme_schedule.dart,no,YES,YES,no,no,no,YES,USED,
sessionMinutes,Schedule,onboarding/step_schedule.dart,preference,5,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/state/plan_preview_provider.dart|mobile/lib/features/onboarding/state/questionnaire_notifier.dart|mobile/lib/features/onboarding/steps/step_schedule.dart|mobile/lib/features/programmes/data/programme_schedule.dart,no,YES,no,no,no,no,YES,USED,
preferredWeekdays,Schedule,onboarding/step_schedule.dart,preference,5,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_schedule.dart|mobile/lib/features/profile/data/firestore_profile_repository.dart|mobile/lib/features/programmes/data/programme_schedule.dart|mobile/lib/features/programmes/state/programme_providers.dart,no,YES,no,no,no,no,YES,USED,
motivation,Barriers,onboarding/step_barriers.dart,preference,6,mobile/lib/features/home/data/suggestion_builder.dart|mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/state/questionnaire_notifier.dart|mobile/lib/features/onboarding/steps/step_barriers.dart|mobile/lib/features/onboarding/steps/step_schedule.dart|mobile/lib/features/profile/data/firestore_profile_repository.dart,no,no,no,no,no,no,reachable-but-no-engine,COLLECTED_NOT_USED_BY_ANY_ENGINE,
environments,Barriers,onboarding/step_barriers.dart,preference,2,mobile/lib/features/onboarding/data/step_answered.dart|mobile/lib/features/onboarding/steps/step_barriers.dart,no,no,no,no,no,no,NO,DEAD_FIELD,
