exercise_id,title_en,title_ru,equipment_id,equipment_label,muscles_n,primary_muscles_n,difficulty,duration_min,has_purpose_en,has_purpose_ru,steps_n,contraindications_n,contraindications,video_men,video_girl,poster_men,poster_girl,pose_target_id,form_check_supported,is_stretch,vendor_group,quarantined,summary_eq_steps0_en,summary_eq_steps0_ru,summary_cluster_size,steps_cluster_size,data_quality_status
ea_45_degree_hyperextension_arms_to_chest,45 Degree Hyperextension Arms to Chest,Гиперэкстензия под углом 45 градусов (руки к груди),back_extension,Hyperextension Bench,3,2,beginner,10,False,False,4,1,lower_back,exercises/men/Back/45 degree hyperextension arms to chest.mp4,,assets/posters/men/ea_45_degree_hyperextension_arms_to_chest.jpg,,,False,False,Back,False,True,True,4,3,NO_PURPOSE;NO_FEMALE_CLIP;SHARED_SUMMARY;SHARED_STEPS
ea_45_degree_side_bend,45 Degree Side Bend,Наклоны в сторону под углом 45 градусов,back_extension,Hyperextension Bench,2,1,beginner,10,False,False,4,0,,exercises/men/Abdominals/45 degree side bend.mp4,exercises/girl/Abdominals/45 Degree Side Bend.mp4,assets/posters/men/ea_45_degree_side_bend.jpg,assets/posters/girl/ea_45_degree_side_bend.jpg,,False,False,Abdominals,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_PURPOSE
ea_45_degree_twisting_hyperextension,45 Degree Twisting Hyperextension,Гиперэкстензия с поворотом под углом 45 градусов,back_extension,Hyperextension Bench,3,2,beginner,10,False,False,4,1,lower_back,exercises/men/Abdominals/45 degree twisting hyperextension.mp4,exercises/girl/Abdominals/45 degree twisting hyperextension.mp4,assets/posters/men/ea_45_degree_twisting_hyperextension.jpg,assets/posters/girl/ea_45_degree_twisting_hyperextension.jpg,,False,False,Abdominals,False,True,True,4,1,NO_PURPOSE;SHARED_SUMMARY
ea_45_degrees_step_out,45 Degrees Step Out,Шаг в сторону под углом 45 градусов,,None,3,2,beginner,10,False,False,4,1,knee,,exercises/girl/Legs/45 degrees Step Out.mp4,,assets/posters/girl/ea_45_degrees_step_out.jpg,,False,False,Legs,False,True,True,1,1,NO_EQUIPMENT_ID;NO_PURPOSE;NO_MALE_CLIP
ea_5_sec_fist_against_chin,5 Sec Fist Against Chin,Сопротивление кулаком подбородку (5 секунд),,None (Bodyweight),0,0,beginner,10,False,False,4,0,,,exercises/girl/Stretching - Mobility/5 Sec Fist Against Chin.mp4,,assets/posters/girl/ea_5_sec_fist_against_chin.jpg,,False,True,Stretching - Mobility,False,True,True,1,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_MUSCLES;NO_PRIMARY_MUSCLES;NO_PURPOSE;NO_MALE_CLIP
ea_90_degree_heel_touch,90 Degree Heel Touch,Касание пяток под углом 90 градусов,,None,2,1,beginner,10,False,False,3,0,,exercises/men/Abdominals/90 degree heel touch.mp4,,assets/posters/men/ea_90_degree_heel_touch.jpg,,,False,False,Abdominals,False,True,True,2,2,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_FEMALE_CLIP;SHARED_SUMMARY;SHARED_STEPS
ea_90_degree_heels_touch,90 Degree Heels Touch,Касание пяток под углом 90 градусов,,None,2,1,beginner,10,False,False,3,0,,,exercises/girl/Abdominals/90 Degree Heels Touch.mp4,,assets/posters/girl/ea_90_degree_heels_touch.jpg,,False,False,Abdominals,False,True,True,2,2,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_MALE_CLIP;SHARED_SUMMARY;SHARED_STEPS
ea_90_to_90_stretch,90 to 90 Stretch,Растяжка 90 на 90,,None,2,0,beginner,10,False,False,3,0,,,exercises/girl/Stretching - Mobility/90 to 90 Stretch.mp4,,assets/posters/girl/ea_90_to_90_stretch.jpg,,False,True,Stretching - Mobility,False,True,True,1,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PRIMARY_MUSCLES;NO_PURPOSE;NO_MALE_CLIP
ea_ab_mat_sit_up,Ab Mat Sit-up,Скручивания на пресс с ковриком,ab_mat,Ab mat,2,1,beginner,10,False,False,3,2,lower_back|neck,,exercises/girl/Abdominals/Ab Mat Sit-up.mp4,,assets/posters/girl/ea_ab_mat_sit_up.jpg,situp,True,False,Abdominals,False,True,True,1,1,NO_PURPOSE;NO_MALE_CLIP
ea_ab_tuck,Ab Tuck,Подтягивание коленей к груди в висе,dip_station,Dip Station,2,1,beginner,10,False,False,4,0,,,exercises/girl/Abdominals/Ab Tuck.mp4,,assets/posters/girl/ea_ab_tuck.jpg,,False,False,Abdominals,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_MALE_CLIP
ea_ab_wheel_all_the_way_out,AB Wheel All the Way Out,Ролик для пресса: полное выкатывание,ab_wheel,Ab wheel,3,1,beginner,10,False,False,4,0,,exercises/men/Abdominals/AB Wheel All The Way out.mp4,exercises/girl/Abdominals/AB Wheel All The Way out.mp4,assets/posters/men/ea_ab_wheel_all_the_way_out.jpg,assets/posters/girl/ea_ab_wheel_all_the_way_out.jpg,,False,False,Abdominals,False,True,True,5,1,NO_CONTRAINDICATION_TAGS;NO_PURPOSE;SHARED_SUMMARY
ea_ab_wheel_halfway_out,AB Wheel Halfway Out,Ролик для пресса: выкатывание наполовину,ab_wheel,Ab wheel,3,1,beginner,10,False,False,4,0,,exercises/men/Abdominals/AB Wheel Halfway out.mp4,exercises/girl/Abdominals/AB Wheel Halfway out.mp4,assets/posters/men/ea_ab_wheel_halfway_out.jpg,assets/posters/girl/ea_ab_wheel_halfway_out.jpg,,False,False,Abdominals,False,True,True,5,1,NO_CONTRAINDICATION_TAGS;NO_PURPOSE;SHARED_SUMMARY
ea_ab_wheel_left_out,AB Wheel Left Out,Ролик для пресса: выкатывание влево,ab_wheel,Ab wheel,3,1,beginner,10,False,False,4,0,,exercises/men/Abdominals/AB Wheel Left out.mp4,exercises/girl/Abdominals/AB Wheel Left out.mp4,assets/posters/men/ea_ab_wheel_left_out.jpg,assets/posters/girl/ea_ab_wheel_left_out.jpg,,False,False,Abdominals,False,True,True,5,1,NO_CONTRAINDICATION_TAGS;NO_PURPOSE;SHARED_SUMMARY
ea_ab_wheel_plank,Ab Wheel Plank,Планка с роликом для пресса,ab_wheel,Ab wheel,2,1,beginner,10,False,False,4,2,elbow|wrist,exercises/men/Yoga/Ab Wheel Plank.mp4,exercises/girl/Yoga/Ab Wheel Plank.mp4,assets/posters/men/ea_ab_wheel_plank.jpg,assets/posters/girl/ea_ab_wheel_plank.jpg,pushup,True,True,Yoga,False,True,True,5,1,NO_PURPOSE;SHARED_SUMMARY
ea_ab_wheel_pulses,AB Wheel Pulses,Пульсирующие скручивания с роликом для пресса,ab_wheel,Ab wheel,1,1,beginner,10,False,False,4,0,,exercises/men/Abdominals/AB Wheel Pulses.mp4,exercises/girl/Abdominals/AB Wheel Pulses.mp4,assets/posters/men/ea_ab_wheel_pulses.jpg,assets/posters/girl/ea_ab_wheel_pulses.jpg,,False,False,Abdominals,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_PURPOSE
ea_ab_wheel_right_out,AB Wheel Right Out,Ролик для пресса: выкатывание вправо,ab_wheel,Ab wheel,3,1,beginner,10,False,False,4,0,,exercises/men/Abdominals/AB Wheel Right out.mp4,exercises/girl/Abdominals/AB Wheel Right out.mp4,assets/posters/men/ea_ab_wheel_right_out.jpg,assets/posters/girl/ea_ab_wheel_right_out.jpg,,False,False,Abdominals,False,True,True,5,1,NO_CONTRAINDICATION_TAGS;NO_PURPOSE;SHARED_SUMMARY
ea_ab_wheel_take_it_or_leave_it,AB Wheel Take It or Leave It,Ролик для пресса: передача ногами,ab_wheel,Ab roller,2,1,beginner,10,False,False,4,0,,exercises/men/Abdominals/AB Wheel Take it or Leave It.mp4,exercises/girl/Abdominals/AB Wheel Take it or Leave It.mp4,assets/posters/men/ea_ab_wheel_take_it_or_leave_it.jpg,assets/posters/girl/ea_ab_wheel_take_it_or_leave_it.jpg,,False,False,Abdominals,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_PURPOSE
ea_abdominal_crunches,Abdominal Crunches,Скручивания на пресс,,None,1,1,beginner,10,False,False,3,2,lower_back|neck,exercises/men/Abdominals/abdominal crunches.mp4,exercises/girl/Abdominals/Abdominal Crunches.mp4,assets/posters/men/ea_abdominal_crunches.jpg,assets/posters/girl/ea_abdominal_crunches.jpg,situp,True,False,Abdominals,False,True,True,1,1,NO_EQUIPMENT_ID;NO_PURPOSE
ea_abdominal_crunches_machine,Abdominal Crunches Machine,Скручивания на пресс в тренажере,ab_crunch_machine,Ab crunch machine,1,1,beginner,10,False,False,4,2,lower_back|neck,exercises/men/Abdominals/abdominal crunches machine.mp4,exercises/girl/Abdominals/Abdominal Crunches Machine.mp4,assets/posters/men/ea_abdominal_crunches_machine.jpg,assets/posters/girl/ea_abdominal_crunches_machine.jpg,,False,False,Abdominals,False,True,True,1,1,NO_PURPOSE
ea_abdominal_crunches_with_hold,Abdominal Crunches with Hold,Скручивания на пресс с удержанием,,None,1,1,beginner,10,False,False,3,2,lower_back|neck,exercises/men/Abdominals/abdominal crunches with hold.mp4,exercises/girl/Abdominals/Abdominal Crunches With Hold.mp4,assets/posters/men/ea_abdominal_crunches_with_hold.jpg,assets/posters/girl/ea_abdominal_crunches_with_hold.jpg,situp,True,False,Abdominals,False,True,True,1,1,NO_EQUIPMENT_ID;NO_PURPOSE
ea_abdominal_stretch,Abdominal Stretch,Растяжка мышц живота,,None,2,1,beginner,10,False,False,4,0,,exercises/men/Stretching - Mobility/Abdominal stretch.mp4,exercises/girl/Stretching - Mobility/Abdominal Stretch.mp4,assets/posters/men/ea_abdominal_stretch.jpg,assets/posters/girl/ea_abdominal_stretch.jpg,,False,True,Stretching - Mobility,False,True,True,2,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;SHARED_SUMMARY
ea_abdominal_stretch_version2,Abdominal Stretch ( Version2 ),Растяжка мышц живота (Вариант 2),,None,2,1,beginner,10,False,False,4,0,,,exercises/girl/Stretching - Mobility/Abdominal Stretch ( Version2 ).mp4,,assets/posters/girl/ea_abdominal_stretch_version2.jpg,,False,True,Stretching - Mobility,False,True,True,2,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_MALE_CLIP;SHARED_SUMMARY
ea_above_head_chest_stretch,Above Head Chest Stretch,Растяжка груди над головой,,None,3,2,beginner,10,False,False,4,0,,exercises/men/Stretching - Mobility/Above head chest stretch.mp4,exercises/girl/Stretching - Mobility/Above Head Chest Stretch.mp4,assets/posters/men/ea_above_head_chest_stretch.jpg,assets/posters/girl/ea_above_head_chest_stretch.jpg,,False,True,Stretching - Mobility,False,True,True,1,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE
ea_abs_snails,Abs Snails,Скручивания «Улитка»,,None (Bodyweight),1,0,beginner,10,True,True,5,0,,exercises/men/Abdominals/Abs Snails.mp4,exercises/girl/Abdominals/Abs Snails.mp4,assets/posters/men/ea_abs_snails.jpg,assets/posters/girl/ea_abs_snails.jpg,,False,False,Abdominals,False,True,True,1,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PRIMARY_MUSCLES
ea_across_chest_shoulder_stretch,Across Chest Shoulder Stretch,Растяжка плеча через грудь,,None,2,1,beginner,10,False,False,4,0,,exercises/men/Stretching - Mobility/Across chest shoulder stretch.mp4,exercises/girl/Stretching - Mobility/Across Chest Shoulder Stretch.mp4,assets/posters/men/ea_across_chest_shoulder_stretch.jpg,assets/posters/girl/ea_across_chest_shoulder_stretch.jpg,,False,True,Stretching - Mobility,False,True,True,1,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE
ea_adductor_dynamic_stretch,Adductor Dynamic Stretch,Динамическая растяжка приводящих мышц,,None,3,1,beginner,10,False,False,4,0,,exercises/men/Stretching - Mobility/Adductor dynamic stretch.mp4,exercises/girl/Stretching - Mobility/Adductor Dynamic Stretch.mp4,assets/posters/men/ea_adductor_dynamic_stretch.jpg,assets/posters/girl/ea_adductor_dynamic_stretch.jpg,,False,True,Stretching - Mobility,False,True,True,2,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;SHARED_SUMMARY
ea_adductor_stretch,Adductor Stretch,Растяжка приводящих мышц,,None,3,1,beginner,10,False,False,3,0,,exercises/men/Stretching - Mobility/Adductor stretch.mp4,exercises/girl/Stretching - Mobility/adductor stretch.mp4,assets/posters/men/ea_adductor_stretch.jpg,assets/posters/girl/ea_adductor_stretch.jpg,,False,True,Stretching - Mobility,False,True,True,2,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;SHARED_SUMMARY
ea_adductor_stretch_side_standing,Adductor Stretch Side Standing,Растяжка приводящих мышц стоя в сторону,,None,3,1,beginner,10,False,False,4,0,,exercises/men/Stretching - Mobility/Adductor stretch side standing.mp4,exercises/girl/Stretching - Mobility/Adductor Stretch Side Standing.mp4,assets/posters/men/ea_adductor_stretch_side_standing.jpg,assets/posters/girl/ea_adductor_stretch_side_standing.jpg,,False,True,Stretching - Mobility,False,True,True,1,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE
ea_agility_ladder_advanced_hop_position,Agility Ladder Advanced Hop Position,Координационная лестница: продвинутая позиция для прыжков,agility_ladder,Agility Ladder,0,0,beginner,10,True,True,5,2,ankle|knee,exercises/men/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Advanced Hop Position.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Advanced Hop Position.mp4,assets/posters/men/ea_agility_ladder_advanced_hop_position.jpg,assets/posters/girl/ea_agility_ladder_advanced_hop_position.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_agility_ladder_advanced_single_leg,Agility Ladder Advanced Single-leg,Координационная лестница: продвинутый вариант на одной ноге,agility_ladder,Agility Ladder,0,0,beginner,10,True,True,5,0,,exercises/men/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Advanced Single-Leg.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Advanced Single-Leg.mp4,assets/posters/men/ea_agility_ladder_advanced_single_leg.jpg,assets/posters/girl/ea_agility_ladder_advanced_single_leg.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_agility_ladder_advancing_laterally_switching_base,Agility Ladder Advancing Laterally Switching Base,Координационная лестница: боковое перемещение со сменой опорной ноги,agility_ladder,Agility Ladder,0,0,beginner,10,True,True,5,0,,exercises/men/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Advancing Laterally Switching Base.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Advancing Laterally Switching Base.mp4,assets/posters/men/ea_agility_ladder_advancing_laterally_switching_base.jpg,assets/posters/girl/ea_agility_ladder_advancing_laterally_switching_base.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_agility_ladder_in_in_out_out,Agility Ladder in in Out Out,"Координационная лестница: «внутрь-внутрь, наружу-наружу»",agility_ladder,Agility Ladder,0,0,beginner,10,True,True,5,0,,exercises/men/Calisthenics-Cardio-Plyo-Functional/Agility Ladder In In Out Out.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/Agility Ladder in in Out Out.mp4,assets/posters/men/ea_agility_ladder_in_in_out_out.jpg,assets/posters/girl/ea_agility_ladder_in_in_out_out.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_agility_ladder_in_in_out_out_moving_laterally,Agility Ladder in in Out Out Moving Laterally,"Координационная лестница: «внутрь-внутрь, наружу-наружу» с боковым перемещением",agility_ladder,Agility Ladder,0,0,beginner,10,True,True,5,0,,exercises/men/Calisthenics-Cardio-Plyo-Functional/Agility Ladder In In Out Out Moving Laterally.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/Agility Ladder in in Out Out Moving Laterally.mp4,assets/posters/men/ea_agility_ladder_in_in_out_out_moving_laterally.jpg,assets/posters/girl/ea_agility_ladder_in_in_out_out_moving_laterally.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_agility_ladder_in_in_out_out_with_knee_lift,Agility Ladder in in Out Out with Knee Lift,"Координационная лестница: «внутрь-внутрь, наружу-наружу» с подъёмом коленей",agility_ladder,Agility Ladder,0,0,beginner,10,True,True,5,0,,exercises/men/Calisthenics-Cardio-Plyo-Functional/Agility Ladder In In Out Out With Knee Lift.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/Agility Ladder in in Out Out With Knee Lift.mp4,assets/posters/men/ea_agility_ladder_in_in_out_out_with_knee_lift.jpg,assets/posters/girl/ea_agility_ladder_in_in_out_out_with_knee_lift.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_agility_ladder_lateral_movement_in_in_out,Agility Ladder Lateral Movement in in Out,"Координационная лестница: боковое перемещение «внутрь-внутрь, наружу»",agility_ladder,Agility Ladder,0,0,beginner,10,True,True,5,0,,exercises/men/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Lateral Movement In In Out.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Lateral Movement in in Out.mp4,assets/posters/men/ea_agility_ladder_lateral_movement_in_in_out.jpg,assets/posters/girl/ea_agility_ladder_lateral_movement_in_in_out.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_agility_ladder_lateral_movement_with_double_hop,Agility Ladder Lateral Movement with Double Hop,Координационная лестница: боковое перемещение с двойным прыжком,agility_ladder,Agility Ladder,0,0,beginner,10,True,True,5,2,ankle|knee,exercises/men/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Lateral Movement With Double Hop.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Lateral Movement With Double Hop.mp4,assets/posters/men/ea_agility_ladder_lateral_movement_with_double_hop.jpg,assets/posters/girl/ea_agility_ladder_lateral_movement_with_double_hop.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_agility_ladder_skipping_1_touch,Agility Ladder Skipping 1 Touch,Координационная лестница: перешагивания с одним касанием,agility_ladder,Agility Ladder,0,0,beginner,10,True,True,5,0,,exercises/men/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Skipping 1 Touch.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Skipping 1 Touch.mp4,assets/posters/men/ea_agility_ladder_skipping_1_touch.jpg,assets/posters/girl/ea_agility_ladder_skipping_1_touch.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_agility_ladder_skipping_2_touches,Agility Ladder Skipping 2 Touches,Координационная лестница: перешагивания с двумя касаниями,agility_ladder,Agility Ladder,0,0,beginner,10,True,True,5,0,,exercises/men/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Skipping 2 Touches.mp4,exercises/girl/Calisthenics-Cardio-Plyo-Functional/Agility Ladder Skipping 2 Touches.mp4,assets/posters/men/ea_agility_ladder_skipping_2_touches.jpg,assets/posters/girl/ea_agility_ladder_skipping_2_touches.jpg,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,1,1,NO_CONTRAINDICATION_TAGS;NO_MUSCLES;NO_PRIMARY_MUSCLES
ea_air_bike,Air Bike,Скручивания «велосипед»,,None,3,1,beginner,10,False,False,4,0,,,exercises/girl/Abdominals/air bike.mp4,,assets/posters/girl/ea_air_bike.jpg,,False,False,Abdominals,False,True,True,3,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_MALE_CLIP;SHARED_SUMMARY
ea_air_bike_version_2,Air Bike (version 2),Скручивания «велосипед» (вариант 2),,None,3,1,beginner,10,False,False,4,0,,,exercises/girl/Abdominals/Air Bike (VERSION 2).mp4,,assets/posters/girl/ea_air_bike_version_2.jpg,,False,False,Abdominals,False,True,True,3,1,NO_EQUIPMENT_ID;NO_CONTRAINDICATION_TAGS;NO_PURPOSE;NO_MALE_CLIP;SHARED_SUMMARY
ea_air_bike_crunch,Air Bike Crunch,Скручивания «велосипед»,,None,3,1,beginner,10,False,False,4,2,lower_back|neck,exercises/men/Abdominals/air bike crunch.mp4,,assets/posters/men/ea_air_bike_crunch.jpg,,situp,True,False,Abdominals,False,True,True,3,1,NO_EQUIPMENT_ID;NO_PURPOSE;NO_FEMALE_CLIP;SHARED_SUMMARY
ea_air_punches_march,Air Punches March,Марш с ударами руками,,None,6,3,beginner,10,False,False,4,1,lower_back,exercises/men/Calisthenics-Cardio-Plyo-Functional/Air punches March.mp4,,assets/posters/men/ea_air_punches_march.jpg,,,False,False,Calisthenics-Cardio-Plyo-Functional,False,True,True,6,1,NO_EQUIPMENT_ID;NO_PURPOSE;NO_FEMALE_CLIP;SHARED_SUMMARY
