provider,type,declared_in,line,autoDispose,family,lib_reference_files,referenced_in_tests,status
poseGateVerdictProvider,StateProvider<PoseGateVerdict>,mobile/lib/features/form_check/state/form_check_providers.dart,522,False,False,5,True,OK
poseMatchProvider,StateProvider<double,mobile/lib/features/form_check/state/form_check_providers.dart,432,False,False,2,True,OK
poseTargetProvider,Provider<PoseTarget,mobile/lib/features/form_check/state/form_check_providers.dart,248,False,False,3,True,OK
poseUnitReportProvider,StateProvider<PoseUnitReport>,mobile/lib/features/form_check/state/form_check_providers.dart,542,False,False,2,True,OK
postureCaptureDurationProvider,Provider<Duration>,mobile/lib/features/posture/state/posture_providers.dart,23,False,False,2,True,OK
postureSessionControllerProvider,"NotifierProvider<PostureSessionController, PostureSessionState>",mobile/lib/features/posture/state/posture_providers.dart,157,False,False,2,True,OK
profileRepositoryProvider,Provider<ProfileRepository>,mobile/lib/features/profile/state/profile_providers.dart,14,False,False,6,True,OK
profileSubmitProvider,"NotifierProvider<ProfileSubmit, AsyncValue<void>>",mobile/lib/features/profile/state/profile_providers.dart,81,False,False,3,True,OK
programmeActionProvider,"NotifierProvider<ProgrammeAction, AsyncValue<void>>",mobile/lib/features/programmes/state/programme_providers.dart,66,False,False,3,True,OK
programmeRepositoryProvider,Provider<ProgrammeRepository>,mobile/lib/features/programmes/state/programme_providers.dart,22,False,False,3,True,OK
programmesProvider,StreamProvider<List<Programme>>,mobile/lib/features/programmes/state/programme_providers.dart,29,False,False,1,True,OK
progressPhotoCameraProvider,Provider<CameraSession>,mobile/lib/features/progress_photos/state/progress_photos_providers.dart,176,False,False,2,True,OK
progressPhotosAreDemoProvider,Provider<bool>,mobile/lib/features/progress_photos/state/progress_photos_providers.dart,206,False,False,3,False,OK
progressPhotosControllerProvider,"NotifierProvider<ProgressPhotosController, AsyncValue<void>>",mobile/lib/features/progress_photos/state/progress_photos_providers.dart,347,False,False,3,True,OK
progressPhotosProvider,StreamProvider<List<ProgressPhoto>>,mobile/lib/features/progress_photos/state/progress_photos_providers.dart,211,False,False,3,False,OK
progressPhotosRepositoryProvider,Provider<ProgressPhotosRepository>,mobile/lib/features/progress_photos/state/progress_photos_providers.dart,182,False,False,2,True,OK
progressPhotosStoreProvider,FutureProvider<PhotoStore,mobile/lib/features/progress_photos/state/progress_photos_providers.dart,137,False,False,1,False,NO_CONSUMER
questionnaireDraftProvider,"NotifierProvider<QuestionnaireDraft, UserProfile>",mobile/lib/features/onboarding/state/questionnaire_notifier.dart,11,False,False,14,True,OK
rankedForYouProvider,FutureProvider<List<ExerciseItem>>,mobile/lib/features/personalisation/state/personalisation_providers.dart,40,False,False,2,True,OK
recogniseTimeoutProvider,Provider<Duration>,mobile/lib/features/visual_equipment/state/visual_equipment_providers.dart,37,False,False,1,True,OK
recognitionHistoryProvider,StreamProvider<List<RecognitionEntry>>,mobile/lib/features/visual_equipment/state/recognition_history_providers.dart,22,False,False,2,True,OK
recognitionHistoryRepositoryProvider,Provider<RecognitionHistoryRepository>,mobile/lib/features/visual_equipment/state/recognition_history_providers.dart,7,False,False,3,True,OK
recommendedExercisesProvider,"FutureProvider.family<RecommendedExercises, String>",mobile/lib/features/equipment/state/equipment_providers.dart,286,False,True,2,True,OK
repSessionControllerProvider,"NotifierProvider<RepSessionController, RepSessionState>",mobile/lib/features/form_check/state/form_check_providers.dart,1140,False,False,2,True,OK
restClockProvider,Provider<DateTime Function,mobile/lib/features/workouts/state/rest_timer_providers.dart,53,False,False,2,True,OK
restTimerProvider,"NotifierProvider<RestTimerController, RestTimerState>",mobile/lib/features/workouts/state/rest_timer_providers.dart,209,False,False,3,True,OK
restTimerVisibleProvider,Provider<bool>,mobile/lib/features/workouts/state/rest_timer_providers.dart,221,False,False,2,True,OK
safeCatalogProvider,FutureProvider<List<ExerciseItem>>,mobile/lib/features/equipment/state/equipment_providers.dart,350,False,False,9,True,OK
safetyContextProvider,FutureProvider<SafetyContext>,mobile/lib/features/safety/state/eligibility_providers.dart,27,False,False,6,True,OK
safetyScreeningLevelProvider,Provider<SafetyScreeningLevel>,mobile/lib/features/equipment/state/safety_coverage_providers.dart,136,False,False,2,True,OK
safetyVerdictProvider,FutureProvider<SafetyVerdict>,mobile/lib/features/safety/state/safety_providers.dart,17,False,False,2,False,OK
scanCameraSessionProvider,Provider<CameraSession>,mobile/lib/features/visual_equipment/state/live_equipment_providers.dart,20,False,False,4,True,OK
scheduleSessionActionProvider,"NotifierProvider<ScheduleSessionAction, AsyncValue<void>>",mobile/lib/features/workouts/state/scheduled_session_providers.dart,62,False,False,2,True,OK
scheduledSessionRepositoryProvider,Provider<ScheduledSessionRepository>,mobile/lib/features/workouts/state/scheduled_session_providers.dart,16,False,False,5,True,OK
scheduledSessionsProvider,StreamProvider<List<ScheduledSession>>,mobile/lib/features/workouts/state/scheduled_session_providers.dart,27,False,False,7,True,OK
screenedUpcomingSessionsProvider,FutureProvider<List<ScreenedSession>>,mobile/lib/features/workouts/state/session_screening_providers.dart,69,False,False,3,True,OK
screeningProfileProvider,FutureProvider<UserProfile,mobile/lib/features/equipment/state/equipment_providers.dart,68,False,False,6,True,OK
selectedExerciseProvider,StateProvider<FormExercise>,mobile/lib/features/form_check/state/form_check_providers.dart,230,False,False,2,True,OK
selectedPeriodProvider,StateProvider<SubscriptionPeriod>,mobile/lib/features/subscription/state/subscription_providers.dart,175,False,False,2,False,OK
serverExportProvider,Provider<ServerExport>,mobile/lib/features/data_export/data_export_providers.dart,26,False,False,2,False,OK
sessionReminderReconcilerProvider,Provider<SessionReminderReconciler>,mobile/lib/features/workouts/state/session_screening_providers.dart,143,False,False,2,True,OK
setCuesMutedProvider,StateProvider<bool>,mobile/lib/features/workouts/state/set_timer_providers.dart,26,False,False,2,True,OK
setLoadProvider,StateProvider.family<SetCapture,mobile/lib/features/workouts/state/set_timer_providers.dart,42,False,True,3,False,OK
setPlanProvider,"Provider.family<SetPlan, ExerciseItem",mobile/lib/features/workouts/state/set_timer_providers.dart,87,False,True,2,False,OK
setTimerProvider,"NotifierProvider<SetTimerController, SetTimerState>",mobile/lib/features/workouts/state/set_timer_providers.dart,238,False,False,2,True,OK
setVoiceEnabledProvider,StateProvider<bool>,mobile/lib/features/workouts/state/set_timer_providers.dart,29,False,False,2,True,OK
settingsControllerProvider,"NotifierProvider<SettingsController, AppSettings>",mobile/lib/core/settings/state/settings_providers.dart,64,False,False,7,True,OK
settingsRepositoryProvider,Provider<SettingsRepository>,mobile/lib/core/settings/state/settings_providers.dart,13,False,False,2,True,OK
showSkeletonProvider,StateProvider<bool>,mobile/lib/features/form_check/state/form_check_providers.dart,285,False,False,2,True,OK
silhouetteBuildProvider,Provider<BodyBuild>,mobile/lib/features/form_check/state/form_check_providers.dart,198,False,False,2,True,OK
socialFeedProvider,StreamProvider<List<SocialPost>>,mobile/lib/features/social_feed/state/social_feed_providers.dart,9,False,False,2,False,OK
socialFeedRepositoryProvider,Provider<SocialFeedRepository>,mobile/lib/features/social_feed/state/social_feed_providers.dart,6,False,False,2,True,OK
stripeCheckoutServiceProvider,Provider<StripeCheckoutService>,mobile/lib/features/subscription/state/subscription_providers.dart,29,False,False,2,True,OK
subscriptionActionProvider,"NotifierProvider<SubscriptionAction, AsyncValue<void>>",mobile/lib/features/subscription/state/subscription_providers.dart,181,False,False,2,True,OK
subscriptionRepositoryProvider,Provider<SubscriptionRepository>,mobile/lib/features/subscription/state/subscription_providers.dart,18,False,False,2,True,OK
suggestionsProvider,FutureProvider<List<WorkoutSuggestion>>,mobile/lib/features/home/state/suggestion_providers.dart,13,False,False,2,False,OK
summaryDayProvider,Provider<DateTime>,mobile/lib/features/workouts/state/day_result_providers.dart,16,False,False,1,False,NO_CONSUMER
teamFeedIsDemoProvider,Provider<bool>,mobile/lib/features/community/state/team_feed_providers.dart,17,False,False,2,False,OK
teamFeedProvider,"StreamProvider.family<List<TeamFeedPost>, String>",mobile/lib/features/community/state/team_feed_providers.dart,21,False,True,2,False,OK
teamFeedRepositoryProvider,Provider<TeamFeedRepository>,mobile/lib/features/community/state/team_feed_providers.dart,6,False,False,2,True,OK
todayDigestProvider,Provider<SessionDigest>,mobile/lib/features/workouts/state/session_digest_providers.dart,23,False,False,4,True,OK
todayHealthProvider,FutureProvider<HealthSnapshot,mobile/lib/core/health/state/health_providers.dart,28,False,False,2,False,OK
todayResultProvider,Provider<DayResult>,mobile/lib/features/workouts/state/day_result_providers.dart,23,False,False,3,False,OK
unresolvedInjuryCountProvider,Provider<int>,mobile/lib/features/profile/state/profile_providers.dart,59,False,False,2,True,OK
upcomingSessionsProvider,Provider<List<ScheduledSession>>,mobile/lib/features/workouts/state/scheduled_session_providers.dart,37,False,False,3,True,OK
visualEquipmentControllerProvider,"NotifierProvider<VisualEquipmentController, AsyncValue<ScanResult>>",mobile/lib/features/visual_equipment/state/visual_equipment_providers.dart,202,False,False,2,True,OK
visualEquipmentServiceProvider,Provider<VisualEquipmentService>,mobile/lib/features/visual_equipment/state/visual_equipment_providers.dart,16,False,False,2,True,OK
voiceCoachProvider,Provider<VoiceCoach>,mobile/lib/features/form_check/state/form_check_providers.dart,625,False,False,3,True,OK
voiceErrorProvider,StateProvider<String,mobile/lib/features/form_check/state/form_check_providers.dart,650,False,False,2,True,OK
voiceMutedProvider,StateProvider<bool>,mobile/lib/features/form_check/state/form_check_providers.dart,633,False,False,2,False,OK
watchPairedProvider,FutureProvider<bool>,mobile/lib/core/wear/state/wear_providers.dart,9,False,False,1,False,NO_CONSUMER
wearIncomingProvider,StreamProvider<WearMessage>,mobile/lib/core/wear/state/wear_providers.dart,13,False,False,1,False,NO_CONSUMER
wearSyncServiceProvider,Provider<WearSyncService>,mobile/lib/core/wear/state/wear_providers.dart,5,False,False,2,False,OK
weekStripProvider,Provider<List<WeekDayCell>>,mobile/lib/features/home/state/home_dashboard_providers.dart,38,False,False,2,False,OK
weekTotalsProvider,Provider<WeekTotals>,mobile/lib/features/home/state/home_dashboard_providers.dart,47,False,False,2,False,OK
weeklyVolumeDeficitProvider,"FutureProvider<Map<String, double>>",mobile/lib/features/personalisation/state/personalisation_providers.dart,59,False,False,3,False,OK
workoutLogRepositoryProvider,Provider<WorkoutLogRepository>,mobile/lib/features/workouts/state/workout_log_providers.dart,12,False,False,2,True,OK
workoutLogsProvider,StreamProvider<List<WorkoutLogEntry>>,mobile/lib/features/workouts/state/workout_log_providers.dart,23,False,False,2,True,OK
workoutSessionHistoryProvider,Provider<List<WorkoutLogEntry>>,mobile/lib/features/workouts/state/workout_session_providers.dart,58,False,False,8,True,OK
workoutSessionRepositoryProvider,Provider<WorkoutSessionRepository>,mobile/lib/features/workouts/state/workout_session_providers.dart,13,False,False,3,True,OK
workoutSessionTotalsProvider,FutureProvider<WorkoutLogTotals>,mobile/lib/features/workouts/state/workout_session_providers.dart,43,False,False,2,False,OK
workoutSessionsProvider,StreamProvider<List<WorkoutSession>>,mobile/lib/features/workouts/state/workout_session_providers.dart,24,False,False,6,True,OK
workoutTotalsProvider,FutureProvider<WorkoutLogTotals>,mobile/lib/features/workouts/state/workout_log_providers.dart,40,False,False,2,False,OK
