"image_id","arm","source_file","transformed_sha256","gt_kind","canonical_label","canonical_equipment_id","semantic_label","central_subject","gt_equivalent","gt_status","pass1_label","pass2_label","features_the_label_rests_on"
"6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03","A","20260730_134401.jpg","6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03","canonical_single","cable machine","cable_machine","Nautilus Instinct functional trainer column","Nautilus Instinct functional trainer column","true","resolved","cable machine","cable machine","close-up of one cable column: exercise placard, rope attachment, cable handles, weight stack"
"6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03","B","20260730_134401.jpg","e850d9ccf8161ca24a38c57ebc1cf1a15b761f4327fb87f51b124638e8d41989","canonical_single","cable machine","cable_machine","Nautilus Instinct functional trainer column (Pulldown / Shoulder Press / Biceps Curl placards)","Nautilus Instinct functional trainer column (Pulldown / Shoulder Press / Biceps Curl placards)","true","resolved","cable machine","cable machine","the crop is almost entirely one cable column: the placard strip, a rope attachment and the cable arm"
"65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999","A","20260730_134404.jpg","65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999","canonical_single","cable machine","cable_machine","Nautilus Instinct functional trainer","Nautilus Instinct functional trainer","true","resolved","cable machine","cable machine","same machine, wider: cable attachments, placard, straps"
"65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999","B","20260730_134404.jpg","eb38affcf5c48ec14e526dac3f1c65df220f7b0a46747e51d480151506c0456b","canonical_single","cable machine","cable_machine","Nautilus Instinct functional trainer column (Chest Press / Push Press / High Row placards)","Nautilus Instinct functional trainer column (Chest Press / Push Press / High Row placards)","true","resolved","cable machine","cable machine","same column, other face; the placard strip, rope and D-handles fill the crop"
"b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb","A","20260730_135318.jpg","b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb","canonical_single","squat rack","squat_rack","power cage","power cage","true","resolved","squat rack","squat rack","a POWER CAGE printed on the crossmember, uprights with J-hooks, dominant and centred"
"b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb","B","20260730_135318.jpg","7e5959206fbe642835a86597d74365fc29507d1abd5c6116edb24ca303f24636","canonical_single","squat rack","squat_rack","power cage with POWER CAGE printed on the crossmember","power cage with POWER CAGE printed on the crossmember","true","resolved","squat rack","squat rack","the crop centres the cage, the printed label stays legible and the uprights frame the shot"
"39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095","A","20260730_135336.jpg","39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095","canonical_single","cable machine","cable_machine","dual-column functional trainer","dual-column functional trainer","true","resolved","cable machine","cable machine","two cable columns with pulleys and placards, centred and dominant"
"39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095","B","20260730_135336.jpg","fd518825eb3cf857a05093ebc66e8132d81d96f3acaa9153c68c93dd8f0f84d3","canonical_single","cable machine","cable_machine","Nautilus Instinct dual-column functional trainer","Nautilus Instinct dual-column functional trainer","true","resolved","cable machine","cable machine","both columns of one trainer survive the crop with their placards, rope and handles"
"08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf","A","20260730_135340.jpg","08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf","multiple","","","","bench with roller pads; barbell on uprights; medicine-ball rack; spin bike","true","resolved","multiple","multiple","[mixed] three distinct pieces compete for the frame; the numbered bench is centred but not dominant"
"08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf","B","20260730_135340.jpg","499e67b348a8408dd743ed6d90b8dcc0b691377fd3ad38274ca1d62df8858a4b","multiple","","","","roller-pad bench (unit 2); barbell on uprights; spin bike; medicine balls","true","resolved","multiple","multiple","[mixed] the crop keeps three distinct pieces; the numbered bench is centred but the barbell rig is equally near"
"eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07","A","20260730_135347.jpg","eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07","multiple","","","","bench in the foreground; cycling studio behind","true","resolved","multiple","multiple","[mixed] the bench is nearest the camera but the frame reads as a room with a bike studio behind it"
"eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07","B","20260730_135347.jpg","b38b4ca851910e77bd2dbbaa624e25ef526ea84de3e953360fe0a0b045e6e380","multiple","","","","flat bench in the foreground; barbell uprights; spin bikes behind","true","resolved","multiple","multiple","[mixed] the bench is nearest after the crop but the frame still reads as a room with a studio behind it"
"595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b","A","20260730_135354.jpg","595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b","multiple","","","","cycling studio: eight spin bikes","true","resolved","multiple","multiple","[same_type_bikes] many instances of ONE machine type, no single subject; a confident single answer is scored an overclaim by the frozen rule"
"595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b","B","20260730_135354.jpg","a87d0a99efb7b661136cdc77a30fb8a7e07a29a49dc4f7914fe759426c625b5e","multiple","","","","cycling studio: many spin bikes","true","resolved","multiple","multiple","[same_type_bikes] the crop still holds six or more bikes of one type; no single subject"
"96b105477b0227f210bfbcd47d63ce3652dadc36a4130d2653736c794d45ce1b","A","20260730_135357.jpg","96b105477b0227f210bfbcd47d63ce3652dadc36a4130d2653736c794d45ce1b","multiple","","","","row of treadmills; spin bike in the foreground; weight plates","true","resolved","multiple","multiple","[mixed] treadmills along the window plus a bike in the near foreground"
"96b105477b0227f210bfbcd47d63ce3652dadc36a4130d2653736c794d45ce1b","B","20260730_135357.jpg","0f6499ff362cb9872f55ff0ce09532360633c39e58bae6430d080b4a211e3cd0","multiple","","","","row of treadmills along the window; spin bike in the foreground","true","resolved","multiple","multiple","[mixed] the crop keeps five treadmills plus a bike in the near foreground"
"9187cef374467806179742eb14046301bac11e735ed30ffdcc3b1852478ac99b","A","20260730_135409.jpg","9187cef374467806179742eb14046301bac11e735ed30ffdcc3b1852478ac99b","multiple","","","","several power/freedom racks side by side","true","resolved","multiple","multiple","[same_type_racks] at least three racks of similar prominence; none dominates"
"9187cef374467806179742eb14046301bac11e735ed30ffdcc3b1852478ac99b","B","20260730_135409.jpg","4343ce6fe523292ad09d7e051311d4bb0b027817b4ab30f5339e5d41759d66dd","multiple","","","","Nautilus Freedom Rack centred; power cage left; more racks right","true","resolved","multiple","multiple","[same_type_racks] three racks of similar prominence survive the crop"
"bee2351fec1dbc7aa6ac571b125e1b8a239850073051df8c84c76990c5615342","A","20260730_135411.jpg","bee2351fec1dbc7aa6ac571b125e1b8a239850073051df8c84c76990c5615342","multiple","","","","several racks and benches","true","resolved","multiple","multiple","[same_type_racks] same area as #13 from another angle"
"bee2351fec1dbc7aa6ac571b125e1b8a239850073051df8c84c76990c5615342","B","20260730_135411.jpg","f3a17ecb38f95c7690f4cf1a6a071e4cd55eb6c78edcde5939b66f411a5994f5","multiple","","","","freedom rack centred; power cage left; benches right","true","resolved","multiple","multiple","[same_type_racks] same area from another angle; the crop does not isolate one rack"
"bc4d05db07744a1d11ec0d97d73c2ad1e0751dc999ed89e348b12afe2cb8d948","A","20260730_135543.jpg","bc4d05db07744a1d11ec0d97d73c2ad1e0751dc999ed89e348b12afe2cb8d948","canonical_single","lat pulldown","lat_pulldown","Star Trac plate-loaded pulldown","Star Trac plate-loaded pulldown","true","unresolved","leg press or hack squat (rejected)","lat pulldown (pending operator)","inclined back pad, THIGH/LAP pad with a red adjustment lever, STAR TRAC foot platform, plate horns, and a handle bar ABOVE the seat; the thigh restraint is what a downward pull needs. Same unit as #29 and #47. I have misidentified this machine twice before, so it goes to the operator rather than to a third self-assessment"
"bc4d05db07744a1d11ec0d97d73c2ad1e0751dc999ed89e348b12afe2cb8d948","B","20260730_135543.jpg","59c4879604ab1356472c1f1a55553cdbafe8136f189f1752c890775a492d3316","canonical_single","lat pulldown","lat_pulldown","Star Trac plate-loaded machine, centre-right and nearest to the camera","Star Trac plate-loaded machine, centre-right and nearest to the camera","true","unresolved","lat pulldown (provisional)","lat pulldown (provisional)","the crop leaves this unit dominant: inclined back pad, thigh pad with a red adjustment lever, STAR TRAC foot platform, plate horns. The crop does not settle the identity and it is deferred to the operator"
"5c4bf12eb20cd187cdc5b074b18800753d860886554fee1bd6af1f01286d4527","A","20260730_135552.jpg","5c4bf12eb20cd187cdc5b074b18800753d860886554fee1bd6af1f01286d4527","multiple","","","","row of Nautilus Inspiration machines; treadmills behind","true","resolved","multiple","multiple","[mixed] a corridor of machines along a wall"
"5c4bf12eb20cd187cdc5b074b18800753d860886554fee1bd6af1f01286d4527","B","20260730_135552.jpg","a52b5153861e379d5ccc7c66c974b1cb53b05964d9c34c6fee7d29969ff846f2","multiple","","","","row of Nautilus Inspiration machines; treadmills behind","true","resolved","multiple","multiple","[mixed] the crop keeps a corridor of machines along the wall"
"23c5ea84b41f1ce52f81b4e58e783a1fea733547c2a73c948f1e89a25f027e7c","A","20260730_135556.jpg","23c5ea84b41f1ce52f81b4e58e783a1fea733547c2a73c948f1e89a25f027e7c","multiple","","","","wide gym floor; many machines","true","resolved","multiple","multiple","[mixed] room-scale view with a machine seat in the near foreground"
"23c5ea84b41f1ce52f81b4e58e783a1fea733547c2a73c948f1e89a25f027e7c","B","20260730_135556.jpg","b19372c499ec9d59ed3bc1eb9854feeba15281708fc60003003d1e45e78cee59","multiple","","","","wide gym floor with many machines","true","resolved","multiple","multiple","[mixed] still room-scale after the crop, with a machine seat in the near foreground"
"dd40295cdf7a252fd395c661d2bc9b98f3b36f076e20caa167c67d49af95b523","A","20260730_135618.jpg","dd40295cdf7a252fd395c661d2bc9b98f3b36f076e20caa167c67d49af95b523","multiple","","","","several plate-loaded machines by the window","true","resolved","multiple","multiple","[same_type_plate_loaded] three or more similar plate-loaded machines, none dominant"
"dd40295cdf7a252fd395c661d2bc9b98f3b36f076e20caa167c67d49af95b523","B","20260730_135618.jpg","0ff8bcd520801ea1a30c29fe2f6d53374440722385f7f7e813535bc2f3cf55fd","multiple","","","","several plate-loaded machines by the window","true","resolved","multiple","multiple","[same_type_plate_loaded] three similar plate-loaded machines survive the crop and the centre one is not dominant"
"4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88","A","20260730_135629.jpg","4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88","multiple","","","","several plate-loaded machines","true","resolved","multiple","multiple","[same_type_plate_loaded] same area as #18 from another angle"
"4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88","B","20260730_135629.jpg","909526314a29930f4594f5260d240e9ff9bd34c4c57f223d2d40166ffede809e","multiple","","","","several plate-loaded machines","true","resolved","multiple","multiple","[same_type_plate_loaded] same row from another angle; the crop keeps at least three"
"cc68a1f2b2d5b6ce776121ed14864bfb393939490460e613ee0c542116cd746c","A","20260730_135638.jpg","cc68a1f2b2d5b6ce776121ed14864bfb393939490460e613ee0c542116cd746c","multiple","","","","pec-deck machine at left; bench centred; functional trainer behind","true","resolved","multiple","multiple","[mixed] the pec deck and a separate rig both claim the frame"
"cc68a1f2b2d5b6ce776121ed14864bfb393939490460e613ee0c542116cd746c","B","20260730_135638.jpg","9ba26ed5659f1768210e199a7a005002c322871fb7619b57c826542a1b83676a","multiple","","","","Inspiration pec-deck at left; bench centred; functional trainer behind","true","resolved","multiple","multiple","[mixed] the crop keeps both the pec deck and a separate rig"
"7fae0db291ccb564312d388fdd074347e45c92fa5da9090ce154c469044526b0","A","20260730_135643.jpg","7fae0db291ccb564312d388fdd074347e45c92fa5da9090ce154c469044526b0","canonical_single","pec deck","pec_deck","Nautilus Inspiration PEC FLY / REAR DELT","Nautilus Inspiration PEC FLY / REAR DELT","true","resolved","pec deck","pec deck","the machine's own placard reads PEC FLY / REAR DELT; the frame is filled by that one machine's shroud"
"7fae0db291ccb564312d388fdd074347e45c92fa5da9090ce154c469044526b0","B","20260730_135643.jpg","2a52d248e302c57e38546da52ed08be496264a1764abd7acaa28412d9da23276","canonical_single","pec deck","pec_deck","Nautilus Inspiration PEC FLY / REAR DELT","Nautilus Inspiration PEC FLY / REAR DELT","true","resolved","pec deck","pec deck","the crop is filled by one machine's shroud and its PEC FLY / REAR DELT placard"
"543dc3d5cfdaf84ab590af7465bfd9e3adeaa307460ba95629c7cd61d655f2c3","A","20260730_141731.jpg","543dc3d5cfdaf84ab590af7465bfd9e3adeaa307460ba95629c7cd61d655f2c3","canonical_single","ab crunch machine","ab_crunch_machine","Nautilus Inspiration ABDOMINAL (unit 25)","Nautilus Inspiration ABDOMINAL (unit 25)","true","resolved","unclear machine type","ab crunch machine","shroud reads ABDOMINAL, unit number 25; same machine as #23, #24 and #50"
"543dc3d5cfdaf84ab590af7465bfd9e3adeaa307460ba95629c7cd61d655f2c3","B","20260730_141731.jpg","2714806a65eb8f0bf9df26b0a9530fa33351c2f7be9eaae2afa34fe20a20409c","canonical_single","ab crunch machine","ab_crunch_machine","Nautilus Inspiration ABDOMINAL (unit 25)","Nautilus Inspiration ABDOMINAL (unit 25)","true","resolved","ab crunch machine","ab crunch machine","the crop keeps the ABDOMINAL shroud text, the unit number 25 and the seat with its two curved handles"
"95c0d64bdfa7c1193504db0f3383031b66255f4918420ce4f203ed25f59ebb09","A","20260730_141736.jpg","95c0d64bdfa7c1193504db0f3383031b66255f4918420ce4f203ed25f59ebb09","canonical_single","ab crunch machine","ab_crunch_machine","Nautilus Inspiration ABDOMINAL","Nautilus Inspiration ABDOMINAL","true","resolved","ab crunch machine","ab crunch machine","close-up of the ABDOMINAL placard on the shroud"
"95c0d64bdfa7c1193504db0f3383031b66255f4918420ce4f203ed25f59ebb09","B","20260730_141736.jpg","2efb8ab7f27a7c20e851401c9e2c56923c4e1cff351d41622b1b385057bb1001","canonical_single","ab crunch machine","ab_crunch_machine","Nautilus Inspiration ABDOMINAL placard, close up","Nautilus Inspiration ABDOMINAL placard, close up","true","resolved","ab crunch machine","ab crunch machine","the crop is the placard itself: the crunch diagram and the ABDOMINAL caption"
"bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367","A","20260730_141743.jpg","bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367","canonical_single","ab crunch machine","ab_crunch_machine","Nautilus Inspiration ABDOMINAL","Nautilus Inspiration ABDOMINAL","true","resolved","ab crunch machine","ab crunch machine","NAUTILUS shroud with the ABDOMINAL placard, machine dominant"
"bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367","B","20260730_141743.jpg","b7e3f3be712dd4bc1de416fc21de8c58a016c61878d94d857b1086fe4963592b","canonical_single","ab crunch machine","ab_crunch_machine","Nautilus shroud carrying the ABDOMINAL placard","Nautilus shroud carrying the ABDOMINAL placard","true","resolved","ab crunch machine","ab crunch machine","the NAUTILUS badge and the ABDOMINAL placard fill the crop"
"85af06446982ea6909ad5d1c9149cd91dd48fe68012aabe7b7b902cfe16a47be","A","20260730_142207.jpg","85af06446982ea6909ad5d1c9149cd91dd48fe68012aabe7b7b902cfe16a47be","multiple","","","","row of elliptical trainers","true","resolved","multiple","multiple","[same_type_ellipticals] several ellipticals of one type along the window"
"85af06446982ea6909ad5d1c9149cd91dd48fe68012aabe7b7b902cfe16a47be","B","20260730_142207.jpg","6f94c816c98d67b1f3510ab9ecf772aa776e9013d35ed7779b790db5d3318886","multiple","","","","row of elliptical trainers","true","resolved","multiple","multiple","[same_type_ellipticals] the crop keeps three ellipticals of one type"
"95b7b3d64a70c8a1ca9f039289d62a1b3e367646d80f0d37e8bc4da508da876f","A","20260730_142215.jpg","95b7b3d64a70c8a1ca9f039289d62a1b3e367646d80f0d37e8bc4da508da876f","canonical_single","stair climber","stair_climber","stepmill","stepmill","true","resolved","stair climber","stair climber","a stepmill dead centre and closest to the camera; bikes and treadmills are clearly background"
"95b7b3d64a70c8a1ca9f039289d62a1b3e367646d80f0d37e8bc4da508da876f","B","20260730_142215.jpg","d267b6ab5a5a1221fadf14049ab4630601c70e57e818d345874cb6ab5eb413f0","canonical_single","stair climber","stair_climber","stepmill (unit 6)","stepmill (unit 6)","true","resolved","stair climber","stair climber","the crop centres the stepmill's revolving staircase; the bike and the treadmills stay clearly background"
"3d18176fbcfdbac3c5b1275f714a2fd8f75a300a22a816efb84eff448853ce11","A","20260730_142217.jpg","3d18176fbcfdbac3c5b1275f714a2fd8f75a300a22a816efb84eff448853ce11","multiple","","","","cardio room: recumbent bikes and a treadmill","true","resolved","multiple","multiple","[mixed] no single subject"
"3d18176fbcfdbac3c5b1275f714a2fd8f75a300a22a816efb84eff448853ce11","B","20260730_142217.jpg","819132e6e60e953ddd97e119cacdf6c3614205433338046b4f52be8df7c25023","multiple","","","","cardio room: recumbent bikes and treadmills","true","resolved","multiple","multiple","[mixed] no single subject survives the crop"
"9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9","A","20260806_140007.jpg","9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9","canonical_single","shoulder press machine","shoulder_press_machine","Nautilus Inspiration SHOULDER PRESS (unit 24)","Nautilus Inspiration SHOULDER PRESS (unit 24)","true","resolved","unclear machine type","shoulder press machine","shroud reads SHOULDER PRESS, unit 24; seat, back pad and press arms at shoulder height; same machine as #43 and #44"
"9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9","B","20260806_140007.jpg","0f87a28c1af76f8d478d452ed44b1a755d5c5f5d6da29de89e0bf9e3d419f3f4","canonical_single","shoulder press machine","shoulder_press_machine","Nautilus Inspiration SHOULDER PRESS (unit 24)","Nautilus Inspiration SHOULDER PRESS (unit 24)","true","resolved","shoulder press machine","shoulder press machine","the crop keeps the SHOUL... shroud text, the seat and the press arms at shoulder height"
"96e935a95746d86c94d826e302aad60d2cd02127fd19536e64a502a5ab12fcea","A","20260806_140012.jpg","96e935a95746d86c94d826e302aad60d2cd02127fd19536e64a502a5ab12fcea","canonical_single","lat pulldown","lat_pulldown","Star Trac plate-loaded pulldown","Star Trac plate-loaded pulldown","true","unresolved","upper-body press","lat pulldown (pending operator)","same unit as #15 and #47 seen from behind: tall back pad with head rest, lever arms with plate horns, STAR TRAC foot platform. Identity deferred to the operator with #15"
"96e935a95746d86c94d826e302aad60d2cd02127fd19536e64a502a5ab12fcea","B","20260806_140012.jpg","b25cd3550ed3d1349dc41b8a08df607c2140cf90741f7c2bd88003251385463b","canonical_single","lat pulldown","lat_pulldown","the Star Trac plate-loaded unit seen from behind","the Star Trac plate-loaded unit seen from behind","true","unresolved","lat pulldown (provisional)","lat pulldown (provisional)","the crop centres the unit from behind: tall back pad, curved lever arms with plate horns, STAR TRAC foot platform. Deferred with #15 and #47"
"aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec","A","20260806_140016.jpg","aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec","multiple","","","","several Inspiration machines and an assisted pull-up station","true","resolved","multiple","multiple","[mixed] a row of machines, none dominant"
"aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec","B","20260806_140016.jpg","7693d19db52ac8d6cc27004eae8b7808b2ddaaf0e46e9d63e40ecb81115a5f55","multiple","","","","several Inspiration machines and an assisted chin/dip station","true","resolved","multiple","multiple","[mixed] the crop keeps a row of machines, none dominant"
"f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743","A","20260810_131016.jpg","f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743","canonical_single","squat rack","squat_rack","Nautilus Freedom Rack","Nautilus Freedom Rack","true","resolved","squat rack or smith machine","squat rack","NAUTILUS FREEDOM RACK printed on the crossmember; the barbell rests on J-hooks and there are no guide rails, so it is a rack and not a smith machine"
"f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743","B","20260810_131016.jpg","d12d1a6e34701f6ffa78f5e1f348d0cf3418f1b4dbf681d5316f24014b2eccb5","canonical_single","squat rack","squat_rack","Nautilus Freedom Rack","Nautilus Freedom Rack","true","resolved","squat rack","squat rack","NAUTILUS FREEDOM RACK stays printed on the crossmember in the crop; the bar rests on J-hooks with no guide rails, so a rack and not a smith machine"
"d383820e4bf7e632ef9dc7d69ac973c6b5a85e5693324f601bf814e723f895c6","A","20260810_131021.jpg","d383820e4bf7e632ef9dc7d69ac973c6b5a85e5693324f601bf814e723f895c6","canonical_single","squat rack","squat_rack","power cage","power cage","true","resolved","squat rack","squat rack","POWER CAGE printed on the crossmember, centred and dominant"
"d383820e4bf7e632ef9dc7d69ac973c6b5a85e5693324f601bf814e723f895c6","B","20260810_131021.jpg","bf51d1086a0334edcb1e83b61c89e86e7eff4bf663497788d5b674ddf3326243","canonical_single","squat rack","squat_rack","power cage with POWER CAGE printed on the crossmember","power cage with POWER CAGE printed on the crossmember","true","resolved","squat rack","squat rack","the crop centres the cage and keeps the printed label"
"b37ce23ff67434844a2d0635b873a4d431d74d651a313ae2669f5423385efbc9","A","20260810_131025.jpg","b37ce23ff67434844a2d0635b873a4d431d74d651a313ae2669f5423385efbc9","canonical_single","cable machine","cable_machine","Nautilus Instinct functional trainer","Nautilus Instinct functional trainer","true","resolved","cable machine","cable machine","two cable columns with placards and handles, in a corner, dominant"
"b37ce23ff67434844a2d0635b873a4d431d74d651a313ae2669f5423385efbc9","B","20260810_131025.jpg","fb8ff529683b5669a7091367d213362eba6c1c920c06ded8059499bcbadf87e7","canonical_single","cable machine","cable_machine","Nautilus Instinct functional trainer in a corner","Nautilus Instinct functional trainer in a corner","true","resolved","cable machine","cable machine","the crop keeps both columns, the placards and the handles"
"a73d4a975ad2b1911e432bb800e26e6c457d87e89eb7283efb72134dff659048","A","20260810_131029.jpg","a73d4a975ad2b1911e432bb800e26e6c457d87e89eb7283efb72134dff659048","canonical_single","cable machine","cable_machine","Nautilus Instinct functional trainer","Nautilus Instinct functional trainer","true","resolved","cable machine","cable machine","same machine, front view"
"a73d4a975ad2b1911e432bb800e26e6c457d87e89eb7283efb72134dff659048","B","20260810_131029.jpg","a142eaefd00431257540770b471f360695c2498ffc7f2ea1109d0cc799f3724e","canonical_single","cable machine","cable_machine","Nautilus Instinct functional trainer, front view","Nautilus Instinct functional trainer, front view","true","resolved","cable machine","cable machine","same trainer head on; the crop is almost entirely this one machine"
"0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22","A","20260810_131129.jpg","0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22","multiple","","","","roller-pad bench; barbell on uprights; spin bike; medicine balls","true","resolved","multiple","multiple","[mixed] same scene as #9; several pieces compete"
"0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22","B","20260810_131129.jpg","bd24d1f7bfac43b6ce9cd8625aa55e10c05ecc183377fd1d802c6245096fde37","multiple","","","","roller-pad bench; barbell on uprights; spin bike; medicine balls","true","resolved","multiple","multiple","[mixed] the same scene as #9 after the crop; several pieces still compete"
"6be03804b67a156bf01de1d85506e5323f6169959e71a3d26d6d8f79d9576a4e","A","20260810_131137.jpg","6be03804b67a156bf01de1d85506e5323f6169959e71a3d26d6d8f79d9576a4e","canonical_single","bench press station","bench_press","flat bench under a barbell on uprights","flat bench under a barbell on uprights","true","resolved","bench press station","bench press station","a bench directly under a loaded barbell on uprights, centred and in the foreground"
