n,id,title,vendorGroup,muscles,equipmentLabel,hasVideo
106,ea_headstand,Headstand,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
107,ea_heavy_bag_sled_drag,Heavy Bag Sled Drag,Calisthenics-Cardio-Plyo-Functional,,Sled,True
108,ea_kettlebell_sled_drag,Kettlebell Sled Drag,Calisthenics-Cardio-Plyo-Functional,,Kettlebells,True
109,ea_kettlebell_snatch,Kettlebell Snatch,Calisthenics-Cardio-Plyo-Functional,,Kettlebells,True
110,ea_kettlebell_turkish_get_up,Kettlebell Turkish Get Up,Calisthenics-Cardio-Plyo-Functional,,Kettlebells,True
111,ea_kettlebell_walkover_pushup,Kettlebell Walkover Pushup,Calisthenics-Cardio-Plyo-Functional,,Kettlebells,True
112,ea_kettlebell_windmill,Kettlebell Windmill,Calisthenics-Cardio-Plyo-Functional,,Kettlebells,True
113,ea_kipping_handstand_push_up,Kipping Handstand Push-up,Calisthenics-Cardio-Plyo-Functional,,Wall,True
114,ea_landmine_alternating_lunge_and_twist,Landmine Alternating Lunge and Twist,Calisthenics-Cardio-Plyo-Functional,,Landmine,True
115,ea_landmine_alternating_lunge_to_chest_press,Landmine Alternating Lunge to Chest Press,Calisthenics-Cardio-Plyo-Functional,,Landmine,True
116,ea_landmine_rotational_lift_to_press,Landmine Rotational Lift to Press,Calisthenics-Cardio-Plyo-Functional,,Landmine,True
117,ea_lateral_sled_drag,Lateral Sled Drag,Calisthenics-Cardio-Plyo-Functional,,Sled,True
118,ea_low_box_lateral_runner,Low Box Lateral Runner,Calisthenics-Cardio-Plyo-Functional,,Plyo Box,True
119,ea_low_box_quick_feet,Low Box Quick Feet,Calisthenics-Cardio-Plyo-Functional,,Plyo Box,True
120,ea_low_rotational_med_ball_chops_quarter_squat_rotating_med_ball_left_and_ride_across_core,"Low Rotational Med Ball Chops (quarter Squat, Rotating Med Ball Left and Ride Across Core)",Calisthenics-Cardio-Plyo-Functional,,Exercise Ball,True
121,ea_low_sled_push,Low Sled Push,Calisthenics-Cardio-Plyo-Functional,,Sled,True
122,ea_lying_neck_curls,Lying Neck Curls,Calisthenics-Cardio-Plyo-Functional,,Bench,True
123,ea_lying_neck_extension,Lying Neck Extension,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
124,ea_lying_on_side_arm_circle_warm_up,Lying on Side Arm Circle Warm Up,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
125,ea_med_ball_jumping_jacks,Med Ball Jumping Jacks,Calisthenics-Cardio-Plyo-Functional,,Exercise Ball,True
126,ea_med_ball_side_wall_slams,Med Ball Side Wall Slams,Calisthenics-Cardio-Plyo-Functional,,Wall,True
127,ea_med_ball_slam_burpees,Med Ball Slam Burpees,Calisthenics-Cardio-Plyo-Functional,,Exercise Ball,True
128,ea_monkey_bar_swings,Monkey Bar Swings,Calisthenics-Cardio-Plyo-Functional,,Barbell,True
129,ea_mountain_climber_jumps,Mountain Climber Jumps,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
130,ea_overhead_med_ball_throw,Overhead Med Ball Throw,Calisthenics-Cardio-Plyo-Functional,,Exercise Ball,True
131,ea_pike_alternating_opposite_hip_taps,Pike Alternating Opposite Hip Taps,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
132,ea_pike_individual_alternating_arm_reaches,Pike Individual Alternating Arm Reaches,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
133,ea_pike_jacks_feet_kicking_in_and_out,Pike Jacks Feet Kicking in and Out,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
134,ea_pike_shoulder_taps,Pike Shoulder Taps,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
135,ea_plank_iytw,Plank IYTW,Calisthenics-Cardio-Plyo-Functional,,Dumbbells,True
136,ea_plank_individual_arm_reach,Plank Individual Arm Reach,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
137,ea_plank_pushup,Plank Pushup,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
138,ea_plate_overhead_carry,Plate Overhead Carry,Calisthenics-Cardio-Plyo-Functional,,Weight Plate,True
139,ea_pull_sled_or_dog_sled_push,Pull Sled or Dog Sled Push,Calisthenics-Cardio-Plyo-Functional,,Sled,True
140,ea_pushup_to_renegade_row,Pushup to Renegade Row,Calisthenics-Cardio-Plyo-Functional,,Dumbbells,True
141,ea_rebounder_high_knee_runs,Rebounder High Knee Runs,Calisthenics-Cardio-Plyo-Functional,,Mini Trampoline,True
142,ea_rebounder_knee_jumps,Rebounder Knee Jumps,Calisthenics-Cardio-Plyo-Functional,,Mini Trampoline,True
143,ea_rebounder_knee_pushes,Rebounder Knee Pushes,Calisthenics-Cardio-Plyo-Functional,,Mini Trampoline,True
144,ea_rebounder_light_jumps,Rebounder Light Jumps,Calisthenics-Cardio-Plyo-Functional,,Mini Trampoline,True
145,ea_rebounder_in_out_from_ground,Rebounder in & Out From Ground,Calisthenics-Cardio-Plyo-Functional,,Mini Trampoline,True
146,ea_rebounder_in_out_jacks,Rebounder in & Out Jacks,Calisthenics-Cardio-Plyo-Functional,,Mini Trampoline,True
147,ea_ring_dips,Ring Dips,Calisthenics-Cardio-Plyo-Functional,,Gymnastic Rings,True
148,ea_single_kettlebell_sled_push,Single Kettlebell Sled Push,Calisthenics-Cardio-Plyo-Functional,,Kettlebells,True
149,ea_skater_hops,Skater Hops,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
150,ea_sled_battle_rope_pull,Sled Battle Rope Pull,Calisthenics-Cardio-Plyo-Functional,,Battle Ropes,True
151,ea_sled_drag_and_row,Sled Drag and Row,Calisthenics-Cardio-Plyo-Functional,,Sled,True
152,ea_stepmill_machine_steps,Stepmill Machine Steps,Calisthenics-Cardio-Plyo-Functional,,Machine,True
153,ea_tennis_forehand_ground_stroke,Tennis Forehand Ground Stroke,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
154,ea_the_wall_ball,The Wall Ball,Calisthenics-Cardio-Plyo-Functional,,Wall,True
155,ea_treadmill_walk,Treadmill Walk,Calisthenics-Cardio-Plyo-Functional,,Treadmill,True
156,ea_tyre_flip,Tyre Flip,Calisthenics-Cardio-Plyo-Functional,,Tyre,True
157,ea_tyre_hammering,Tyre Hammering,Calisthenics-Cardio-Plyo-Functional,,Tyre,True
158,ea_unilateral_box_jump,Unilateral Box Jump,Calisthenics-Cardio-Plyo-Functional,,Plyo Box,True
159,ea_unilateral_box_jump_bilateral_deceleration,Unilateral Box Jump - Bilateral Deceleration,Calisthenics-Cardio-Plyo-Functional,,Plyo Box,True
160,ea_unilateral_front_plank,Unilateral Front Plank,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
161,ea_unilateral_jumps,Unilateral Jumps,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
162,ea_unilateral_plank,Unilateral Plank,Calisthenics-Cardio-Plyo-Functional,,None (Bodyweight),True
163,ea_band_pallof_press,Band Pallof Press,Chest,chest,Resistance Band,True
164,ea_barbell_hooklying_bench_press,Barbell Hooklying Bench Press,Chest,chest,Barbell,True
165,ea_barbell_hooklying_bench_press_close_elbows,Barbell Hooklying Bench Press Close Elbows,Chest,chest,Barbell,True
166,ea_barbell_landmine_chest_press,Barbell Landmine Chest Press,Chest,chest,Landmine,True
167,ea_barbell_larsen_bench_press,Barbell Larsen Bench Press,Chest,chest,Barbell,True
168,ea_barbell_spoto_press,Barbell Spoto Press,Chest,chest,Barbell,True
169,ea_cable_core_palloff_press,Cable Core Palloff Press,Chest,chest,Cable Pulley Machine,True
170,ea_dumbbell_decline_close_neutral_grip_press,Dumbbell Decline Close Neutral Grip Press,Chest,chest,Dumbbells,True
171,ea_dumbbell_hex_press,Dumbbell Hex Press,Chest,chest,Dumbbells,True
172,ea_dumbbell_lying_on_floor_chest_press,Dumbbell Lying on Floor Chest Press,Chest,chest,Dumbbells,True
173,ea_hold_the_world_med_ball_chest_press,Hold the World Med Ball Chest Press,Chest,chest,Exercise Ball,True
174,ea_kettlebell_single_arm_chest_fly,Kettlebell Single Arm Chest Fly,Chest,chest,Kettlebells,True
175,ea_kneeling_push_up,Kneeling Push-up,Chest,chest,None (Bodyweight),True
176,ea_one_arm_push_up,One Arm Push Up,Chest,chest,None (Bodyweight),True
177,ea_pec_deck_fly_machine_flies,Pec Deck Fly Machine Flies,Chest,chest,Machine,True
178,ea_plate_deficit_pushup,Plate Deficit Pushup,Chest,chest,Weight Plate,True
179,ea_plate_glute_bridge_to_chest_press,Plate Glute Bridge to Chest Press,Chest,chest,Weight Plate,True
180,ea_plate_press,Plate Press,Chest,chest,Weight Plate,True
181,ea_push_pull_front_handle_push,Push Pull Front Handle Push,Chest,chest,Machine,True
182,ea_band_wrist_curl_single_arm,Band Wrist Curl Single Arm,Forearms,forearms,Resistance Band,True
183,ea_cable_wrist_extension,Cable Wrist Extension,Forearms,forearms,Cable Pulley Machine,True
184,ea_kettlebell_wrist_curl,Kettlebell Wrist Curl,Forearms,forearms,Kettlebells,True
185,ea_kettlebell_wrist_extension,Kettlebell Wrist Extension,Forearms,forearms,Kettlebells,True
186,ea_ankle_pumps,Ankle Pumps,Legs,quads,None (Bodyweight),True
187,ea_band_hip_adduction,Band Hip Adduction,Legs,quads,Resistance Band,True
188,ea_dumbbell_feet_elevated_figure_four_glute_bridge,Dumbbell Feet Elevated Figure Four Glute Bridge,Legs,quads,Dumbbells,True
189,ea_dumbbell_goblet_reverse_lunge,Dumbbell Goblet Reverse Lunge,Legs,quads,Dumbbells,True
190,ea_dumbbell_offset_squat,Dumbbell Offset Squat,Legs,quads,Dumbbells,True
191,ea_dumbbell_single_leg_hip_thrust,Dumbbell Single Leg Hip Thrust,Legs,quads,Dumbbells,True
192,ea_dumbbell_single_leg_single_arm_deadlift,Dumbbell Single Leg Single Arm Deadlift,Legs,quads,Dumbbells,True
193,ea_dumbbell_staggered_deadlift,Dumbbell Staggered Deadlift,Legs,quads,Dumbbells,True
194,ea_dumbbell_staggered_glute_bridge,Dumbbell Staggered Glute Bridge,Legs,quads,Dumbbells,True
195,ea_dumbbell_staggered_hip_thrust,Dumbbell Staggered Hip Thrust,Legs,quads,Dumbbells,True
196,ea_dumbbell_standing_hip_abduction,Dumbbell Standing Hip Abduction,Legs,quads,Dumbbells,True
197,ea_frog_jumps,Frog Jumps,Legs,quads,None (Bodyweight),True
198,ea_glute_bridge_bodyweight,Glute Bridge Bodyweight,Legs,quads,None (Bodyweight),True
199,ea_good_mornings,Good Mornings,Legs,quads,None (Bodyweight),True
200,ea_hip_thrust_in_smith_machine,Hip-thrust in Smith Machine,Legs,quads,Smith Machine,True
201,ea_horizontal_leg_press,Horizontal Leg Press,Legs,quads,Machine,True
202,ea_horizontal_leg_press_calf_raise,Horizontal Leg Press Calf Raise,Legs,quads,Machine,True
203,ea_horizontal_leg_press_calf_raise_single_leg,Horizontal Leg Press Calf Raise Single Leg,Legs,quads,Machine,True
204,ea_horizontal_leg_press_single_leg,Horizontal Leg Press Single Leg,Legs,quads,Machine,True
205,ea_jumping_lunge,Jumping Lunge,Legs,quads,None (Bodyweight),True
206,ea_jumping_pistol_squat,Jumping Pistol Squat,Legs,quads,None (Bodyweight),True
207,ea_kettlebell_calf_raise,Kettlebell Calf Raise,Legs,quads,Kettlebells,True
208,ea_kettlebell_glute_bridge,Kettlebell Glute Bridge,Legs,quads,Kettlebells,True
209,ea_kettlebell_hip_thrusts,Kettlebell Hip Thrusts,Legs,quads,Kettlebells,True
210,ea_kettlebell_hip_thrusts_with_bench,Kettlebell Hip Thrusts with Bench,Legs,quads,Kettlebells,True
211,ea_kettlebell_lateral_lunge,Kettlebell Lateral Lunge,Legs,quads,Kettlebells,True
212,ea_kettlebell_reverse_lunge,Kettlebell Reverse Lunge,Legs,quads,Kettlebells,True
213,ea_kettlebell_seated_calf_raise,Kettlebell Seated Calf Raise,Legs,quads,Kettlebells,True
214,ea_kettlebell_single_leg_calf_raise,Kettlebell Single Leg Calf Raise,Legs,quads,Kettlebells,True
215,ea_kettlebell_single_leg_deadlift,Kettlebell Single Leg Deadlift,Legs,quads,Kettlebells,True
216,ea_kettlebell_single_leg_glute_bridge,Kettlebell Single Leg Glute Bridge,Legs,quads,Kettlebells,True
217,ea_kettlebell_single_leg_hip_thrust,Kettlebell Single Leg Hip Thrust,Legs,quads,Kettlebells,True
218,ea_kettlebell_single_leg_romanian_deadlifts,Kettlebell Single Leg Romanian Deadlifts,Legs,quads,Kettlebells,True
219,ea_kettlebell_staggered_deadlift,Kettlebell Staggered Deadlift,Legs,quads,Kettlebells,True
220,ea_landmine_calf_raise,Landmine Calf Raise,Legs,quads,Landmine,True
221,ea_landmine_curtsy_lunge,Landmine Curtsy Lunge,Legs,quads,Landmine,True
222,ea_landmine_glute_kick_back,Landmine Glute Kick Back,Legs,quads,Landmine,True
223,ea_landmine_goblet_curtsy_lunge,Landmine Goblet Curtsy Lunge,Legs,quads,Landmine,True
224,ea_landmine_goblet_lateral_lunge,Landmine Goblet Lateral Lunge,Legs,quads,Landmine,True
225,ea_landmine_hack_squat,Landmine Hack Squat,Legs,quads,Landmine,True
226,ea_landmine_lateral_lunge,Landmine Lateral Lunge,Legs,quads,Landmine,True
227,ea_landmine_lunge_to_overhead_press,Landmine Lunge to Overhead Press,Legs,quads,Landmine,True
228,ea_landmine_squat_and_press,Landmine Squat and Press,Legs,quads,Landmine,True
229,ea_lateral_band_walks,Lateral Band Walks,Legs,quads,Resistance Band,True
230,ea_lateral_box_jump,Lateral Box Jump,Legs,quads,Plyo Box,True
231,ea_med_ball_front_squat_raise,Med Ball Front Squat Raise,Legs,quads,Exercise Ball,True
232,ea_medicine_ball_jumps,Medicine Ball Jumps,Legs,quads,Medicine Ball,True
233,ea_multi_hip_adduction,Multi Hip Adduction,Legs,quads,Machine,True
234,ea_narrow_stance_heels_elevated_dumbbell_goblet_squats,Narrow Stance Heels Elevated Dumbbell Goblet Squats,Legs,quads,Dumbbells,True
235,ea_nordic_hamstring_curl_with_partner,Nordic Hamstring Curl with Partner,Legs,quads,A Partner,True
236,ea_normal_squat_smith_machine,Normal Squat Smith Machine,Legs,quads,Smith Machine,True
237,ea_pistol_squat_to_box,Pistol Squat to Box,Legs,quads,Plyo Box,True
238,ea_plate_curtsy_lunge,Plate Curtsy Lunge,Legs,quads,Weight Plate,True
239,ea_plate_deadlift,Plate Deadlift,Legs,quads,Weight Plate,True
240,ea_plate_deficit_lunge,Plate Deficit Lunge,Legs,quads,Weight Plate,True
241,ea_plate_forward_lunge,Plate Forward Lunge,Legs,quads,Weight Plate,True
242,ea_plate_good_morning_anterior,Plate Good Morning Anterior,Legs,quads,Weight Plate,True
243,ea_plate_lateral_lunge,Plate Lateral Lunge,Legs,quads,Weight Plate,True
244,ea_plate_overhead_walking_lunge,Plate Overhead Walking Lunge,Legs,quads,Weight Plate,True
245,ea_plate_single_leg_deadlift,Plate Single Leg Deadlift,Legs,quads,Weight Plate,True
246,ea_plate_single_leg_pinch_grip_deadlift,Plate Single Leg Pinch Grip Deadlift,Legs,quads,Weight Plate,True
247,ea_plate_squat_hold,Plate Squat Hold,Legs,quads,Weight Plate,True
248,ea_plate_squat_hold_biceps_curl,Plate Squat Hold Biceps Curl,Legs,quads,Weight Plate,True
249,ea_plate_squat_hold_reach,Plate Squat Hold Reach,Legs,quads,Weight Plate,True
250,ea_plate_squat_reach,Plate Squat Reach,Legs,quads,Weight Plate,True
251,ea_plate_staggered_deadlift,Plate Staggered Deadlift,Legs,quads,Weight Plate,True
252,ea_plate_staggered_pinch_grip_deadlift,Plate Staggered Pinch Grip Deadlift,Legs,quads,Weight Plate,True
253,ea_sissy_squat_bodyweight,Sissy Squat Bodyweight,Legs,quads,Bench,True
254,ea_smith_machine_narrow_stance_heels_elevated_squats,Smith Machine Narrow Stance Heels Elevated Squats,Legs,quads,Smith Machine,True
255,ea_standing_cable_hip_flexion,Standing Cable Hip Flexion,Legs,quads,Cable Pulley Machine,True
256,ea_barbell_hang_clean,Barbell Hang Clean,Powerlifting,,Barbell,True
257,ea_barbell_press_under,Barbell Press Under,Powerlifting,,Barbell,True
258,ea_plate_clean,Plate Clean,Powerlifting,,Weight Plate,True
259,ea_plate_clean_and_press,Plate Clean and Press,Powerlifting,,Weight Plate,True
260,ea_plate_thruster,Plate Thruster,Powerlifting,,Weight Plate,True
261,ea_sandbag_cleans,Sandbag Cleans,Powerlifting,,Sandbag,True
262,ea_cable_30_degree_shrug,Cable 30 Degree Shrug,Shoulders,shoulders,Cable Pulley Machine,True
263,ea_cable_face_pull_with_rope,Cable Face Pull with Rope,Shoulders,shoulders,Cable Pulley Machine,True
264,ea_cable_single_arm_reverse_fly,Cable Single Arm Reverse Fly,Shoulders,shoulders,Cable Pulley Machine,True
