"index","arm","gt_kind","canonical_label","semantic_label","central_subject","multiple_kind","gt_status","pass1_label","pass2_label","features"
"5","B","canonical_single","cable machine","Nautilus Instinct functional trainer column (Pulldown / Shoulder Press / Biceps Curl placards)","Nautilus Instinct functional trainer column (Pulldown / Shoulder Press / Biceps Curl placards)","","resolved","cable machine","cable machine","the crop is almost entirely one cable column: the placard strip, a rope attachment and the cable arm"
"6","A","canonical_single","cable machine","Nautilus Instinct functional trainer","Nautilus Instinct functional trainer","","resolved","cable machine","cable machine","same machine, wider: cable attachments, placard, straps"
"6","B","canonical_single","cable machine","Nautilus Instinct functional trainer column (Chest Press / Push Press / High Row placards)","Nautilus Instinct functional trainer column (Chest Press / Push Press / High Row placards)","","resolved","cable machine","cable machine","same column, other face; the placard strip, rope and D-handles fill the crop"
"7","A","canonical_single","squat rack","power cage","power cage","","resolved","squat rack","squat rack","a POWER CAGE printed on the crossmember, uprights with J-hooks, dominant and centred"
"7","B","canonical_single","squat rack","power cage with POWER CAGE printed on the crossmember","power cage with POWER CAGE printed on the crossmember","","resolved","squat rack","squat rack","the crop centres the cage, the printed label stays legible and the uprights frame the shot"
"8","A","canonical_single","cable machine","dual-column functional trainer","dual-column functional trainer","","resolved","cable machine","cable machine","two cable columns with pulleys and placards, centred and dominant"
"8","B","canonical_single","cable machine","Nautilus Instinct dual-column functional trainer","Nautilus Instinct dual-column functional trainer","","resolved","cable machine","cable machine","both columns of one trainer survive the crop with their placards, rope and handles"
"9","A","multiple","","","bench with roller pads; barbell on uprights; medicine-ball rack; spin bike","mixed","resolved","multiple","multiple","three distinct pieces compete for the frame; the numbered bench is centred but not dominant"
"9","B","multiple","","","roller-pad bench (unit 2); barbell on uprights; spin bike; medicine balls","mixed","resolved","multiple","multiple","the crop keeps three distinct pieces; the numbered bench is centred but the barbell rig is equally near"
"10","A","multiple","","","bench in the foreground; cycling studio behind","mixed","resolved","multiple","multiple","the bench is nearest the camera but the frame reads as a room with a bike studio behind it"
"10","B","multiple","","","flat bench in the foreground; barbell uprights; spin bikes behind","mixed","resolved","multiple","multiple","the bench is nearest after the crop but the frame still reads as a room with a studio behind it"
"11","A","multiple","","","cycling studio: eight spin bikes","same_type_bikes","resolved","multiple","multiple","many instances of ONE machine type, no single subject; a confident single answer is scored an overclaim by the frozen rule"
"11","B","multiple","","","cycling studio: many spin bikes","same_type_bikes","resolved","multiple","multiple","the crop still holds six or more bikes of one type; no single subject"
"12","A","multiple","","","row of treadmills; spin bike in the foreground; weight plates","mixed","resolved","multiple","multiple","treadmills along the window plus a bike in the near foreground"
"12","B","multiple","","","row of treadmills along the window; spin bike in the foreground","mixed","resolved","multiple","multiple","the crop keeps five treadmills plus a bike in the near foreground"
"13","A","multiple","","","several power/freedom racks side by side","same_type_racks","resolved","multiple","multiple","at least three racks of similar prominence; none dominates"
"13","B","multiple","","","Nautilus Freedom Rack centred; power cage left; more racks right","same_type_racks","resolved","multiple","multiple","three racks of similar prominence survive the crop"
"14","A","multiple","","","several racks and benches","same_type_racks","resolved","multiple","multiple","same area as #13 from another angle"
"14","B","multiple","","","freedom rack centred; power cage left; benches right","same_type_racks","resolved","multiple","multiple","same area from another angle; the crop does not isolate one rack"
"15","A","canonical_single","lat pulldown","Star Trac plate-loaded pulldown","Star Trac plate-loaded pulldown","","unresolved","leg press or hack squat (rejected)","lat pulldown (pending operator)","inclined back pad, THIGH/LAP pad with a red adjustment lever, STAR TRAC foot platform, plate horns, and a handle bar ABOVE the seat; the thigh restraint is what a downward pull needs. Same unit as #29 and #47. I have misidentified this machine twice before, so it goes to the operator rather than to a third self-assessment"
"15","B","canonical_single","lat pulldown","Star Trac plate-loaded machine, centre-right and nearest to the camera","Star Trac plate-loaded machine, centre-right and nearest to the camera","","unresolved","lat pulldown (provisional)","lat pulldown (provisional)","the crop leaves this unit dominant: inclined back pad, thigh pad with a red adjustment lever, STAR TRAC foot platform, plate horns. The crop does not settle the identity and it is deferred to the operator"
"16","A","multiple","","","row of Nautilus Inspiration machines; treadmills behind","mixed","resolved","multiple","multiple","a corridor of machines along a wall"
"16","B","multiple","","","row of Nautilus Inspiration machines; treadmills behind","mixed","resolved","multiple","multiple","the crop keeps a corridor of machines along the wall"
"17","A","multiple","","","wide gym floor; many machines","mixed","resolved","multiple","multiple","room-scale view with a machine seat in the near foreground"
"17","B","multiple","","","wide gym floor with many machines","mixed","resolved","multiple","multiple","still room-scale after the crop, with a machine seat in the near foreground"
"18","A","multiple","","","several plate-loaded machines by the window","same_type_plate_loaded","resolved","multiple","multiple","three or more similar plate-loaded machines, none dominant"
"18","B","multiple","","","several plate-loaded machines by the window","same_type_plate_loaded","resolved","multiple","multiple","three similar plate-loaded machines survive the crop and the centre one is not dominant"
"19","A","multiple","","","several plate-loaded machines","same_type_plate_loaded","resolved","multiple","multiple","same area as #18 from another angle"
"19","B","multiple","","","several plate-loaded machines","same_type_plate_loaded","resolved","multiple","multiple","same row from another angle; the crop keeps at least three"
"20","A","multiple","","","pec-deck machine at left; bench centred; functional trainer behind","mixed","resolved","multiple","multiple","the pec deck and a separate rig both claim the frame"
"20","B","multiple","","","Inspiration pec-deck at left; bench centred; functional trainer behind","mixed","resolved","multiple","multiple","the crop keeps both the pec deck and a separate rig"
"21","A","canonical_single","pec deck","Nautilus Inspiration PEC FLY / REAR DELT","Nautilus Inspiration PEC FLY / REAR DELT","","resolved","pec deck","pec deck","the machine's own placard reads PEC FLY / REAR DELT; the frame is filled by that one machine's shroud"
"21","B","canonical_single","pec deck","Nautilus Inspiration PEC FLY / REAR DELT","Nautilus Inspiration PEC FLY / REAR DELT","","resolved","pec deck","pec deck","the crop is filled by one machine's shroud and its PEC FLY / REAR DELT placard"
"22","A","canonical_single","ab crunch machine","Nautilus Inspiration ABDOMINAL (unit 25)","Nautilus Inspiration ABDOMINAL (unit 25)","","resolved","unclear machine type","ab crunch machine","shroud reads ABDOMINAL, unit number 25; same machine as #23, #24 and #50"
"22","B","canonical_single","ab crunch machine","Nautilus Inspiration ABDOMINAL (unit 25)","Nautilus Inspiration ABDOMINAL (unit 25)","","resolved","ab crunch machine","ab crunch machine","the crop keeps the ABDOMINAL shroud text, the unit number 25 and the seat with its two curved handles"
"23","A","canonical_single","ab crunch machine","Nautilus Inspiration ABDOMINAL","Nautilus Inspiration ABDOMINAL","","resolved","ab crunch machine","ab crunch machine","close-up of the ABDOMINAL placard on the shroud"
"23","B","canonical_single","ab crunch machine","Nautilus Inspiration ABDOMINAL placard, close up","Nautilus Inspiration ABDOMINAL placard, close up","","resolved","ab crunch machine","ab crunch machine","the crop is the placard itself: the crunch diagram and the ABDOMINAL caption"
"24","A","canonical_single","ab crunch machine","Nautilus Inspiration ABDOMINAL","Nautilus Inspiration ABDOMINAL","","resolved","ab crunch machine","ab crunch machine","NAUTILUS shroud with the ABDOMINAL placard, machine dominant"
"24","B","canonical_single","ab crunch machine","Nautilus shroud carrying the ABDOMINAL placard","Nautilus shroud carrying the ABDOMINAL placard","","resolved","ab crunch machine","ab crunch machine","the NAUTILUS badge and the ABDOMINAL placard fill the crop"
"25","A","multiple","","","row of elliptical trainers","same_type_ellipticals","resolved","multiple","multiple","several ellipticals of one type along the window"
"25","B","multiple","","","row of elliptical trainers","same_type_ellipticals","resolved","multiple","multiple","the crop keeps three ellipticals of one type"
"26","A","canonical_single","stair climber","stepmill","stepmill","","resolved","stair climber","stair climber","a stepmill dead centre and closest to the camera; bikes and treadmills are clearly background"
"26","B","canonical_single","stair climber","stepmill (unit 6)","stepmill (unit 6)","","resolved","stair climber","stair climber","the crop centres the stepmill's revolving staircase; the bike and the treadmills stay clearly background"
"27","A","multiple","","","cardio room: recumbent bikes and a treadmill","mixed","resolved","multiple","multiple","no single subject"
"27","B","multiple","","","cardio room: recumbent bikes and treadmills","mixed","resolved","multiple","multiple","no single subject survives the crop"
"28","A","canonical_single","shoulder press machine","Nautilus Inspiration SHOULDER PRESS (unit 24)","Nautilus Inspiration SHOULDER PRESS (unit 24)","","resolved","unclear machine type","shoulder press machine","shroud reads SHOULDER PRESS, unit 24; seat, back pad and press arms at shoulder height; same machine as #43 and #44"
"28","B","canonical_single","shoulder press machine","Nautilus Inspiration SHOULDER PRESS (unit 24)","Nautilus Inspiration SHOULDER PRESS (unit 24)","","resolved","shoulder press machine","shoulder press machine","the crop keeps the SHOUL... shroud text, the seat and the press arms at shoulder height"
"29","A","canonical_single","lat pulldown","Star Trac plate-loaded pulldown","Star Trac plate-loaded pulldown","","unresolved","upper-body press","lat pulldown (pending operator)","same unit as #15 and #47 seen from behind: tall back pad with head rest, lever arms with plate horns, STAR TRAC foot platform. Identity deferred to the operator with #15"
"29","B","canonical_single","lat pulldown","the Star Trac plate-loaded unit seen from behind","the Star Trac plate-loaded unit seen from behind","","unresolved","lat pulldown (provisional)","lat pulldown (provisional)","the crop centres the unit from behind: tall back pad, curved lever arms with plate horns, STAR TRAC foot platform. Deferred with #15 and #47"
"30","A","multiple","","","several Inspiration machines and an assisted pull-up station","mixed","resolved","multiple","multiple","a row of machines, none dominant"
"30","B","multiple","","","several Inspiration machines and an assisted chin/dip station","mixed","resolved","multiple","multiple","the crop keeps a row of machines, none dominant"
"31","A","canonical_single","squat rack","Nautilus Freedom Rack","Nautilus Freedom Rack","","resolved","squat rack or smith machine","squat rack","NAUTILUS FREEDOM RACK printed on the crossmember; the barbell rests on J-hooks and there are no guide rails, so it is a rack and not a smith machine"
"31","B","canonical_single","squat rack","Nautilus Freedom Rack","Nautilus Freedom Rack","","resolved","squat rack","squat rack","NAUTILUS FREEDOM RACK stays printed on the crossmember in the crop; the bar rests on J-hooks with no guide rails, so a rack and not a smith machine"
"32","A","canonical_single","squat rack","power cage","power cage","","resolved","squat rack","squat rack","POWER CAGE printed on the crossmember, centred and dominant"
"32","B","canonical_single","squat rack","power cage with POWER CAGE printed on the crossmember","power cage with POWER CAGE printed on the crossmember","","resolved","squat rack","squat rack","the crop centres the cage and keeps the printed label"
"33","A","canonical_single","cable machine","Nautilus Instinct functional trainer","Nautilus Instinct functional trainer","","resolved","cable machine","cable machine","two cable columns with placards and handles, in a corner, dominant"
"33","B","canonical_single","cable machine","Nautilus Instinct functional trainer in a corner","Nautilus Instinct functional trainer in a corner","","resolved","cable machine","cable machine","the crop keeps both columns, the placards and the handles"
"34","A","canonical_single","cable machine","Nautilus Instinct functional trainer","Nautilus Instinct functional trainer","","resolved","cable machine","cable machine","same machine, front view"
"34","B","canonical_single","cable machine","Nautilus Instinct functional trainer, front view","Nautilus Instinct functional trainer, front view","","resolved","cable machine","cable machine","same trainer head on; the crop is almost entirely this one machine"
"35","A","multiple","","","roller-pad bench; barbell on uprights; spin bike; medicine balls","mixed","resolved","multiple","multiple","same scene as #9; several pieces compete"
"35","B","multiple","","","roller-pad bench; barbell on uprights; spin bike; medicine balls","mixed","resolved","multiple","multiple","the same scene as #9 after the crop; several pieces still compete"
"36","A","canonical_single","bench press station","flat bench under a barbell on uprights","flat bench under a barbell on uprights","","resolved","bench press station","bench press station","a bench directly under a loaded barbell on uprights, centred and in the foreground"
"36","B","canonical_single","bench press station","flat Nautilus bench under a barbell on uprights","flat Nautilus bench under a barbell on uprights","","resolved","bench press station","bench press station","the crop keeps the bench directly under the loaded bar and nothing else is near"
"37","A","canonical_single","bench press station","incline bench with a barbell rack","incline bench with a barbell rack","","resolved","bench press station","bench press station","NAUTILUS bench set to incline in front of uprights carrying a barbell"
"37","B","canonical_single","bench press station","Nautilus bench set to incline in front of a barbell rack","Nautilus bench set to incline in front of a barbell rack","","resolved","bench press station","bench press station","the crop keeps the incline bench and the uprights carrying the bar"
"38","A","multiple","","","several plate-loaded machines (units 39, 40)","same_type_plate_loaded","resolved","multiple","multiple","a row of similar machines with foot platforms; none dominant"
"38","B","multiple","","","several plate-loaded machines (units 39, 40)","same_type_plate_loaded","resolved","multiple","multiple","the crop keeps a row of similar machines with foot platforms"
"39","A","multiple","","","several plate-loaded machines","same_type_plate_loaded","resolved","multiple","multiple","same row from another angle"
"39","B","multiple","","","several plate-loaded machines","same_type_plate_loaded","resolved","multiple","multiple","the same row from another angle"
"40","A","canonical_single","seated row machine","Nautilus Inspiration ROW (unit 23)","Nautilus Inspiration ROW (unit 23)","","resolved","unclear machine type","seated row machine","shroud reads ROW, unit 23; seat with chest pad and a wide pulling handle"
"40","B","canonical_single","seated row machine","Nautilus Inspiration ROW (unit 23)","Nautilus Inspiration ROW (unit 23)","","resolved","seated row machine","seated row machine","the ROW shroud text and the seat with its chest pad stay in the crop and are the nearest object"
"41","A","multiple","","","lat pulldown at left; assisted pull-up station centred; Inspiration machines right","mixed","resolved","multiple","multiple","three machines of comparable prominence"
"41","B","multiple","","","lat pulldown left; assisted chin/dip station centred; Inspiration machines right","mixed","resolved","multiple","multiple","the crop keeps three machines of comparable prominence"
"42","A","canonical_single","lat pulldown","Nautilus Inspiration LAT PULL DOWN (unit 21)","Nautilus Inspiration LAT PULL DOWN (unit 21)","","resolved","lat pulldown","lat pulldown","shroud reads LAT PULL DOWN, unit 21; curved overhead handle and a thigh pad"
"42","B","canonical_single","lat pulldown","Nautilus Inspiration LAT PULL DOWN (unit 21)","Nautilus Inspiration LAT PULL DOWN (unit 21)","","resolved","lat pulldown","lat pulldown","the crop keeps the LAT PULL DOWN shroud text and the curved overhead handle"
"43","A","canonical_single","shoulder press machine","Nautilus Inspiration SHOULDER PRESS (unit 24)","Nautilus Inspiration SHOULDER PRESS (unit 24)","","resolved","unclear machine type","shoulder press machine","shroud reads SHOULDER PRESS, unit 24"
"43","B","canonical_single","shoulder press machine","Nautilus Inspiration SHOULDER PRESS (unit 24)","Nautilus Inspiration SHOULDER PRESS (unit 24)","","resolved","shoulder press machine","shoulder press machine","the crop keeps the SHOULDER PRESS shroud text, the unit number 24 and the angled press arms"
"44","A","canonical_single","shoulder press machine","Nautilus Inspiration SHOULDER PRESS (unit 24)","Nautilus Inspiration SHOULDER PRESS (unit 24)","","resolved","unclear machine type","shoulder press machine","same unit 24 from the other side, shroud reads SHOUL..."
"44","B","canonical_single","shoulder press machine","the same unit 24 from the other side","the same unit 24 from the other side","","resolved","shoulder press machine","shoulder press machine","the crop keeps the SHOUL... shroud text with the seat and back pad"
"45","A","canonical_single","cable machine","Star Trac functional trainer (unit 32)","Star Trac functional trainer (unit 32)","","resolved","cable machine","cable machine","STAR TRAC branded cable rig with pulleys and handles, dominant"
"45","B","canonical_single","cable machine","Star Trac functional trainer (unit 32)","Star Trac functional trainer (unit 32)","","resolved","cable machine","cable machine","the crop is dominated by the STAR TRAC cable rig: pulleys, cables, stacks and an ADD ON WEIGHT placard"
"46","A","multiple","","","cable machine at left; bench in the foreground; machines behind","mixed","resolved","multiple","multiple","the cable rig is centred but a bench and further machines share the frame"
"46","B","multiple","","","cable machine at left; bench in the foreground; machines behind","mixed","resolved","multiple","multiple","the crop keeps the cable rig, a bench and further machines"
"47","A","canonical_single","lat pulldown","Star Trac plate-loaded pulldown (unit 18 area)","Star Trac plate-loaded pulldown (unit 18 area)","","unresolved","leg press / hack squat (rejected by the operator); then lat pulldown","lat pulldown (pending operator)","THE photograph from the failing recognition. Same unit as #15 and #29. Seat, tall back pad with head rest, thigh pad, STAR TRAC foot platform, plate horns, lever arms. The operator rejected my first identification and I have since read it two more ways, so this row is deferred to the operator by design rather than closed on my third reading"
"47","B","canonical_single","lat pulldown","the Star Trac plate-loaded unit, nearest and centre-right","the Star Trac plate-loaded unit, nearest and centre-right","","unresolved","lat pulldown (provisional)","lat pulldown (provisional)","THE frame from the failing recognition. The crop makes the unit dominant: upright back pad, seat, STAR TRAC foot platform, plate horns and lever arms. Deferred to the operator by design rather than closed on a third reading"
"48","A","multiple","","","rowing machine at centre-left; elliptical at right","mixed","resolved","multiple","multiple","two machines of comparable prominence"
"48","B","multiple","","","rowing machine at centre-left; elliptical at right","mixed","resolved","multiple","multiple","the crop keeps both machines at comparable size"
"49","A","multiple","","","three elliptical trainers","same_type_ellipticals","resolved","multiple","multiple","several ellipticals of one type"
"49","B","multiple","","","three elliptical trainers","same_type_ellipticals","resolved","multiple","multiple","the crop keeps three of one type"
"50","A","canonical_single","ab crunch machine","Nautilus Inspiration ABDOMINAL (unit 25)","Nautilus Inspiration ABDOMINAL (unit 25)","","resolved","unclear machine type","ab crunch machine","shroud reads ABD..., unit number 25; same machine as #22"
"50","B","canonical_single","ab crunch machine","Nautilus Inspiration (unit 25)","Nautilus Inspiration (unit 25)","","resolved","ab crunch machine","ab crunch machine","the crop keeps the INSPIRATION shroud, the unit number 25 and the seat with its two curved handle arms"
"51","A","canonical_single","pec deck","Nautilus Inspiration PEC FLY / REAR DELT (unit 22)","Nautilus Inspiration PEC FLY / REAR DELT (unit 22)","","resolved","unclear machine type","pec deck","shroud reads PEC FLY / REAR DELT and the placard reads DELTOID / PECTORAL"
"51","B","canonical_single","pec deck","Nautilus Inspiration PEC FLY / REAR DELT (unit 22)","Nautilus Inspiration PEC FLY / REAR DELT (unit 22)","","resolved","pec deck","pec deck","the crop keeps the red PEC FLY / REAR DELT label and the DELTOID / PECTORAL placard behind it"
