id,title,vendorGroup,primaryMuscles,muscles
ea_dumbbell_incline_bench_press,Dumbbell Incline Bench Press,Chest,shoulders,shoulders;triceps
ea_dumbbell_incline_shrug,Dumbbell Incline Shrug,Shoulders,traps,shoulders;traps
ea_dumbbell_rear_full_shrugs,Dumbbell Rear Full Shrugs,Shoulders,traps,shoulders;traps
ea_dumbbell_reverse_fly,Dumbbell Reverse Fly,Shoulders,traps,traps
ea_dumbbell_romanian_deadlift,Dumbbell Romanian Deadlift,Back,glutes;hamstrings,glutes;hamstrings;lower_back;quads
ea_dumbbell_shrugs,Dumbbell Shrugs,Shoulders,traps,shoulders;traps
ea_dumbbell_side_plank_with_rear_fly,Dumbbell Side Plank with Rear Fly,Abdominals,shoulders;traps,shoulders;traps
ea_dumbbell_standing_single_arm_cross_raise,Dumbbell Standing Single Arm Cross Raise,Chest,shoulders,shoulders
ea_good_morning_resistance_band,Good Morning Resistance Band,Back,glutes;hamstrings,core;glutes;hamstrings;lower_back
ea_kettlebell_sumo_deadlift,Kettlebell Sumo Deadlift,Back,adductors;glutes;quads,adductors;glutes;hamstrings;lower_back;quads
ea_kettlebell_sumo_deadlift_with_high_pull,Kettlebell Sumo Deadlift with High Pull,Back,adductors;glutes;quads;shoulders,adductors;glutes;hamstrings;lower_back;quads;shoulders;traps
ea_pike_push_up,Pike Push Up,Triceps,shoulders,chest;shoulders;triceps
ea_resistance_band_face_pull,Resistance Band Face Pull,Shoulders,traps,biceps;forearms;traps
ea_resistance_band_lying_hyperextension_abduction,Resistance Band Lying Hyperextension Abduction,Back,glutes,core;glutes;lower_back
ea_romanian_deadlift_barbell,Romanian Deadlift Barbell,Back,glutes;hamstrings,adductors;glutes;hamstrings;lower_back
ea_shoulder_circle,Shoulder Circle,Shoulders,traps,shoulders;traps
ea_single_kettlebell_deadlift,Single Kettlebell Deadlift,Back,glutes;hamstrings;quads,forearms;glutes;hamstrings;lower_back;quads
ea_suspension_trainer_with_grips_face_pull,Suspension Trainer with Grips Face Pull,Shoulders,traps,forearms;shoulders;traps
ea_trap_bar_shrug,Trap Bar Shrug,Shoulders,traps,forearms;shoulders;traps
ea_upright_row_barbell,Upright Row Barbell,Back,shoulders,biceps;shoulders;traps
