"seq","window","pair_id","pair_index","image_id","arm","attempt_no","source_file","transformed_sha256","gt_kind","gt_status"
"47","1","p23","23","95c0d64bdfa7c1193504db0f3383031b66255f4918420ce4f203ed25f59ebb09","A","1","20260730_141736.jpg","95c0d64bdfa7c1193504db0f3383031b66255f4918420ce4f203ed25f59ebb09","canonical_single","resolved"
"48","1","p24","24","bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367","A","1","20260730_141743.jpg","bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367","canonical_single","resolved"
"49","1","p24","24","bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367","B","1","20260730_141743.jpg","b7e3f3be712dd4bc1de416fc21de8c58a016c61878d94d857b1086fe4963592b","canonical_single","resolved"
"50","1","p25","25","85af06446982ea6909ad5d1c9149cd91dd48fe68012aabe7b7b902cfe16a47be","B","1","20260730_142207.jpg","6f94c816c98d67b1f3510ab9ecf772aa776e9013d35ed7779b790db5d3318886","multiple","resolved"
"51","1","p25","25","85af06446982ea6909ad5d1c9149cd91dd48fe68012aabe7b7b902cfe16a47be","A","1","20260730_142207.jpg","85af06446982ea6909ad5d1c9149cd91dd48fe68012aabe7b7b902cfe16a47be","multiple","resolved"
"52","2","p26","26","95b7b3d64a70c8a1ca9f039289d62a1b3e367646d80f0d37e8bc4da508da876f","A","1","20260730_142215.jpg","95b7b3d64a70c8a1ca9f039289d62a1b3e367646d80f0d37e8bc4da508da876f","canonical_single","resolved"
"53","2","p26","26","95b7b3d64a70c8a1ca9f039289d62a1b3e367646d80f0d37e8bc4da508da876f","B","1","20260730_142215.jpg","d267b6ab5a5a1221fadf14049ab4630601c70e57e818d345874cb6ab5eb413f0","canonical_single","resolved"
"54","2","p27","27","3d18176fbcfdbac3c5b1275f714a2fd8f75a300a22a816efb84eff448853ce11","B","1","20260730_142217.jpg","819132e6e60e953ddd97e119cacdf6c3614205433338046b4f52be8df7c25023","multiple","resolved"
"55","2","p27","27","3d18176fbcfdbac3c5b1275f714a2fd8f75a300a22a816efb84eff448853ce11","A","1","20260730_142217.jpg","3d18176fbcfdbac3c5b1275f714a2fd8f75a300a22a816efb84eff448853ce11","multiple","resolved"
"56","2","p28","28","9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9","A","1","20260806_140007.jpg","9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9","canonical_single","resolved"
"57","2","p28","28","9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9","B","1","20260806_140007.jpg","0f87a28c1af76f8d478d452ed44b1a755d5c5f5d6da29de89e0bf9e3d419f3f4","canonical_single","resolved"
"58","2","p29","29","96e935a95746d86c94d826e302aad60d2cd02127fd19536e64a502a5ab12fcea","B","1","20260806_140012.jpg","b25cd3550ed3d1349dc41b8a08df607c2140cf90741f7c2bd88003251385463b","canonical_single","unresolved"
"59","2","p29","29","96e935a95746d86c94d826e302aad60d2cd02127fd19536e64a502a5ab12fcea","A","1","20260806_140012.jpg","96e935a95746d86c94d826e302aad60d2cd02127fd19536e64a502a5ab12fcea","canonical_single","unresolved"
"60","2","p30","30","aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec","A","1","20260806_140016.jpg","aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec","multiple","resolved"
"61","2","p30","30","aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec","B","1","20260806_140016.jpg","7693d19db52ac8d6cc27004eae8b7808b2ddaaf0e46e9d63e40ecb81115a5f55","multiple","resolved"
"62","2","p31","31","f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743","B","1","20260810_131016.jpg","d12d1a6e34701f6ffa78f5e1f348d0cf3418f1b4dbf681d5316f24014b2eccb5","canonical_single","resolved"
"63","2","p31","31","f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743","A","1","20260810_131016.jpg","f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743","canonical_single","resolved"
"64","2","p32","32","d383820e4bf7e632ef9dc7d69ac973c6b5a85e5693324f601bf814e723f895c6","A","1","20260810_131021.jpg","d383820e4bf7e632ef9dc7d69ac973c6b5a85e5693324f601bf814e723f895c6","canonical_single","resolved"
"65","2","p32","32","d383820e4bf7e632ef9dc7d69ac973c6b5a85e5693324f601bf814e723f895c6","B","1","20260810_131021.jpg","bf51d1086a0334edcb1e83b61c89e86e7eff4bf663497788d5b674ddf3326243","canonical_single","resolved"
"66","2","p33","33","b37ce23ff67434844a2d0635b873a4d431d74d651a313ae2669f5423385efbc9","B","1","20260810_131025.jpg","fb8ff529683b5669a7091367d213362eba6c1c920c06ded8059499bcbadf87e7","canonical_single","resolved"
"67","2","p33","33","b37ce23ff67434844a2d0635b873a4d431d74d651a313ae2669f5423385efbc9","A","1","20260810_131025.jpg","b37ce23ff67434844a2d0635b873a4d431d74d651a313ae2669f5423385efbc9","canonical_single","resolved"
"68","2","p34","34","a73d4a975ad2b1911e432bb800e26e6c457d87e89eb7283efb72134dff659048","A","1","20260810_131029.jpg","a73d4a975ad2b1911e432bb800e26e6c457d87e89eb7283efb72134dff659048","canonical_single","resolved"
"69","2","p34","34","a73d4a975ad2b1911e432bb800e26e6c457d87e89eb7283efb72134dff659048","B","1","20260810_131029.jpg","a142eaefd00431257540770b471f360695c2498ffc7f2ea1109d0cc799f3724e","canonical_single","resolved"
"70","2","p35","35","0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22","B","1","20260810_131129.jpg","bd24d1f7bfac43b6ce9cd8625aa55e10c05ecc183377fd1d802c6245096fde37","multiple","resolved"
"71","2","p35","35","0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22","A","1","20260810_131129.jpg","0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22","multiple","resolved"
"72","2","p36","36","6be03804b67a156bf01de1d85506e5323f6169959e71a3d26d6d8f79d9576a4e","A","1","20260810_131137.jpg","6be03804b67a156bf01de1d85506e5323f6169959e71a3d26d6d8f79d9576a4e","canonical_single","resolved"
"73","2","p36","36","6be03804b67a156bf01de1d85506e5323f6169959e71a3d26d6d8f79d9576a4e","B","1","20260810_131137.jpg","2d09e64e6ffcff1d519b646ffe9ad138957612a6b0c3e8e38c533beafd02156e","canonical_single","resolved"
"74","2","p37","37","8f5bcebded85a1735c3b111f7898844bc32bffcd4e9bd787b7a37f1cbb11d9e7","B","1","20260810_131140.jpg","ca1e6a25e58353533b2479af1033d4069a6546c83700743131c0979ca72d036c","canonical_single","resolved"
"75","2","p37","37","8f5bcebded85a1735c3b111f7898844bc32bffcd4e9bd787b7a37f1cbb11d9e7","A","1","20260810_131140.jpg","8f5bcebded85a1735c3b111f7898844bc32bffcd4e9bd787b7a37f1cbb11d9e7","canonical_single","resolved"
"76","2","p38","38","cf560c948ce915f88c60c7487eb2bfa882e89a41f3682463626ccca9ca055244","A","1","20260810_131208.jpg","cf560c948ce915f88c60c7487eb2bfa882e89a41f3682463626ccca9ca055244","multiple","resolved"
"77","2","p38","38","cf560c948ce915f88c60c7487eb2bfa882e89a41f3682463626ccca9ca055244","B","1","20260810_131208.jpg","f51b3b6b74898271f4d4745418a4849cf10a612b2c5af2df68c8ea32c3576d35","multiple","resolved"
"78","2","p39","39","406ad6c976c48105538aa74012fde8acc08b159d0e726617b7a07f3971372385","B","1","20260810_131213.jpg","0f43d3d186bd8e8a08e6488296132aa3a7c32485d0f9bb28dc577bbdfa27a76d","multiple","resolved"
"79","2","p39","39","406ad6c976c48105538aa74012fde8acc08b159d0e726617b7a07f3971372385","A","1","20260810_131213.jpg","406ad6c976c48105538aa74012fde8acc08b159d0e726617b7a07f3971372385","multiple","resolved"
"80","2","p40","40","c479aa19cb0750ac56c843f3ed6db13d75d91a9e1effd38f7bc1ab89a7bfb587","A","1","20260810_131218.jpg","c479aa19cb0750ac56c843f3ed6db13d75d91a9e1effd38f7bc1ab89a7bfb587","canonical_single","resolved"
"81","2","p40","40","c479aa19cb0750ac56c843f3ed6db13d75d91a9e1effd38f7bc1ab89a7bfb587","B","1","20260810_131218.jpg","bb9baed15992a50886438e78bb88ad725052a9f882ce839a6dfd9f9641556694","canonical_single","resolved"
"82","2","p41","41","0876f5a6bef0efd806345020d10e9c3d347c7a26b3a1289b1a04135f512c83d5","B","1","20260810_131223.jpg","b2ca8666f03b29e928d5a2108612740e46aa8f0ae549ef83047e265a38aa3b94","multiple","resolved"
"83","2","p41","41","0876f5a6bef0efd806345020d10e9c3d347c7a26b3a1289b1a04135f512c83d5","A","1","20260810_131223.jpg","0876f5a6bef0efd806345020d10e9c3d347c7a26b3a1289b1a04135f512c83d5","multiple","resolved"
"84","2","p42","42","36b5a99749a7a6ad4ea49e1f55fb6b9331ae1a35e5b9cd90140d6dc0d06cf2b7","A","1","20260810_131228.jpg","36b5a99749a7a6ad4ea49e1f55fb6b9331ae1a35e5b9cd90140d6dc0d06cf2b7","canonical_single","resolved"
"85","2","p42","42","36b5a99749a7a6ad4ea49e1f55fb6b9331ae1a35e5b9cd90140d6dc0d06cf2b7","B","1","20260810_131228.jpg","f3a622a7464f6eccbe6842b7ca75ddebfdb9c9aea6ba36201d2a34df1c8c931b","canonical_single","resolved"
"86","2","p43","43","1a309603f5487ab591d0ecb906f1323d2602e66d9d22350305c1ed7e8cc6825d","B","1","20260810_131233.jpg","35bcad6585723592cb88478c6f33121a72bde943d1dc119f6d127726b57c6e4f","canonical_single","resolved"
"87","2","p43","43","1a309603f5487ab591d0ecb906f1323d2602e66d9d22350305c1ed7e8cc6825d","A","1","20260810_131233.jpg","1a309603f5487ab591d0ecb906f1323d2602e66d9d22350305c1ed7e8cc6825d","canonical_single","resolved"
"88","2","p44","44","425d744d6e019fed870acc22a2e1a379ae5d673e0abd1525509f13f21158c1c2","A","1","20260810_131238.jpg","425d744d6e019fed870acc22a2e1a379ae5d673e0abd1525509f13f21158c1c2","canonical_single","resolved"
"89","2","p44","44","425d744d6e019fed870acc22a2e1a379ae5d673e0abd1525509f13f21158c1c2","B","1","20260810_131238.jpg","3887ce003e56379a5b2acba805c67abe5f8a94f09c9b9668ea1b7d2ac579a97b","canonical_single","resolved"
"90","2","p45","45","d09af77c3d51f4db6f5021c60572057e1461d1d6966902a6a9cf9c04fc032105","B","1","20260810_131248.jpg","376a7e155b89fc21446f98b8f18925cb04b3d91169397f0b203ee82a396c4527","canonical_single","resolved"
"91","2","p45","45","d09af77c3d51f4db6f5021c60572057e1461d1d6966902a6a9cf9c04fc032105","A","1","20260810_131248.jpg","d09af77c3d51f4db6f5021c60572057e1461d1d6966902a6a9cf9c04fc032105","canonical_single","resolved"
"92","2","p46","46","95abe5f1fcf1ecc9c8545b627861247f8f8619eeb08dbb9818a2abcdd68a943c","A","1","20260810_131307.jpg","95abe5f1fcf1ecc9c8545b627861247f8f8619eeb08dbb9818a2abcdd68a943c","multiple","resolved"
"93","2","p46","46","95abe5f1fcf1ecc9c8545b627861247f8f8619eeb08dbb9818a2abcdd68a943c","B","1","20260810_131307.jpg","8d98363357374beb04d8c526467f6faa8b9a9cac04e7d9dfde10c36e470b74ab","multiple","resolved"
"94","2","p47","47","632846114722bfc1f0ac9d8a7f8727bc0574907e3896a58568842118014fe0ef","B","1","20260810_131311.jpg","be32ef34579a322508740cdd57b13f11dcf810d8809f2b820302479fcb8c190c","canonical_single","unresolved"
"95","2","p47","47","632846114722bfc1f0ac9d8a7f8727bc0574907e3896a58568842118014fe0ef","A","1","20260810_131311.jpg","632846114722bfc1f0ac9d8a7f8727bc0574907e3896a58568842118014fe0ef","canonical_single","unresolved"
"96","2","p48","48","778a64dd87abf5cfae04565786e1b5ce14fb910f68d000368698002ceb3160e5","A","1","20260810_131350.jpg","778a64dd87abf5cfae04565786e1b5ce14fb910f68d000368698002ceb3160e5","multiple","resolved"
"97","2","p48","48","778a64dd87abf5cfae04565786e1b5ce14fb910f68d000368698002ceb3160e5","B","1","20260810_131350.jpg","fa64744a58e197a03ce266bb11e63b31696ec8ebe9788df788c1e10f293f6270","multiple","resolved"
"98","2","p49","49","de5a281eba355cf0b17715feccbba9b2b945eae8ecadd2cb141c0d2dc573b30b","B","1","20260810_131356.jpg","696a2f670ef89b9bb31e46ec6bf49e0a88256a500199b1c3a36e71478a32ab23","multiple","resolved"
"99","2","p49","49","de5a281eba355cf0b17715feccbba9b2b945eae8ecadd2cb141c0d2dc573b30b","A","1","20260810_131356.jpg","de5a281eba355cf0b17715feccbba9b2b945eae8ecadd2cb141c0d2dc573b30b","multiple","resolved"
"100","2","p50","50","cdcdde68447cebcaacf14fc2ba844f8b3d6f9061604aed29222b61c25e3dad9a","A","1","20260810_131358.jpg","cdcdde68447cebcaacf14fc2ba844f8b3d6f9061604aed29222b61c25e3dad9a","canonical_single","resolved"
"101","2","p50","50","cdcdde68447cebcaacf14fc2ba844f8b3d6f9061604aed29222b61c25e3dad9a","B","1","20260810_131358.jpg","f2a4ad05bcfc67641e4fce21ba73799cab46cc580a18631f7d5c763a10dbaf54","canonical_single","resolved"
"102","2","p51","51","098db4ab7c079e335afc2185f21a42d28ad8a332286129fc70078f72f4fcef27","B","1","20260810_133034.jpg","55bb560c857c8516f4ed46a13aa58d7180d1710a5a2fc396d9b46a68c4074bb6","canonical_single","resolved"
"103","2","p51","51","098db4ab7c079e335afc2185f21a42d28ad8a332286129fc70078f72f4fcef27","A","1","20260810_133034.jpg","098db4ab7c079e335afc2185f21a42d28ad8a332286129fc70078f72f4fcef27","canonical_single","resolved"
