id,title,group,has_purpose,final_priority,confirmed_real_issue_codes,visual_status
ea_air_twisting_crunch,Air Twisting Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternate_arm_leg_plank,Alternate Arm Leg Plank,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternate_arm_leg_plank_hold,Alternate Arm Leg Plank Hold,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternate_arm_leg_plank_rest_pause,Alternate Arm Leg Plank Rest Pause,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternate_heel_touches,Alternate Heel Touches,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternate_leg_pull,Alternate Leg Pull,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternate_leg_raise,Alternate Leg Raise,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternate_leg_raise_from_reverse_plank_position,Alternate Leg Raise From Reverse Plank Position,Abdominals,False,P1,FORCED_ROM,NOT_VERIFIED
ea_alternate_leg_raise_with_head_up,Alternate Leg Raise with Head Up,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternate_lying_floor_leg_raise,Alternate Lying Floor Leg Raise,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternate_oblique_crunch,Alternate Oblique Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternate_toe_tap_leg_lift,Alternate Toe Tap Leg Lift,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternating_leg_lifts,Alternating Leg Lifts,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternating_oblique_sit_ups,Alternating Oblique Sit-ups,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternating_plank_lunge,Alternating Plank Lunge,Abdominals,False,PASS,,NOT_VERIFIED
ea_alternating_toe_tap,Alternating Toe Tap,Abdominals,False,PASS,,NOT_VERIFIED
ea_arm_rotation_knee_lift,Arm Rotation Knee Lift,Abdominals,False,PASS,,NOT_VERIFIED
ea_assisted_sit_ups,Assisted Sit Ups,Abdominals,False,PASS,,NOT_VERIFIED
ea_assisted_sit_up,Assisted Sit-up,Abdominals,False,PASS,,NOT_VERIFIED
ea_ball_sit_up,Ball Sit-up,Abdominals,False,PASS,,NOT_VERIFIED
ea_band_bicycle_crunch,Band Bicycle Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_band_decline_sit_up,Band Decline Sit Up,Abdominals,False,PASS,,NOT_VERIFIED
ea_band_kneeling_crunch,Band Kneeling Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_band_side_bend,Band Side Bend,Abdominals,False,PASS,,NOT_VERIFIED
ea_barbell_landmine_side_bend,Barbell Landmine Side Bend,Abdominals,True,PASS,,PASS
ea_barbell_rollout,Barbell Rollout,Abdominals,False,PASS,,NOT_VERIFIED
ea_barbell_seated_twist,Barbell Seated Twist,Abdominals,False,PASS,,NOT_VERIFIED
ea_barbell_seated_twist_on_exercise_ball,Barbell Seated Twist on Exercise Ball,Abdominals,False,PASS,,NOT_VERIFIED
ea_barbell_side_bends,Barbell Side Bends,Abdominals,False,PASS,,NOT_VERIFIED
ea_barbell_situp,Barbell Situp,Abdominals,True,PASS,,PASS
ea_barbell_standing_twist,Barbell Standing Twist,Abdominals,False,PASS,,NOT_VERIFIED
ea_bench_decline_ab_sit_ups,Bench Decline Ab Sit-ups,Abdominals,False,PASS,,NOT_VERIFIED
ea_bench_knee_tucks,Bench Knee Tucks,Abdominals,False,PASS,,NOT_VERIFIED
ea_bent_knee_lying_twist,Bent Knee Lying Twist,Abdominals,False,PASS,,NOT_VERIFIED
ea_bent_knee_lying_twist_on_stability_ball,Bent Knee Lying Twist (on Stability Ball),Abdominals,False,PASS,,NOT_VERIFIED
ea_bicycle_twisting_crunch,Bicycle Twisting Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_bicycles,Bicycles,Abdominals,False,PASS,,NOT_VERIFIED
ea_bicycles_crunches,Bicycles Crunches,Abdominals,False,PASS,,NOT_VERIFIED
ea_bottoms_up_half_rep,Bottoms-up Half Rep,Abdominals,False,PASS,,NOT_VERIFIED
ea_brazilian_crunches,Brazilian Crunches,Abdominals,False,PASS,,NOT_VERIFIED
ea_bridge_mountain_climber_cross_body,Bridge - Mountain Climber (cross Body),Abdominals,False,PASS,,NOT_VERIFIED
ea_cable_standing_crunch,Cable Standing Crunch,Abdominals,True,PASS,,PASS
ea_cable_twist,Cable Twist,Abdominals,False,PASS,,NOT_VERIFIED
ea_cable_twist_up_down,Cable Twist (up-down),Abdominals,False,PASS,,NOT_VERIFIED
ea_captains_chair_leg_raise,Captains Chair Leg Raise,Abdominals,False,PASS,,NOT_VERIFIED
ea_captains_chair_straight_leg_raise,Captains Chair Straight Leg Raise,Abdominals,False,PASS,,NOT_VERIFIED
ea_chest_lift_with_rotation,Chest Lift with Rotation,Abdominals,False,PASS,,NOT_VERIFIED
ea_copenhagen_plank,Copenhagen Plank,Abdominals,True,PASS,,PASS
ea_crab_twist_toe_touch,Crab Twist Toe Touch,Abdominals,False,PASS,,NOT_VERIFIED
ea_criss_cross_leg_raises,Criss Cross Leg Raises,Abdominals,False,PASS,,NOT_VERIFIED
ea_crunch_arms_straight,Crunch (arms Straight),Abdominals,False,PASS,,NOT_VERIFIED
ea_crunch_hands_overhead,Crunch (hands Overhead),Abdominals,False,PASS,,NOT_VERIFIED
ea_crunch_legs_on_stability_ball,Crunch (legs on Stability Ball),Abdominals,False,PASS,,NOT_VERIFIED
ea_crunch_on_bosu_ball,Crunch (on Bosu Ball),Abdominals,False,PASS,,NOT_VERIFIED
ea_crunch_on_stability_ball,Crunch (on Stability Ball),Abdominals,False,PASS,,NOT_VERIFIED
ea_crunch_straight_leg_up,Crunch (straight Leg Up),Abdominals,False,PASS,,NOT_VERIFIED
ea_crunch_floor,Crunch Floor,Abdominals,False,PASS,,NOT_VERIFIED
ea_crunch_frog_on_floor,Crunch Frog on Floor,Abdominals,False,PASS,,NOT_VERIFIED
ea_crunch_leg_raise,Crunch Leg Raise,Abdominals,False,PASS,,NOT_VERIFIED
ea_crunch_with_medicine_ball,Crunch with Medicine Ball,Abdominals,False,PASS,,NOT_VERIFIED
ea_dead_bug,Dead Bug,Abdominals,False,PASS,,NOT_VERIFIED
ea_dead_bug_extended_arms,Dead Bug Extended Arms,Abdominals,False,PASS,,NOT_VERIFIED
ea_decline_bench_full_sit_up,Decline Bench Full Sit Up,Abdominals,False,PASS,,NOT_VERIFIED
ea_decline_bent_leg_reverse_crunch,Decline Bent Leg Reverse Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_decline_levitating_sit_ups_bodyweight,Decline Levitating Sit Ups Bodyweight,Abdominals,False,PASS,,NOT_VERIFIED
ea_decline_sit_up,Decline Sit Up,Abdominals,False,PASS,,NOT_VERIFIED
ea_decline_sit_ups_dumbbells,Decline Sit Ups Dumbbells,Abdominals,False,PASS,,NOT_VERIFIED
ea_diagonal_chop_cable,Diagonal Chop Cable,Abdominals,False,P1,EQUIPMENT_TEXT_CONFLICT,NOT_VERIFIED
ea_diagonal_chop_left,Diagonal Chop Left,Abdominals,False,PASS,,NOT_VERIFIED
ea_diagonal_chop_right,Diagonal Chop Right,Abdominals,False,PASS,,NOT_VERIFIED
ea_dragonfly,Dragonfly,Abdominals,True,PASS,,PASS
ea_dumbbell_ab_crunch,Dumbbell Ab Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_crunch_hold_with_legs_off,Dumbbell Crunch Hold with Legs Off,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_decline_overhead_sit_up,Dumbbell Decline Overhead Sit-up,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_decline_sit_up,Dumbbell Decline Sit-up,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_diagonal_chop,Dumbbell Diagonal Chop,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_elbow_side_plank,Dumbbell Elbow Side Plank,Abdominals,True,PASS,,PASS
ea_dumbbell_half_kneeling_wood_chopper,Dumbbell Half Kneeling Wood Chopper,Abdominals,True,PASS,,PASS
ea_dumbbell_hand_side_plank,Dumbbell Hand Side Plank,Abdominals,True,PASS,,PASS
ea_dumbbell_kneeling_wood_chopper,Dumbbell Kneeling Wood Chopper,Abdominals,True,PASS,,PASS
ea_dumbbell_overhead_side_bend,Dumbbell Overhead Side Bend,Abdominals,True,PASS,,PASS
ea_dumbbell_overhead_sit_up,Dumbbell Overhead Sit-up,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_russian_twist_with_legs_floor_off,Dumbbell Russian Twist with Legs Floor Off,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_side_bend,Dumbbell Side Bend,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_side_plank_up_down,Dumbbell Side Plank Up Down,Abdominals,True,PASS,,PASS
ea_dumbbell_side_plank_with_rear_fly,Dumbbell Side Plank with Rear Fly,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_single_arm_starfish_crunch,Dumbbell Single Arm Starfish Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_starfish_crunch_alternating,Dumbbell Starfish Crunch Alternating,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_straight_arm_crunch,Dumbbell Straight Arm Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_straight_arm_twisting_sit_up,Dumbbell Straight Arm Twisting Sit-up,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_straight_leg_russian_twist,Dumbbell Straight Leg Russian Twist,Abdominals,False,PASS,,NOT_VERIFIED
ea_dumbbell_suitcase_crunch,Dumbbell Suitcase Crunch,Abdominals,True,PASS,,PASS
ea_dumbbell_v_up,Dumbbell V-up,Abdominals,False,PASS,,NOT_VERIFIED
ea_elbow_push_plank_up,Elbow Push Plank Up,Abdominals,False,PASS,,NOT_VERIFIED
ea_elbow_up_and_down_dynamic_plank,Elbow-up and Down Dynamic Plank,Abdominals,False,PASS,,NOT_VERIFIED
ea_exercise_ball_body_saw,Exercise Ball Body Saw,Abdominals,False,PASS,,NOT_VERIFIED
ea_exercise_ball_sit_ups,Exercise Ball Sit Ups,Abdominals,False,PASS,,NOT_VERIFIED
ea_flat_knee_raise,Flat Knee Raise,Abdominals,True,PASS,,PASS
ea_flutter_kicks,Flutter Kicks,Abdominals,False,PASS,,NOT_VERIFIED
ea_hanging_knee_raises,Hanging Knee Raises,Abdominals,False,PASS,,NOT_VERIFIED
ea_hanging_leg_raises,Hanging Leg Raises,Abdominals,True,PASS,,PASS
ea_hanging_oblique_crunches,Hanging Oblique Crunches,Abdominals,False,PASS,,NOT_VERIFIED
ea_heel_touches,Heel Touches,Abdominals,False,PASS,,NOT_VERIFIED
ea_high_cable_kneeling_crunch,High Cable Kneeling Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_high_knee_twist,High Knee Twist,Abdominals,False,PASS,,NOT_VERIFIED
ea_high_resistance_band_kneeling_crunch,High Resistance Band Kneeling Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_hold_the_world_med_ball,Hold the World Med Ball,Abdominals,True,PASS,,PASS
ea_hollow_hold,Hollow Hold,Abdominals,False,PASS,,NOT_VERIFIED
ea_jack_knives,Jack Knives,Abdominals,False,PASS,,NOT_VERIFIED
ea_kettlebell_situp_press,Kettlebell Situp Press,Abdominals,False,PASS,,NOT_VERIFIED
ea_l_sit_hold,L Sit Hold,Abdominals,True,PASS,,PASS
ea_landmine_hollow_hold,Landmine Hollow Hold,Abdominals,True,PASS,,PASS
ea_landmine_kneeling_twist,Landmine Kneeling Twist,Abdominals,True,PASS,,PASS
ea_landmine_oblique_twist,Landmine Oblique Twist,Abdominals,True,PASS,,PASS
ea_landmine_russian_twist,Landmine Russian Twist,Abdominals,True,PASS,,PASS
ea_leg_lift_circles,Leg Lift Circles,Abdominals,False,PASS,,NOT_VERIFIED
ea_leg_raises_straight_legs,Leg Raises (straight Legs),Abdominals,False,PASS,,NOT_VERIFIED
ea_long_arm_crunches,Long Arm Crunches,Abdominals,False,PASS,,NOT_VERIFIED
ea_long_lever_plank,Long Lever Plank,Abdominals,True,PASS,,PASS
ea_lying_abs_resistance_band,Lying Abs Resistance Band,Abdominals,False,PASS,,NOT_VERIFIED
ea_lying_leg_raise,Lying Leg Raise,Abdominals,False,PASS,,NOT_VERIFIED
ea_med_ball_half_kneeling_wood_choppers,Med Ball Half Kneeling Wood Choppers,Abdominals,True,PASS,,PASS
ea_med_ball_toe_touches,Med Ball Toe Touches,Abdominals,True,PASS,,PASS
ea_medicine_ball_chest_throw_with_abs,Medicine Ball Chest Throw with Abs,Abdominals,True,PASS,,PASS
ea_medicine_ball_rotational_throw,Medicine Ball Rotational Throw,Abdominals,True,PASS,,PASS
ea_middle_crunches,Middle Crunches,Abdominals,False,PASS,,NOT_VERIFIED
ea_mountain_climbers,Mountain Climbers,Abdominals,False,PASS,,NOT_VERIFIED
ea_oblique_crunch,Oblique Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_over_head_weight_sit_up,Over Head Weight Sit Up,Abdominals,False,PASS,,NOT_VERIFIED
ea_over_weight_ab_crunch,Over Weight Ab Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_plank_cross_knee_drive,Plank Cross Knee Drive,Abdominals,False,PASS,,NOT_VERIFIED
ea_plank_jack,Plank Jack,Abdominals,False,PASS,,NOT_VERIFIED
ea_plank_knee_tucks,Plank Knee Tucks,Abdominals,False,PASS,,NOT_VERIFIED
ea_plank_reach_through,Plank Reach Through,Abdominals,False,PASS,,NOT_VERIFIED
ea_plank_on_elbows,Plank on Elbows,Abdominals,False,PASS,,NOT_VERIFIED
ea_plate_hollow_hold,Plate Hollow Hold,Abdominals,True,PASS,,PASS
ea_plate_pinch_grip_side_bend,Plate Pinch Grip Side Bend,Abdominals,True,PASS,,PASS
ea_plate_russian_twist,Plate Russian Twist,Abdominals,True,PASS,,PASS
ea_plate_situp,Plate Situp,Abdominals,True,PASS,,PASS
ea_plate_standing_twist,Plate Standing Twist,Abdominals,True,PASS,,PASS
ea_plate_wood_chopper,Plate Wood Chopper,Abdominals,True,PASS,,PASS
ea_raised_leg_crunch,Raised Leg Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_resistance_band_lying_bent_knee_raise,Resistance Band Lying Bent Knee Raise,Abdominals,False,PASS,,NOT_VERIFIED
ea_reverse_ab_wheel_rollout,Reverse Ab Wheel Rollout,Abdominals,False,PASS,,NOT_VERIFIED
ea_reverse_crunch,Reverse Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_reverse_crunch_with_kick_out,Reverse Crunch with Kick Out,Abdominals,False,PASS,,NOT_VERIFIED
ea_reverse_plank,Reverse Plank,Abdominals,True,P2,PRIOR_REAUDIT,PASS
ea_russian_twist,Russian Twist,Abdominals,False,PASS,,NOT_VERIFIED
ea_russian_twist_weighted_ball,Russian Twist Weighted Ball,Abdominals,False,PASS,,NOT_VERIFIED
ea_scissors_kick,Scissors Kick,Abdominals,False,PASS,,NOT_VERIFIED
ea_seated_floor_crunches,Seated Floor Crunches,Abdominals,False,PASS,,NOT_VERIFIED
ea_seated_flutter_kicks,Seated Flutter Kicks,Abdominals,False,PASS,,NOT_VERIFIED
ea_seated_v_up,Seated V Up,Abdominals,False,PASS,,NOT_VERIFIED
ea_side_plank,Side Plank,Abdominals,False,PASS,,NOT_VERIFIED
ea_side_plank_oblique_crunch,Side Plank Oblique Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_situps,Situps,Abdominals,False,PASS,,NOT_VERIFIED
ea_spider_plank,Spider Plank,Abdominals,False,PASS,,NOT_VERIFIED
ea_standing_ab_wheel_rollout,Standing Ab Wheel Rollout,Abdominals,False,PASS,,NOT_VERIFIED
ea_standing_cable_oblique_twist,Standing Cable Oblique Twist,Abdominals,False,PASS,,NOT_VERIFIED
ea_standing_oblique_crunch,Standing Oblique Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_star_crunches,Star Crunches,Abdominals,False,PASS,,NOT_VERIFIED
ea_suspension_trainer_with_grips_abdominal_fallout,Suspension Trainer with Grips Abdominal Fallout,Abdominals,False,PASS,,NOT_VERIFIED
ea_suspension_trainer_with_grips_hanging_knees_to_elbows,Suspension Trainer with Grips Hanging Knees to Elbows,Abdominals,False,PASS,,NOT_VERIFIED
ea_suspension_trainer_with_grips_hanging_leg_hip_raise,Suspension Trainer with Grips Hanging Leg Hip Raise,Abdominals,False,PASS,,NOT_VERIFIED
ea_suspension_trainer_with_grips_hanging_straight_leg_hip_raise,Suspension Trainer with Grips Hanging Straight Leg Hip Raise,Abdominals,False,PASS,,NOT_VERIFIED
ea_suspension_trainer_with_grips_pull_through,Suspension Trainer with Grips Pull Through,Abdominals,False,PASS,,NOT_VERIFIED
ea_suspension_trainer_with_grips_reverse_ab_rollout,Suspension Trainer with Grips Reverse Ab Rollout,Abdominals,False,PASS,,NOT_VERIFIED
ea_suspension_trainer_with_grips_supine_crunch,Suspension Trainer with Grips Supine Crunch,Abdominals,False,PASS,,NOT_VERIFIED
ea_v_crunches,V Crunches,Abdominals,False,PASS,,NOT_VERIFIED
ea_v_up,V Up,Abdominals,False,PASS,,NOT_VERIFIED
ea_walkout,Walkout,Abdominals,False,PASS,,NOT_VERIFIED
ea_wheels_to_heaven,Wheels to Heaven,Abdominals,False,PASS,,NOT_VERIFIED
ea_wheels_to_toes,Wheels to Toes,Abdominals,False,PASS,,NOT_VERIFIED
ea_wind_wipers,Wind Wipers,Abdominals,False,PASS,,NOT_VERIFIED
ea_45_degree_hyperextension_arms_in_front_of_chest,45 Degree Hyperextension (arms in Front of Chest),Back,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_45_degree_hyperextension_arms_to_chest,45 Degree Hyperextension Arms to Chest,Back,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_alternate_superman,Alternate Superman,Back,False,PASS,,NOT_VERIFIED
ea_alternating_superman,Alternating Superman,Back,False,PASS,,NOT_VERIFIED
ea_archer_pull_up,Archer Pull Up,Back,False,PASS,,NOT_VERIFIED
ea_around_the_world_superman_hold,Around the World Superman Hold,Back,False,PASS,,NOT_VERIFIED
ea_assisted_chin_up_normal_width_reverse_grip,Assisted Chin Up Normal Width Reverse Grip,Back,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_assisted_chin_up_reverse_close_grip,Assisted Chin Up Reverse Close Grip,Back,False,PASS,,NOT_VERIFIED
ea_assisted_chin_up_reverse_wide_grip,Assisted Chin Up Reverse Wide Grip,Back,False,PASS,,NOT_VERIFIED
ea_assisted_chin_up_on_a_bench,Assisted Chin-up on a Bench,Back,False,PASS,,NOT_VERIFIED
ea_assisted_close_grip_underhand_chin_up,Assisted Close Grip Underhand Chin Up,Back,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_assisted_parallel_close_grip_pull_up,Assisted Parallel Close Grip Pull Up,Back,False,PASS,,NOT_VERIFIED
ea_assisted_pull_up,Assisted Pull Up,Back,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_assisted_pull_up_close_grip,Assisted Pull Up Close Grip,Back,False,PASS,,NOT_VERIFIED
ea_assisted_pull_up_normal_grip,Assisted Pull Up Normal Grip,Back,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_assisted_pull_up_wide_grip,Assisted Pull Up Wide Grip,Back,False,PASS,,NOT_VERIFIED
ea_back_extension_machine,Back Extension Machine,Back,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_back_extension_on_exercise_ball,Back Extension on Exercise Ball,Back,False,PASS,,NOT_VERIFIED
ea_back_squeeze,Back Squeeze,Back,False,PASS,,NOT_VERIFIED
ea_band_assisted_chin_up_from_knee,Band Assisted Chin Up (from Knee),Back,False,PASS,,NOT_VERIFIED
ea_band_bent_over_row,Band Bent-over Row,Back,False,PASS,,NOT_VERIFIED
ea_band_fixed_back_underhand_pulldown,Band Fixed Back Underhand Pulldown,Back,False,PASS,,NOT_VERIFIED
ea_band_kneeling_lat_pulldown,Band Kneeling Lat Pulldown,Back,False,PASS,,NOT_VERIFIED
ea_band_kneeling_single_arm_high_row,Band Kneeling Single Arm High Row,Back,False,PASS,,NOT_VERIFIED
ea_band_lying_reverse_grip_row,Band Lying Reverse Grip Row,Back,False,PASS,,NOT_VERIFIED
ea_band_pull_up,Band Pull Up,Back,False,PASS,,NOT_VERIFIED
ea_band_rotating_hammer_grip_incline_bench_row,Band Rotating Hammer Grip Incline Bench Row,Back,False,PASS,,NOT_VERIFIED
ea_barbell_bent_over_row_pronated_grip,Barbell Bent Over Row Pronated Grip,Back,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_barbell_bent_over_row_supinated_grip,Barbell Bent Over Row Supinated Grip,Back,False,PASS,,NOT_VERIFIED
ea_barbell_coan_deadlift,Barbell Coan Deadlift,Back,True,PASS,,PASS
ea_barbell_deadlift_360_degrees,Barbell Deadlift 360 Degrees,Back,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_barbell_deadlift_high_pull,Barbell Deadlift High Pull,Back,False,PASS,,NOT_VERIFIED
ea_barbell_good_morning,Barbell Good Morning,Back,False,PASS,,NOT_VERIFIED
ea_barbell_long_landmine_row,Barbell Long Landmine Row,Back,False,PASS,,NOT_VERIFIED
ea_barbell_lying_row,Barbell Lying Row,Back,False,PASS,,NOT_VERIFIED
ea_barbell_meadows_row,Barbell Meadows Row,Back,False,PASS,,NOT_VERIFIED
ea_barbell_one_arm_single_deadlift,Barbell One Arm Single Deadlift,Back,False,PASS,,NOT_VERIFIED
ea_barbell_pendlay_row,Barbell Pendlay Row,Back,False,PASS,,NOT_VERIFIED
ea_barbell_push_bent_over_row,Barbell Push Bent Over Row,Back,False,PASS,,NOT_VERIFIED
ea_barbell_reverse_deadlift,Barbell Reverse Deadlift,Back,True,PASS,,PASS
ea_barbell_reverse_grip_bent_over_row,Barbell Reverse Grip Bent Over Row,Back,False,PASS,,NOT_VERIFIED
ea_barbell_seated_good_morning,Barbell Seated Good Morning,Back,False,PASS,,NOT_VERIFIED
ea_barbell_single_leg_deadlift,Barbell Single Leg Deadlift,Back,False,PASS,,NOT_VERIFIED
ea_barbell_snatch_deadlift_close_grip,Barbell Snatch Deadlift Close Grip,Back,False,PASS,,NOT_VERIFIED
ea_barbell_snatch_deadlift_wide_grip,Barbell Snatch Deadlift Wide Grip,Back,False,PASS,,NOT_VERIFIED
ea_barbell_sumo_deadlift,Barbell Sumo Deadlift,Back,False,PASS,,NOT_VERIFIED
ea_barbell_underhand_bent_over_row,Barbell Underhand Bent Over Row,Back,False,PASS,,NOT_VERIFIED
ea_barbell_wide_grip_upright_row,Barbell Wide Grip Upright Row,Back,False,P1,UPRIGHT_ROW,NOT_VERIFIED
ea_barbell_zercher_good_morning,Barbell Zercher Good Morning,Back,True,PASS,,PASS
ea_behind_neck_lat_pull_down_machine,Behind Neck Lat Pull Down Machine,Back,False,P1,BEHIND_NECK,NOT_VERIFIED
ea_bench_pull_ups,Bench Pull-ups,Back,False,PASS,,NOT_VERIFIED
ea_bent_over_barbell_row,Bent Over Barbell Row,Back,False,P2,DUPLICATE_STEPS,NOT_VERIFIED
ea_bent_over_row_resistance_band,Bent Over Row Resistance Band,Back,False,PASS,,NOT_VERIFIED
ea_bent_over_row_with_bar,Bent-over Row with Bar,Back,False,PASS,,NOT_VERIFIED
ea_bodyweight_muscle_up,Bodyweight Muscle-up,Back,False,PASS,,NOT_VERIFIED
ea_cable_bar_lateral_pulldown,Cable Bar Lateral Pulldown,Back,False,PASS,,NOT_VERIFIED
ea_cable_bent_over_reverse_grip_row,Cable Bent Over Reverse Grip Row,Back,False,PASS,,NOT_VERIFIED
ea_cable_bent_over_row,Cable Bent Over Row,Back,False,PASS,,NOT_VERIFIED
ea_cable_close_grip_front_lat_pulldown,Cable Close Grip Front Lat Pulldown,Back,False,PASS,,NOT_VERIFIED
ea_cable_lat_prayer,Cable Lat Prayer,Back,True,PASS,,PASS
ea_cable_low_seated_row,Cable Low Seated Row,Back,False,PASS,,NOT_VERIFIED
ea_cable_lying_extension_pullover_with_cables_attachment,Cable Lying Extension Pullover (with Cables Attachment),Back,False,PASS,,NOT_VERIFIED
ea_cable_one_arm_bent_over_row,Cable One Arm Bent Over Row,Back,False,PASS,,NOT_VERIFIED
ea_cable_one_arm_lat_pulldown,Cable One Arm Lat Pulldown,Back,False,PASS,,NOT_VERIFIED
ea_cable_palm_rotational_row,Cable Palm Rotational Row,Back,False,PASS,,NOT_VERIFIED
ea_cable_pull_in_kneeling,Cable Pull in Kneeling,Back,True,PASS,,PASS
ea_cable_pulldown,Cable Pulldown,Back,False,PASS,,NOT_VERIFIED
ea_cable_pulldown_pro_lat_bar,Cable Pulldown (pro Lat Bar),Back,False,PASS,,NOT_VERIFIED
ea_cable_pushdown_straight_arm,Cable Pushdown (straight Arm),Back,False,PASS,,NOT_VERIFIED
ea_cable_rear_pulldown,Cable Rear Pulldown,Back,False,PASS,,NOT_VERIFIED
ea_cable_reverse_grip_straight_back_seated_high_row,Cable Reverse Grip Straight Back Seated High Row,Back,False,PASS,,NOT_VERIFIED
